match_date,player_1,player_2,duration,match_round,player_1_scores,player_2_scores,winner,result,match_id,tournament_id,stats_link,player_1_id,player_2_id,p1_set1,p1_set2,p1_set3,p1_set4,p1_set5,p2_set1,p2_set2,p2_set3,p2_set4,p2_set5,best_of,winner_id
05-01-2025,J. Lehecka,R. Opelka,00:13:09,Final,4,1,Jiri Lehecka,RET,ms001,339,https://www.atptour.com//en/scores/stats-centre/archive/2025/339/ms001,l0bv,o522,4,,,,,1,,,,,3,l0bv
04-01-2025,J. Lehecka,G. Dimitrov,01:23:33,Semifinals,6 4,4 4,Jiri Lehecka,RET,ms003,339,https://www.atptour.com//en/scores/stats-centre/archive/2025/339/ms003,l0bv,d875,6,4,,,,4,4,,,,3,l0bv
04-01-2025,R. Opelka,G. Mpetshi Perricard,01:26:13,Semifinals,6 7,3 6(4),Reilly Opelka,Completed,ms002,339,https://www.atptour.com//en/scores/stats-centre/archive/2025/339/ms002,o522,m0gz,6,7,,,,3,6(4),,,,3,o522
03-01-2025,R. Opelka,N. Djokovic,01:40:11,Quarterfinals,7 6,6(6) 3,Reilly Opelka,Completed,ms004,339,https://www.atptour.com//en/scores/stats-centre/archive/2025/339/ms004,o522,d643,7,6,,,,6(6),3,,,,3,o522
03-01-2025,G. Dimitrov,J. Thompson,00:43:03,Quarterfinals,6 2,1 1,Grigor Dimitrov,RET,ms007,339,https://www.atptour.com//en/scores/stats-centre/archive/2025/339/ms007,d875,tc61,6,2,,,,1,1,,,,3,d875
03-01-2025,J. Lehecka,N. Jarry,01:29:50,Quarterfinals,6 6,4 4,Jiri Lehecka,Completed,ms006,339,https://www.atptour.com//en/scores/stats-centre/archive/2025/339/ms006,l0bv,j551,6,6,,,,4,4,,,,3,l0bv
03-01-2025,G. Mpetshi Perricard,J. Mensik,01:32:08,Quarterfinals,7 7,5 6(5),Giovanni Mpetshi Perricard,Completed,ms005,339,https://www.atptour.com//en/scores/stats-centre/archive/2025/339/ms005,m0gz,m0ni,7,7,,,,5,6(5),,,,3,m0gz
02-01-2025,N. Djokovic,G. Monfils,01:12:49,Round of 16,6 6,3 3,Novak Djokovic,Completed,ms008,339,https://www.atptour.com//en/scores/stats-centre/archive/2025/339/ms008,d643,mc65,6,6,,,,3,3,,,,3,db59
02-01-2025,G. Mpetshi Perricard,F. Tiafoe,01:32:51,Round of 16,6 7,4 6(4),Giovanni Mpetshi Perricard,Completed,ms010,339,https://www.atptour.com//en/scores/stats-centre/archive/2025/339/ms010,m0gz,td51,6,7,,,,4,6(4),,,,3,m0gz
02-01-2025,J. Mensik,D. Lajovic,01:05:11,Round of 16,6 6,3 2,Jakub Mensik,Completed,ms011,339,https://www.atptour.com//en/scores/stats-centre/archive/2025/339/ms011,m0ni,l987,6,6,,,,3,2,,,,3,m0ni
