match_id,tournament_id,player_1,player_2,p1_id,p2_id,p1_serve_rating,p1_aces,p1_double_faults,p1_first_serve,p1_1st_serve_points_won,p1_2nd_serve_points_won,p1_break_points_saved,p1_service_games_played,p1_return_rating,p1_1st_serve_return_points_won,p1_2nd_serve_return_points_won,p1_break_points_converted,p1_return_games_played,p1_net_points_won,p1_winners,p1_unforced_errors,p1_service_points_won,p1_return_points_won,p1_total_points_won,p1_max_speed,p1_1st_serve_average_speed,p1_2nd_serve_average_speed,p2_serve_rating,p2_aces,p2_double_faults,p2_first_serve,p2_1st_serve_points_won,p2_2nd_serve_points_won,p2_break_points_saved,p2_service_games_played,p2_return_rating,p2_1st_serve_return_points_won,p2_2nd_serve_return_points_won,p2_break_points_converted,p2_return_games_played,p2_net_points_won,p2_winners,p2_unforced_errors,p2_service_points_won,p2_return_points_won,p2_total_points_won,p2_max_speed,p2_1st_serve_average_speed,p2_2nd_serve_average_speed,p2_break_point_opportunities,p1_break_point_opportunities,p1_net_points_played,p2_net_points_played
ms001,339.0,R. Opelka,J. Lehecka,o522,l0bv,194.0,0.0,0.0,1.0,0.44,,0.0,2.0,60.0,0.0,0.6,,3.0,,2.0,6.0,0.44,0.2,0.29,,,,310.0,3.0,0.0,0.67,1.0,0.4,,3.0,206.0,0.56,,1.0,2.0,1.0,6.0,4.0,0.8,0.56,0.71,,,,1.0,0.0,0.0,2.0
ms003,339.0,J. Lehecka,G. Dimitrov,l0bv,d875,301.0,4.0,3.0,0.5,0.85,0.65,,9.0,116.0,0.25,0.29,0.5,9.0,0.8,17.0,22.0,0.75,0.27,0.51,,,,302.0,6.0,2.0,0.65,0.75,0.71,0.5,9.0,50.0,0.15,0.35,,9.0,0.33,14.0,21.0,0.73,0.25,0.49,,,,0.0,2.0,5.0,3.0
ms002,339.0,R. OpelkaR. OPELKA,G. Mpetshi ...G. MPETSHI PERRICARD,o522,m0gz,328.0,12.0,2.0,0.7,0.84,0.68,1.0,11.0,138.0,0.21,0.57,0.5,10.0,0.71,27.0,16.0,0.8,0.32,0.55,,,,284.0,10.0,5.0,0.7,0.79,0.43,0.5,10.0,47.0,0.16,0.32,0.0,11.0,0.53,18.0,21.0,0.68,0.2,0.45,,,,4.0,2.0,17.0,17.0
ms004,339.0,N. Djokovic,R. Opelka,d643,o522,298.0,8.0,1.0,0.73,0.72,0.6,0.8,10.0,36.0,0.22,0.13,0.0,11.0,0.5,15.0,15.0,0.68,0.2,0.46,,,,348.0,16.0,1.0,0.77,0.78,0.87,1.0,11.0,98.0,0.28,0.4,0.2,10.0,0.57,34.0,30.0,0.8,0.32,0.54,,,,5.0,1.0,4.0,7.0
ms007,339.0,J. Thompson,G. Dimitrov,tc61,d875,187.0,1.0,1.0,0.46,0.58,0.43,0.25,5.0,60.0,0.1,0.5,,5.0,0.5,5.0,14.0,0.5,0.23,0.35,,,,308.0,1.0,1.0,0.68,0.9,0.5,,5.0,234.0,0.42,0.57,0.75,5.0,1.0,8.0,10.0,0.77,0.5,0.65,,,,4.0,0.0,8.0,5.0
ms006,339.0,N. Jarry,J. Lehecka,j551,l0bv,266.0,8.0,2.0,0.63,0.72,0.48,0.6,10.0,69.0,0.21,0.48,0.0,10.0,0.62,21.0,23.0,0.63,0.32,0.47,,,,294.0,10.0,2.0,0.59,0.79,0.52,1.0,10.0,140.0,0.28,0.52,0.4,10.0,0.75,18.0,20.0,0.68,0.37,0.53,,,,5.0,5.0,13.0,4.0
ms005,339.0,G. Mpetshi ...G. MPETSHI PERRICARD,J. MensikJ. MENSIK,m0gz,m0ni,325.0,19.0,2.0,0.65,0.79,0.72,,12.0,126.0,0.21,0.47,0.5,12.0,0.64,30.0,20.0,0.76,0.31,0.53,,,,288.0,10.0,5.0,0.62,0.79,0.53,0.5,12.0,49.0,0.21,0.28,,12.0,0.8,25.0,28.0,0.69,0.24,0.47,,,,0.0,2.0,14.0,20.0
ms008,339.0,N. Djokovic,G. Monfils,d643,mc65,311.0,5.0,1.0,0.65,0.76,0.67,1.0,9.0,229.0,0.38,0.57,1.0,9.0,0.7,10.0,16.0,0.73,0.44,0.59,,,,242.0,4.0,4.0,0.71,0.62,0.43,0.0,9.0,57.0,0.24,0.33,0.0,9.0,0.5,17.0,29.0,0.56,0.27,0.41,,,,1.0,3.0,10.0,2.0
ms010,339.0,F. TiafoeF. TIAFOE,G. Mpetshi ...G. MPETSHI PERRICARD,td51,m0gz,274.0,6.0,2.0,0.53,0.82,0.47,0.67,11.0,76.0,0.2,0.56,0.0,11.0,0.77,16.0,16.0,0.65,0.32,0.48,,,,299.0,20.0,4.0,0.67,0.8,0.44,1.0,11.0,114.0,0.18,0.53,0.33,11.0,0.69,39.0,37.0,0.68,0.35,0.52,,,,3.0,2.0,13.0,16.0
ms011,339.0,J. Mensik,D. Lajovic,m0ni,l987,306.0,4.0,0.0,0.75,0.71,0.69,0.67,9.0,196.0,0.51,0.5,0.44,8.0,0.8,23.0,16.0,0.71,0.51,0.6,,,,229.0,5.0,1.0,0.78,0.49,0.5,0.56,8.0,104.0,0.29,0.31,0.33,9.0,0.6,11.0,20.0,0.49,0.29,0.4,,,,3.0,9.0,10.0,5.0
