match_id,tournament_id,player_1,player_2,p1_id,p2_id,p1_serve_rating,p1_aces,p1_double_faults,p1_first_serve,p1_1st_serve_points_won,p1_2nd_serve_points_won,p1_break_points_saved,p1_service_games_played,p1_return_rating,p1_1st_serve_return_points_won,p1_2nd_serve_return_points_won,p1_break_points_converted,p1_return_games_played,p1_net_points_won,p1_winners,p1_unforced_errors,p1_service_points_won,p1_return_points_won,p1_total_points_won,p1_max_speed,p1_1st_serve_average_speed,p1_2nd_serve_average_speed,p2_serve_rating,p2_aces,p2_double_faults,p2_first_serve,p2_1st_serve_points_won,p2_2nd_serve_points_won,p2_break_points_saved,p2_service_games_played,p2_return_rating,p2_1st_serve_return_points_won,p2_2nd_serve_return_points_won,p2_break_points_converted,p2_return_games_played,p2_net_points_won,p2_winners,p2_unforced_errors,p2_service_points_won,p2_return_points_won,p2_total_points_won,p2_max_speed,p2_1st_serve_average_speed,p2_2nd_serve_average_speed
ms001,580.0,J. Sinner,A. Zverev,S0AG,Z355,209.0,6.0,2.0,,48/57,23/38,0/0,0.0,101.0,20/65,15/30,2/10,0.0,,,,71/95,35/95,106/190,,,,197.0,12.0,2.0,,45/65,15/30,8/10,0.0,55.0,9/57,15/38,0/0,0.0,,,,60/95,24/95,84/190,,,
ms002,580.0,J. Sinner,B. Shelton,S0AG,S0S1,200.0,8.0,0.0,,37/50,24/39,5/7,0.0,142.0,33/73,23/45,6/13,0.0,,,,61/89,56/118,117/207,,,,167.0,7.0,6.0,,40/73,22/45,7/13,0.0,93.0,13/50,15/39,2/7,0.0,,,,62/118,28/89,90/207,,,
ms003,580.0,N. Djokovic,A. Zverev,D643,Z355,191.0,5.0,0.0,,21/29,15/25,5/5,0.0,39.0,5/29,2/9,0/3,0.0,,,,36/54,7/38,43/92,,,,244.0,8.0,1.0,,24/29,7/9,3/3,0.0,68.0,8/29,10/25,0/5,0.0,,,,31/38,18/54,49/92,,,
ms004,580.0,J. Sinner,A. De Minaur,S0AG,DH58,233.0,2.0,0.0,,33/39,16/20,1/1,0.0,156.0,14/40,23/38,6/10,0.0,,,,49/59,37/78,86/137,,,,156.0,2.0,1.0,,26/40,15/38,4/10,0.0,35.0,6/39,4/20,0/1,0.0,,,,41/78,10/59,51/137,,,
ms005,580.0,B. Shelton,L. Sonego,S0S1,SU87,206.0,9.0,5.0,,76/101,22/40,6/8,0.0,103.0,30/102,24/51,3/11,0.0,,,,98/141,54/153,152/294,,,,193.0,3.0,1.0,,72/102,27/51,8/11,0.0,95.0,25/101,18/40,2/8,0.0,,,,99/153,43/141,142/294,,,
ms007,580.0,T. Paul,A. Zverev,PL56,Z355,189.0,8.0,2.0,,52/78,20/40,3/7,0.0,114.0,27/94,20/41,4/11,0.0,,,,72/118,47/135,119/253,,,,194.0,7.0,5.0,,67/94,21/41,7/11,0.0,140.0,26/78,20/40,4/7,0.0,,,,88/135,46/118,134/253,,,
ms006,580.0,N. Djokovic,C. Alcaraz,D643,A0E2,185.0,5.0,3.0,,55/86,28/50,7/11,0.0,145.0,31/93,21/32,6/13,0.0,,,,83/136,52/125,135/261,,,,182.0,9.0,2.0,,62/93,11/32,7/13,0.0,116.0,31/86,22/50,4/11,0.0,,,,73/125,53/136,126/261,,,
ms015,580.0,U. Humbert,A. Zverev,HH26,Z355,172.0,12.0,3.0,,51/74,7/30,10/16,0.0,97.0,10/61,13/25,2/7,0.0,,,,58/104,23/86,81/190,,,,219.0,19.0,3.0,,51/61,12/25,5/7,0.0,146.0,23/74,23/30,6/16,0.0,,,,63/86,46/104,109/190,,,
ms013,580.0,J. Draper,C. Alcaraz,D0CO,A0E2,161.0,5.0,2.0,,22/41,12/27,8/12,0.0,114.0,7/40,12/19,1/3,0.0,,,,34/68,19/59,53/127,,,,189.0,6.0,5.0,,33/40,7/19,2/3,0.0,135.0,19/41,15/27,4/12,0.0,,,,40/59,34/68,74/127,,,
ms012,580.0,N. Djokovic,J. Lehecka,D643,L0BV,211.0,4.0,1.0,,21/28,13/18,1/1,0.0,107.0,7/29,15/26,2/8,0.0,,,,34/46,22/55,56/101,,,,173.0,4.0,2.0,,22/29,11/26,6/8,0.0,53.0,7/28,5/18,0/1,0.0,,,,33/55,12/46,45/101,,,
ms014,580.0,A. Davidovich Fokina,T. Paul,DH50,PL56,148.0,2.0,0.0,,18/39,8/22,6/13,0.0,66.0,7/45,11/22,0/3,0.0,,,,26/61,18/67,44/128,,,,209.0,8.0,0.0,,38/45,11/22,3/3,0.0,172.0,21/39,14/22,7/13,0.0,,,,49/67,35/61,84/128,,,
ms016,580.0,J. Sinner,M. Giron,S0AG,GC88,199.0,8.0,2.0,,42/53,15/30,6/7,0.0,157.0,20/57,18/25,5/10,0.0,,,,57/83,38/82,95/165,,,,163.0,2.0,2.0,,37/57,7/25,5/10,0.0,85.0,11/53,15/30,1/7,0.0,,,,44/82,26/83,70/165,,,
ms020,580.0,T. Fritz,G. Monfils,FB98,MC65,213.0,12.0,0.0,,74/98,16/32,4/6,0.0,80.0,14/81,15/40,1/4,0.0,,,,90/130,29/121,119/251,,,,233.0,24.0,4.0,,67/81,25/40,3/4,0.0,107.0,24/98,16/32,2/6,0.0,,,,92/121,40/130,132/251,,,
ms019,580.0,F. Cerundolo,A. De Minaur,C0AU,DH58,162.0,5.0,6.0,,52/82,32/70,9/16,0.0,131.0,21/70,30/67,5/9,0.0,,,,84/152,51/137,135/289,,,,174.0,7.0,9.0,,49/70,37/67,4/9,0.0,135.0,30/82,38/70,7/16,0.0,,,,86/137,68/152,154/289,,,
ms017,580.0,M. Kecmanovic,H. Rune,KI95,R0DG,185.0,4.0,6.0,,73/106,20/43,8/15,0.0,150.0,28/109,30/49,5/8,0.0,,,,93/149,58/158,151/307,,,,193.0,16.0,5.0,,81/109,19/49,3/8,0.0,131.0,33/106,23/43,7/15,0.0,,,,100/158,56/149,156/307,,,
ms021,580.0,B. Shelton,L. Musetti,S0S1,M0EJ,204.0,11.0,2.0,,68/84,15/35,4/6,0.0,117.0,18/70,19/46,3/6,0.0,,,,83/119,37/116,120/235,,,,192.0,2.0,3.0,,52/70,27/46,3/6,0.0,109.0,16/84,20/35,2/6,0.0,,,,79/116,36/119,115/235,,,
ms018,580.0,A. Michelsen,K. Khachanov,M0QI,KE29,201.0,8.0,4.0,,46/64,21/35,2/3,0.0,179.0,14/52,16/31,4/4,0.0,,,,67/99,30/83,97/182,,,,197.0,14.0,1.0,,38/52,15/31,0/4,0.0,101.0,18/64,14/35,1/3,0.0,,,,53/83,32/99,85/182,,,
ms022,580.0,L. Sonego,F. Marozsan,SU87,M0CI,211.0,15.0,2.0,,69/81,25/49,5/5,0.0,106.0,24/87,24/47,4/15,0.0,,,,94/130,48/134,142/264,,,,190.0,8.0,4.0,,63/87,23/47,11/15,0.0,64.0,12/81,24/49,0/5,0.0,,,,86/134,36/130,122/264,,,
ms023,580.0,C. Moutet,L. Tien,MW02,T0HA,182.0,3.0,2.0,,48/81,12/26,9/15,0.0,101.0,22/74,16/33,3/13,0.0,,,,60/107,38/107,98/214,,,,187.0,1.0,5.0,,52/74,17/33,10/13,0.0,135.0,33/81,14/26,6/15,0.0,,,,69/107,47/107,116/214,,,
ms031,580.0,J. Fearnley,A. Zverev,F0BY,Z355,181.0,6.0,0.0,,34/54,11/25,7/12,0.0,106.0,12/58,12/23,2/6,0.0,,,,45/79,24/81,69/160,,,,206.0,7.0,0.0,,46/58,11/23,4/6,0.0,135.0,20/54,14/25,5/12,0.0,,,,57/81,34/79,91/160,,,
ms027,580.0,N. Borges,C. Alcaraz,BT72,A0E2,190.0,3.0,1.0,,62/97,21/40,8/13,0.0,60.0,11/68,18/41,0/3,0.0,,,,83/137,29/109,112/246,,,,208.0,9.0,3.0,,57/68,23/41,3/3,0.0,122.0,35/97,19/40,5/13,0.0,,,,80/109,54/137,134/246,,,
ms024,580.0,N. Djokovic,T. Machac,D643,M0FH,205.0,9.0,3.0,,41/51,15/28,2/3,0.0,132.0,20/55,20/32,5/15,0.0,,,,56/79,40/87,96/166,,,,164.0,4.0,5.0,,35/55,12/32,10/15,0.0,99.0,10/51,13/28,1/3,0.0,,,,47/87,23/79,70/166,,,
ms029,580.0,R. Carballes Baena,T. Paul,CF59,PL56,138.0,3.0,9.0,,36/53,10/45,9/16,0.0,110.0,10/47,19/39,2/5,0.0,,,,46/98,29/86,75/184,,,,190.0,7.0,2.0,,37/47,20/39,3/5,0.0,154.0,17/53,35/45,7/16,0.0,,,,57/86,52/98,109/184,,,
ms030,580.0,U. Humbert,A. Fils,HH26,F0F1,177.0,3.0,5.0,,50/65,14/37,4/7,0.0,136.0,20/62,21/39,5/10,0.0,,,,64/102,41/101,105/203,,,,179.0,6.0,2.0,,42/62,18/39,5/10,0.0,128.0,15/65,23/37,3/7,0.0,,,,60/101,38/102,98/203,,,
ms026,580.0,J. Draper,A. Vukic,D0CO,V832,218.0,28.0,3.0,,84/112,26/52,8/14,0.0,104.0,27/121,40/67,4/18,0.0,,,,110/164,67/188,177/352,,,,201.0,22.0,3.0,,94/121,27/67,14/18,0.0,118.0,28/112,26/52,6/14,0.0,,,,121/188,54/164,175/352,,,
ms025,580.0,J. Lehecka,B. Bonzi,L0BV,BM95,215.0,9.0,1.0,,42/52,14/24,2/2,0.0,151.0,20/48,17/37,5/8,0.0,,,,56/76,37/85,93/161,,,,167.0,1.0,2.0,,28/48,20/37,3/8,0.0,61.0,10/52,10/24,0/2,0.0,,,,48/85,20/76,68/161,,,
ms028,580.0,J. Mensik,A. Davidovich Fokina,M0NI,DH50,189.0,16.0,7.0,,67/83,24/59,3/9,0.0,104.0,34/108,24/48,5/22,0.0,,,,91/142,58/156,149/298,,,,189.0,4.0,3.0,,74/108,24/48,17/22,0.0,145.0,16/83,35/59,6/9,0.0,,,,98/156,51/142,149/298,,,
ms032,580.0,J. Sinner,T. Schoolkate,S0AG,S0N0,202.0,14.0,5.0,,47/62,21/38,0/1,0.0,132.0,24/83,36/55,5/13,0.0,,,,68/100,60/138,128/238,,,,169.0,13.0,10.0,,59/83,19/55,8/13,0.0,169.0,15/62,17/38,1/1,0.0,,,,78/138,32/100,110/238,,,
ms040,580.0,T. Fritz,C. Garin,FB98,GD64,220.0,7.0,1.0,,40/52,4/8,0/0,0.0,203.0,23/46,12/16,7/9,0.0,,,,44/60,35/62,79/122,,,,148.0,2.0,3.0,,23/46,4/16,2/9,0.0,73.0,12/52,4/8,0/0,0.0,,,,27/62,16/60,43/122,,,
ms047,580.0,L. Tien,D. Medvedev,T0HA,MM58,185.0,7.0,4.0,,94/159,19/43,14/24,0.0,110.0,-28/67,47/51,9/15,0.0,,,,113/202,19/118,132/320,,,,218.0,20.0,9.0,,95/67,4/51,6/15,0.0,139.0,65/159,24/43,10/24,0.0,,,,99/118,89/202,188/320,,,
ms039,580.0,T. Boyer,A. De Minaur,B0EJ,DH58,163.0,3.0,2.0,,40/63,11/33,8/14,0.0,92.0,4/35,9/29,1/2,0.0,,,,51/96,13/64,64/160,,,,216.0,6.0,3.0,,31/35,20/29,1/2,0.0,147.0,23/63,22/33,6/14,0.0,,,,51/64,45/96,96/160,,,
ms035,580.0,M. Berrettini,H. Rune,BK40,R0DG,207.0,16.0,2.0,,70/108,23/41,7/10,0.0,109.0,23/83,19/46,4/10,0.0,,,,93/149,42/129,135/278,,,,197.0,8.0,6.0,,60/83,27/46,6/10,0.0,109.0,38/108,18/41,3/10,0.0,,,,87/129,56/149,143/278,,,
ms043,580.0,D. Shapovalov,L. Musetti,SU55,M0EJ,166.0,5.0,11.0,,46/65,20/47,8/11,0.0,89.0,19/77,15/34,1/5,0.0,,,,66/112,34/111,100/223,,,,200.0,3.0,3.0,,58/77,19/34,4/5,0.0,113.0,19/65,27/47,3/11,0.0,,,,77/111,46/112,123/223,,,
ms045,580.0,F. Marozsan,F. Tiafoe,M0CI,TD51,196.0,14.0,6.0,,74/102,39/70,17/20,0.0,114.0,18/86,37/64,6/17,0.0,,,,113/172,55/150,168/322,,,,187.0,19.0,10.0,,68/86,27/64,11/17,0.0,86.0,28/102,31/70,3/20,0.0,,,,95/150,59/172,154/322,,,
ms034,580.0,H. Hurkacz,M. Kecmanovic,HB71,KI95,190.0,14.0,6.0,,41/52,12/30,7/11,0.0,53.0,11/49,11/35,0/3,0.0,,,,53/82,22/84,75/166,,,,211.0,6.0,0.0,,38/49,24/35,3/3,0.0,117.0,11/52,18/30,4/11,0.0,,,,62/84,29/82,91/166,,,
ms037,580.0,G. Diallo,K. Khachanov,D0F6,KE29,198.0,15.0,4.0,,67/89,21/46,7/10,0.0,81.0,15/73,20/50,1/5,0.0,,,,88/135,35/123,123/258,,,,207.0,10.0,1.0,,58/73,30/50,4/5,0.0,109.0,22/89,25/46,3/10,0.0,,,,88/123,47/135,135/258,,,
ms042,580.0,B. Shelton,P. Carreno Busta,S0S1,CD85,230.0,17.0,4.0,,59/69,29/42,6/6,0.0,145.0,15/73,16/36,4/5,0.0,,,,88/111,31/109,119/220,,,,204.0,3.0,1.0,,58/73,20/36,1/5,0.0,45.0,10/69,13/42,0/6,0.0,,,,78/109,23/111,101/220,,,
ms038,580.0,F. Cerundolo,F. Diaz Acosta,C0AU,D0CG,194.0,2.0,0.0,,12/17,5/9,1/2,0.0,193.0,12/19,5/8,4/6,0.0,,,,17/26,17/27,34/53,,,,143.0,0.0,2.0,,7/19,3/8,2/6,0.0,123.0,5/17,4/9,1/2,0.0,,,,10/27,9/26,19/53,,,
ms033,580.0,M. Giron,T. Etcheverry,GC88,EA24,185.0,4.0,1.0,,69/109,28/54,11/19,0.0,141.0,39/100,24/53,8/14,0.0,,,,97/163,63/153,160/316,,,,186.0,5.0,0.0,,61/100,29/53,6/14,0.0,127.0,40/109,26/54,8/19,0.0,,,,90/153,66/163,156/316,,,
ms036,580.0,A. Michelsen,J. McCabe,M0QI,M0OQ,228.0,8.0,2.0,,60/74,14/22,0/0,0.0,98.0,17/65,26/45,2/14,0.0,,,,74/96,43/110,117/206,,,,182.0,10.0,3.0,,48/65,19/45,12/14,0.0,55.0,14/74,8/22,0/0,0.0,,,,67/110,22/96,89/206,,,
ms041,580.0,D. Altmaier,G. Monfils,AE14,MC65,173.0,4.0,2.0,,36/54,22/45,5/10,0.0,127.0,11/57,20/42,3/5,0.0,,,,58/99,31/99,89/198,,,,197.0,12.0,6.0,,46/57,22/42,2/5,0.0,134.0,18/54,23/45,5/10,0.0,,,,68/99,41/99,109/198,,,
ms046,580.0,C. Moutet,M. Krueger,MW02,KC12,186.0,7.0,5.0,,67/98,24/49,5/9,0.0,124.0,27/84,25/53,5/11,0.0,,,,91/147,52/137,143/284,,,,181.0,4.0,5.0,,57/84,28/53,6/11,0.0,127.0,31/98,25/49,4/9,0.0,,,,85/137,56/147,141/284,,,
ms044,580.0,J. Fonseca,L. Sonego,F0FV,SU87,187.0,11.0,5.0,,63/89,28/57,7/12,0.0,85.0,21/94,21/46,1/6,0.0,,,,91/146,42/140,133/286,,,,208.0,12.0,3.0,,73/94,25/46,5/6,0.0,122.0,26/89,29/57,5/12,0.0,,,,98/140,55/146,153/286,,,
ms063,580.0,P. Martinez,A. Zverev,MO44,Z355,153.0,0.0,4.0,,27/51,7/21,7/13,0.0,63.0,11/53,8/19,0/6,0.0,,,,34/72,19/72,53/144,,,,217.0,8.0,2.0,,42/53,11/19,6/6,0.0,160.0,24/51,14/21,6/13,0.0,,,,53/72,38/72,91/144,,,
ms055,580.0,Y. Nishioka,C. Alcaraz,N732,A0E2,152.0,1.0,2.0,,19/34,11/27,4/10,0.0,40.0,4/36,7/24,0/0,0.0,,,,30/61,11/60,41/121,,,,231.0,14.0,3.0,,32/36,17/24,0/0,0.0,163.0,15/34,16/27,6/10,0.0,,,,49/60,31/61,80/121,,,
