match_id,tournament_id,player_1,player_2,p1_id,p2_id,p1_serve_rating,p1_aces,p1_double_faults,p1_first_serve,p1_1st_serve_points_won,p1_2nd_serve_points_won,p1_break_points_saved,p1_service_games_played,p1_return_rating,p1_1st_serve_return_points_won,p1_2nd_serve_return_points_won,p1_break_points_converted,p1_return_games_played,p1_net_points_won,p1_winners,p1_unforced_errors,p1_service_points_won,p1_return_points_won,p1_total_points_won,p1_max_speed,p1_1st_serve_avg_speed,p1_2ns_serve_avg_speed,p2_serve_rating,p2_aces,p2_double_faults,p2_first_serve,p2_1st_serve_points_won,p2_2nd_serve_points_won,p2_break_points_saved,p2_service_games_played,p2_return_rating,p2_1st_serve_return_points_won,p2_2nd_serve_return_points_won,p2_break_points_converted,p2_return_games_played,p2_net_points_won,p2_winners,p2_unforced_errors,p2_service_points_won,p2_return_points_won,p2_total_points_won,p2_max_speed,p2_1st_serve_avg_speed,p2_2ns_serve_avg_speed
ms001,339,R. Opelka,J. Lehecka,o522,l0bv,194,0,0,9/9,4/9,0/0,0/1,2,60,0/10,3/5,0/0,3,0/0,2,6,4/9,3/15,7/24,,,,310,3,0,10/15,10/10,2/5,0/0,3,206,5/9,0/0,1/1,2,2/2,6,4,12/15,5/9,17/24,,,
ms003,339,J. Lehecka,G. Dimitrov,l0bv,d875,301,4,3,26/52,22/26,17/26,0/0,9,116,8/32,5/17,1/2,9,4/5,17,22,39/52,13/49,52/101,,,,302,6,2,32/49,24/32,12/17,1/2,9,50,4/26,9/26,0/0,9,1/3,14,21,36/49,13/52,49/101,,,
ms002,339,R. OpelkaR. OPELKA,G. Mpetshi ...G. MPETSHI PERRICARD,o522,m0gz,328,12,2,45/64,38/45,13/19,4/4,11,138,10/48,12/21,1/2,10,12/17,27,16,51/64,22/69,73/133,,,,284,10,5,48/69,38/48,9/21,1/2,10,47,7/45,6/19,0/4,11,9/17,18,21,47/69,13/64,60/133,,,
ms004,339,N. Djokovic,R. Opelka,d643,o522,298,8,1,53/73,38/53,12/20,4/5,10,36,11/49,2/15,0/1,11,2/4,15,15,50/73,13/64,63/137,,,,348,16,1,49/64,38/49,13/15,1/1,11,98,15/53,8/20,1/5,10,4/7,34,30,51/64,23/73,74/137,,,
ms007,339,J. Thompson,G. Dimitrov,tc61,d875,187,1,1,12/26,7/12,6/14,1/4,5,60,2/21,5/10,0/0,5,4/8,5,14,13/26,7/31,20/57,,,,308,1,1,21/31,19/21,5/10,0/0,5,234,5/12,8/14,3/4,5,5/5,8,10,24/31,13/26,37/57,,,
ms006,339,N. Jarry,J. Lehecka,j551,l0bv,266,8,2,39/62,28/39,11/23,3/5,10,69,8/39,13/27,0/5,10,8/13,21,23,39/62,21/66,60/128,,,,294,10,2,39/66,31/39,14/27,5/5,10,140,11/39,12/23,2/5,10,3/4,18,20,45/66,23/62,68/128,,,
ms005,339,G. Mpetshi ...G. MPETSHI PERRICARD,J. MensikJ. MENSIK,m0gz,m0ni,325,19,2,47/72,37/47,18/25,0/0,12,126,10/48,14/30,1/2,12,9/14,30,20,55/72,24/78,79/150,,,,288,10,5,48/78,38/48,16/30,1/2,12,49,10/47,7/25,0/0,12,16/20,25,28,54/78,17/72,71/150,,,
ms008,339,N. Djokovic,G. Monfils,d643,mc65,311,5,1,34/52,26/34,12/18,1/1,9,229,13/34,8/14,3/3,9,7/10,10,16,38/52,21/48,59/100,,,,242,4,4,34/48,21/34,6/14,0/3,9,57,8/34,6/18,0/1,9,1/2,17,29,27/48,14/52,41/100,,,
ms010,339,F. TiafoeF. TIAFOE,G. Mpetshi ...G. MPETSHI PERRICARD,td51,m0gz,274,6,2,38/72,31/38,16/34,2/3,11,76,10/50,14/25,0/2,11,10/13,16,16,47/72,24/75,71/147,,,,299,20,4,50/75,40/50,11/25,2/2,11,114,7/38,18/34,1/3,11,11/16,39,37,51/75,25/72,76/147,,,
ms011,339,J. Mensik,D. Lajovic,m0ni,l987,306,4,0,38/51,27/38,9/13,2/3,9,196,22/43,6/12,4/9,8,8/10,23,16,36/51,28/55,64/106,,,,229,5,1,43/55,21/43,6/12,5/9,8,104,11/38,4/13,1/3,9,3/5,11,20,27/55,15/51,42/106,,,
ms009,339,R. Opelka,M. Arnaldi,o522,a0fc,300,25,6,58/86,49/58,13/28,1/2,12,113,6/40,14/35,1/2,12,13/19,42,33,62/86,20/75,82/161,,,,293,8,2,40/75,34/40,21/35,1/2,12,127,9/58,15/28,1/2,12,6/7,20,19,55/75,24/86,79/161,,,
ms015,339,A. Vukic,G. Dimitrov,v832,d875,260,5,4,44/74,31/44,15/30,8/10,10,41,2/33,7/20,0/0,10,7/10,13,25,46/74,9/53,55/127,,,,327,12,1,33/53,31/33,13/20,0/0,10,120,13/44,15/30,2/10,10,3/4,25,19,44/53,28/74,72/127,,,
ms014,339,J. ThompsonJ. THOMPSON,A. Michelse...A. MICHELSEN,tc61,m0qi,294,3,1,37/60,28/37,15/23,6/7,10,183,17/46,10/19,4/7,11,13/19,23,21,43/60,27/65,70/125,,,,246,4,2,46/65,29/46,9/19,3/7,11,83,9/37,8/23,1/7,10,9/22,20,25,38/65,17/60,55/125,,,
ms012,339,B. Bonzi,N. Jarry,bm95,j551,227,4,2,35/51,18/35,9/16,3/7,8,175,3/30,7/13,1/1,9,4/7,13,16,27/51,10/43,37/94,,,,300,10,0,30/43,27/30,6/13,0/1,9,199,17/35,7/16,4/7,8,3/6,31,13,33/43,24/51,57/94,,,
ms013,339,Y. Nishioka,J. Lehecka,n732,l0bv,259,3,3,75/107,49/75,16/32,8/12,15,95,6/51,13/30,1/3,15,10/14,20,24,65/107,19/81,84/188,,,,306,17,3,51/81,45/51,17/30,2/3,15,145,26/75,16/32,4/12,15,19/24,51,46,62/81,42/107,104/188,,,
ms016,339,N. Djokovic,R. Hijikata,d643,h0bh,328,12,0,31/47,25/31,12/16,0/0,9,187,15/37,9/17,3/5,9,8/10,26,13,37/47,24/54,61/101,,,,245,7,1,37/54,22/37,8/17,2/5,9,44,6/31,4/16,0/0,9,3/5,15,16,30/54,10/47,40/101,,,
ms020,339,F. Tiafoe,A. Walton,td51,w09e,302,13,1,46/66,37/46,11/20,3/4,11,152,8/38,17/28,2/4,10,3/6,32,14,48/66,25/66,73/132,,,,260,13,4,38/66,30/38,11/28,2/4,10,99,9/46,9/20,1/4,11,4/7,30,19,41/66,18/66,59/132,,,
ms019,339,M. Arnaldi,A. Popyrin,a0fc,p09z,287,7,3,24/54,17/24,21/30,2/2,9,230,10/29,7/12,3/3,8,6/10,22,13,38/54,17/41,55/95,,,,242,5,2,29/41,19/29,5/12,0/3,8,59,7/24,9/30,0/2,9,7/9,19,23,24/41,16/54,40/95,,,
ms023,339,A. Cazaux,D. Lajovic,c0h0,l987,237,8,6,46/81,33/46,13/35,7/10,10,80,14/41,5/20,1/9,10,5/6,21,42,46/81,19/61,65/142,,,,298,1,1,41/61,27/41,15/20,8/9,10,151,13/46,22/35,3/10,10,3/5,16,25,42/61,35/81,77/142,,,
ms022,339,J. MensikJ. MENSIK,M. Kukushki...M. KUKUSHKIN,m0ni,k926,294,13,2,42/68,33/42,15/26,1/2,11,146,17/47,12/29,2/4,11,5/6,32,43,48/68,29/76,77/144,,,,266,2,3,47/76,30/47,17/29,2/4,11,123,9/42,11/26,1/2,11,2/5,10,21,47/76,20/68,67/144,,,
ms017,339,N. Basavare...N. BASAVAREDDY,G. MonfilsG. MONFILS,b0nn,mc65,234,4,1,49/74,34/49,9/25,2/7,13,135,12/52,12/25,3/7,14,15/22,26,31,43/74,24/77,67/151,,,,281,18,0,52/77,40/52,13/25,4/7,14,205,15/49,16/25,5/7,13,4/5,38,20,53/77,31/74,84/151,,,
ms021,339,G. Mpetshi ...G. MPETSHI PERRICARD,N. KyrgiosN. KYRGIOS,m0gz,ke17,328,36,7,73/111,65/73,24/38,2/2,18,48,14/81,8/26,0/2,18,12/15,59,34,89/111,22/107,111/218,,,,333,15,0,81/107,67/81,18/26,2/2,18,48,8/73,14/38,0/2,18,21/26,38,20,85/107,22/111,107/218,,,
ms018,339,F. Gomez,R. Opelka,gj16,o522,278,7,2,41/62,31/41,11/21,3/5,11,22,2/29,3/20,0/0,11,4/5,12,18,42/62,5/49,47/111,,,,341,9,1,29/49,27/29,17/20,0/0,11,130,10/41,10/21,2/5,11,3/3,21,19,44/49,20/62,64/111,,,
ms031,339,Y. Hanfmann,G. Dimitrov,h997,d875,248,4,3,64/95,40/64,14/31,7/10,11,116,5/38,15/25,1/3,10,10/14,25,35,54/95,20/63,74/158,,,,280,9,3,38/63,33/38,10/25,2/3,10,150,24/64,17/31,3/10,11,7/8,27,27,43/63,41/95,84/158,,,
ms027,339,J. Lehecka,H. Rune,l0bv,r0dg,269,5,1,43/68,29/43,14/25,7/9,10,226,19/40,11/22,5/6,11,7/11,18,35,43/68,30/62,73/130,,,,221,1,2,40/62,21/40,11/22,1/6,11,119,14/43,11/25,2/9,10,4/11,7,30,32/62,25/68,57/130,,,
ms024,339,A. Tabilo,B. Bonzi,te30,bm95,277,18,7,84/125,66/84,16/41,5/7,17,91,15/72,15/38,1/4,17,10/13,40,50,82/125,30/110,112/235,,,,304,15,2,72/110,57/72,23/38,3/4,17,123,18/84,25/41,2/7,17,13/22,48,29,80/110,43/125,123/235,,,
ms028,339,J. ThompsonJ. THOMPSON,M. Berretti...M. BERRETTINI,tc61,bk40,263,6,4,56/93,41/56,16/37,2/4,14,150,8/49,14/27,3/5,14,6/14,15,34,57/93,22/76,79/169,,,,277,8,1,49/76,41/49,13/27,2/5,14,148,15/56,21/37,2/4,14,4/7,23,44,54/76,36/93,90/169,,,
ms025,339,M. Navone,N. Jarry,n0bs,j551,281,10,1,49/77,37/49,15/28,1/3,12,90,8/47,11/28,1/4,12,0/2,18,29,52/77,19/75,71/152,,,,301,7,1,47/75,39/47,17/28,3/4,12,154,12/49,13/28,2/3,12,11/16,27,35,56/75,25/77,81/152,,,
