match_id,tournament_id,player_1,player_2,p1_id,p2_id,p1_serve_rating,p1_aces,p1_double_faults,p1_first_serve,p1_1st_serve_points_won,p1_2nd_serve_points_won,p1_break_points_saved,p1_service_games_played,p1_return_rating,p1_1st_serve_return_points_won,p1_2nd_serve_return_points_won,p1_break_points_converted,p1_return_games_played,p1_net_points_won,p1_winners,p1_unforced_errors,p1_service_points_won,p1_return_points_won,p1_total_points_won,p1_max_speed,p1_1st_serve_average_speed,p1_2nd_serve_average_speed,p2_serve_rating,p2_aces,p2_double_faults,p2_first_serve,p2_1st_serve_points_won,p2_2nd_serve_points_won,p2_break_points_saved,p2_service_games_played,p2_return_rating,p2_1st_serve_return_points_won,p2_2nd_serve_return_points_won,p2_break_points_converted,p2_return_games_played,p2_net_points_won,p2_winners,p2_unforced_errors,p2_service_points_won,p2_return_points_won,p2_total_points_won,p2_max_speed,p2_1st_serve_average_speed,p2_2nd_serve_average_speed
ms001,339.0,R. Opelka,J. Lehecka,o522,l0bv,194.0,0.0,0.0,9/9,4/9,0/0,0/1,2.0,60.0,0/10,3/5,0/0,3.0,0/0,2.0,6.0,4/9,3/15,7/24,,,,310.0,3.0,0.0,10/15,10/10,2/5,0/0,3.0,206.0,5/9,0/0,1/1,2.0,2/2,6.0,4.0,12/15,5/9,17/24,,,
ms003,339.0,J. Lehecka,G. Dimitrov,l0bv,d875,301.0,4.0,3.0,26/52,22/26,17/26,0/0,9.0,116.0,8/32,5/17,1/2,9.0,4/5,17.0,22.0,39/52,13/49,52/101,,,,302.0,6.0,2.0,32/49,24/32,12/17,1/2,9.0,50.0,4/26,9/26,0/0,9.0,1/3,14.0,21.0,36/49,13/52,49/101,,,
ms002,339.0,R. OpelkaR. OPELKA,G. Mpetshi ...G. MPETSHI PERRICARD,o522,m0gz,328.0,12.0,2.0,45/64,38/45,13/19,4/4,11.0,138.0,10/48,12/21,1/2,10.0,12/17,27.0,16.0,51/64,22/69,73/133,,,,284.0,10.0,5.0,48/69,38/48,9/21,1/2,10.0,47.0,7/45,6/19,0/4,11.0,9/17,18.0,21.0,47/69,13/64,60/133,,,
ms004,339.0,N. Djokovic,R. Opelka,d643,o522,298.0,8.0,1.0,53/73,38/53,12/20,4/5,10.0,36.0,11/49,2/15,0/1,11.0,2/4,15.0,15.0,50/73,13/64,63/137,,,,348.0,16.0,1.0,49/64,38/49,13/15,1/1,11.0,98.0,15/53,8/20,1/5,10.0,4/7,34.0,30.0,51/64,23/73,74/137,,,
ms007,339.0,J. Thompson,G. Dimitrov,tc61,d875,187.0,1.0,1.0,12/26,7/12,6/14,1/4,5.0,60.0,2/21,5/10,0/0,5.0,4/8,5.0,14.0,13/26,7/31,20/57,,,,308.0,1.0,1.0,21/31,19/21,5/10,0/0,5.0,234.0,5/12,8/14,3/4,5.0,5/5,8.0,10.0,24/31,13/26,37/57,,,
ms006,339.0,N. Jarry,J. Lehecka,j551,l0bv,266.0,8.0,2.0,39/62,28/39,11/23,3/5,10.0,69.0,8/39,13/27,0/5,10.0,8/13,21.0,23.0,39/62,21/66,60/128,,,,294.0,10.0,2.0,39/66,31/39,14/27,5/5,10.0,140.0,11/39,12/23,2/5,10.0,3/4,18.0,20.0,45/66,23/62,68/128,,,
ms005,339.0,G. Mpetshi ...G. MPETSHI PERRICARD,J. MensikJ. MENSIK,m0gz,m0ni,325.0,19.0,2.0,47/72,37/47,18/25,0/0,12.0,126.0,10/48,14/30,1/2,12.0,9/14,30.0,20.0,55/72,24/78,79/150,,,,288.0,10.0,5.0,48/78,38/48,16/30,1/2,12.0,49.0,10/47,7/25,0/0,12.0,16/20,25.0,28.0,54/78,17/72,71/150,,,
ms008,339.0,N. Djokovic,G. Monfils,d643,mc65,311.0,5.0,1.0,34/52,26/34,12/18,1/1,9.0,229.0,13/34,8/14,3/3,9.0,7/10,10.0,16.0,38/52,21/48,59/100,,,,242.0,4.0,4.0,34/48,21/34,6/14,0/3,9.0,57.0,8/34,6/18,0/1,9.0,1/2,17.0,29.0,27/48,14/52,41/100,,,
ms010,339.0,F. TiafoeF. TIAFOE,G. Mpetshi ...G. MPETSHI PERRICARD,td51,m0gz,274.0,6.0,2.0,38/72,31/38,16/34,2/3,11.0,76.0,10/50,14/25,0/2,11.0,10/13,16.0,16.0,47/72,24/75,71/147,,,,299.0,20.0,4.0,50/75,40/50,11/25,2/2,11.0,114.0,7/38,18/34,1/3,11.0,11/16,39.0,37.0,51/75,25/72,76/147,,,
ms011,339.0,J. Mensik,D. Lajovic,m0ni,l987,306.0,4.0,0.0,38/51,27/38,9/13,2/3,9.0,196.0,22/43,6/12,4/9,8.0,8/10,23.0,16.0,36/51,28/55,64/106,,,,229.0,5.0,1.0,43/55,21/43,6/12,5/9,8.0,104.0,11/38,4/13,1/3,9.0,3/5,11.0,20.0,27/55,15/51,42/106,,,
