match_date,player_1,player_2,duration,match_round,player_1_scores,player_2_scores,winner,result,match_id,tournament_id,stats_link
Final,Karen Khachanov,Gabriel Diallo,02:23,Finals,6 5 6,2 7 3,Karen Khachanov,Completed,ms001,9410,https://www.atptour.com//en/scores/stats-centre/archive/2024/9410/ms001
Semifinal,Karen Khachanov,Aleksandar Vukic,02:14,Semi-Finals,6(3) 6 6,7 3 4,Karen Khachanov,Completed,ms002,9410,https://www.atptour.com//en/scores/stats-centre/archive/2024/9410/ms002
Semifinal,Gabriel Diallo,Francisco Cerundolo,01:08,Semi-Finals,6 6,4 2,Gabriel Diallo,Completed,ms003,9410,https://www.atptour.com//en/scores/stats-centre/archive/2024/9410/ms003
Quarterfinal,Aleksandar Vukic,Frances Tiafoe,01:29,Quarter-Finals,6 7,2 6(11),Aleksandar Vukic,Completed,ms004,9410,https://www.atptour.com//en/scores/stats-centre/archive/2024/9410/ms004
Quarterfinal,Gabriel Diallo,Alejandro Tabilo,01:59,Quarter-Finals,3 6 6,6 3 4,Gabriel Diallo,Completed,ms007,9410,https://www.atptour.com//en/scores/stats-centre/archive/2024/9410/ms007
Quarterfinal,Karen Khachanov,Beibit Zhukayev,01:23,Quarter-Finals,6 6,2 4,Karen Khachanov,Completed,ms005,9410,https://www.atptour.com//en/scores/stats-centre/archive/2024/9410/ms005
Quarterfinal,Francisco Cerundolo,Alexander Shevchenko,01:05,Quarter-Finals,6 6,2 3,Francisco Cerundolo,Completed,ms006,9410,https://www.atptour.com//en/scores/stats-centre/archive/2024/9410/ms006
Round of 16,Frances Tiafoe,Daniel Evans,02:39,Round of 16,6(10) 7 6,7 6(4) 3,Frances Tiafoe,Completed,ms008,9410,https://www.atptour.com//en/scores/stats-centre/archive/2024/9410/ms008
Round of 16,Alejandro Tabilo,Maximilian Marterer,01:05,Round of 16,6 6,2 4,Alejandro Tabilo,Completed,ms015,9410,https://www.atptour.com//en/scores/stats-centre/archive/2024/9410/ms015
Round of 16,Karen Khachanov,Otto Virtanen,01:36,Round of 16,7 7,6(2) 6(3),Karen Khachanov,Completed,ms010,9410,https://www.atptour.com//en/scores/stats-centre/archive/2024/9410/ms010
Round of 16,Francisco Cerundolo,Justin Engel,01:30,Round of 16,6 7,4 6(3),Francisco Cerundolo,Completed,ms013,9410,https://www.atptour.com//en/scores/stats-centre/archive/2024/9410/ms013
Round of 16,Beibit Zhukayev,Tomas Machac,00:17,Round of 16,3,1,Beibit Zhukayev,Completed,ms011,9410,https://www.atptour.com//en/scores/stats-centre/archive/2024/9410/ms011
Round of 16,Aleksandar Vukic,Adrian Mannarino,01:35,Round of 16,7 6,6(4) 3,Aleksandar Vukic,Completed,ms009,9410,https://www.atptour.com//en/scores/stats-centre/archive/2024/9410/ms009
Round of 16,Gabriel Diallo,Borna Coric,01:44,Round of 16,7 6,6(1) 4,Gabriel Diallo,Completed,ms014,9410,https://www.atptour.com//en/scores/stats-centre/archive/2024/9410/ms014
