match_date,player_1,player_2,duration,match_round,player_1_scores,player_2_scores,winner,result,match_id,tournament_id,stats_link
"Mon, 22 July, 2024",Yoshihito Nishioka,Jordan Thompson,02:40,Finals,4 7 6,6 6(2) 2,Yoshihito Nishioka,Completed,ms001,6116,https://www.atptour.com//en/scores/stats-centre/archive/2024/6116/ms001
"Mon, 22 July, 2024",Jordan Thompson,Juncheng Shang,02:21,Semi-Finals,6 4 6,3 6 3,Jordan Thompson,Completed,ms002,6116,https://www.atptour.com//en/scores/stats-centre/archive/2024/6116/ms002
"Mon, 22 July, 2024",Yoshihito Nishioka,Arthur Rinderknech,02:20,Semi-Finals,6 4 6,3 6 4,Yoshihito Nishioka,Completed,ms003,6116,https://www.atptour.com//en/scores/stats-centre/archive/2024/6116/ms003
"Mon, 22 July, 2024",Yoshihito Nishioka,Frances Tiafoe,01:24,Quarter-Finals,7 6,6(2) 2,Yoshihito Nishioka,Completed,ms006,6116,https://www.atptour.com//en/scores/stats-centre/archive/2024/6116/ms006
"Mon, 22 July, 2024",Jordan Thompson,Alejandro Davidovich Fokina,03:03,Quarter-Finals,7 4 6,6(5) 6 3,Jordan Thompson,Completed,ms005,6116,https://www.atptour.com//en/scores/stats-centre/archive/2024/6116/ms005
"Mon, 22 July, 2024",Juncheng Shang,Max Purcell,02:01,Quarter-Finals,7 6,6(3) 4,Juncheng Shang,Completed,ms004,6116,https://www.atptour.com//en/scores/stats-centre/archive/2024/6116/ms004
"Mon, 22 July, 2024",Arthur Rinderknech,Mattia Bellucci,02:23,Quarter-Finals,7 3 6,6(5) 6 1,Arthur Rinderknech,Completed,ms007,6116,https://www.atptour.com//en/scores/stats-centre/archive/2024/6116/ms007
"Mon, 22 July, 2024",Juncheng Shang,Ben Shelton,01:38,Round of 16,7 6,6(6) 4,Juncheng Shang,Completed,ms008,6116,https://www.atptour.com//en/scores/stats-centre/archive/2024/6116/ms008
"Mon, 22 July, 2024",Mattia Bellucci,Adrian Mannarino,02:42,Round of 16,7 4 6,6(6) 6 3,Mattia Bellucci,Completed,ms015,6116,https://www.atptour.com//en/scores/stats-centre/archive/2024/6116/ms015
"Mon, 22 July, 2024",Frances Tiafoe,Aslan Karatsev,02:05,Round of 16,6 3 6,4 6 3,Frances Tiafoe,Completed,ms013,6116,https://www.atptour.com//en/scores/stats-centre/archive/2024/6116/ms013
