match_date,player_1,player_2,duration,match_round,player_1_scores,player_2_scores,winner,result,match_id,tournament_id,stats_link
"Sun, 12 January, 2025",Gael Monfils,Zizou Bergs,01:37:23,Final,6 6,3 4,Gael Monfils,Completed,ms001,301,https://www.atptour.com//en/scores/stats-centre/archive/2025/301/ms001
"Sat, 11 January, 2025",Zizou Bergs,Nuno Borges,02:16:17,Semifinals,6 3 7,2 6 5,Zizou Bergs,Completed,ms002,301,https://www.atptour.com//en/scores/stats-centre/archive/2025/301/ms002
"Sat, 11 January, 2025",Gael Monfils,Nishesh Basavareddy,01:46:28,Semifinals,7 6,6(5) 4,Gael Monfils,Completed,ms003,301,https://www.atptour.com//en/scores/stats-centre/archive/2025/301/ms003
"Fri, 10 January, 2025",Nuno Borges,Jakub Mensik,02:27:46,Quarterfinals,6(4) 6 7,7 2 6(4),Nuno Borges,Completed,ms004,301,https://www.atptour.com//en/scores/stats-centre/archive/2025/301/ms004
"Fri, 10 January, 2025",Nishesh Basavareddy,Alex Michelsen,01:42:10,Quarterfinals,2 6 6,6 2 4,Nishesh Basavareddy,Completed,ms007,301,https://www.atptour.com//en/scores/stats-centre/archive/2025/301/ms007
"Fri, 10 January, 2025",Zizou Bergs,Roberto Carballes Baena,01:52:55,Quarterfinals,1 6 6,6 2 3,Zizou Bergs,Completed,ms005,301,https://www.atptour.com//en/scores/stats-centre/archive/2025/301/ms005
"Fri, 10 January, 2025",Gael Monfils,Facundo Diaz Acosta,01:17:57,Quarterfinals,6 6,3 1,Gael Monfils,Completed,ms006,301,https://www.atptour.com//en/scores/stats-centre/archive/2025/301/ms006
"Thu, 09 January, 2025",Jakub Mensik,Ben Shelton,02:38:21,Round of 16,7 4 7,6(2) 6 5,Jakub Mensik,Completed,ms008,301,https://www.atptour.com//en/scores/stats-centre/archive/2025/301/ms008
"Thu, 09 January, 2025",Nishesh Basavareddy,Alejandro Tabilo,02:25:33,Round of 16,6 5 6,4 7 4,Nishesh Basavareddy,Completed,ms015,301,https://www.atptour.com//en/scores/stats-centre/archive/2025/301/ms015
"Thu, 09 January, 2025",Facundo Diaz Acosta,Sebastian Baez,02:08:56,Round of 16,6 7,4 6(1),Facundo Diaz Acosta,Completed,ms013,301,https://www.atptour.com//en/scores/stats-centre/archive/2025/301/ms013
