match_date,player_1,player_2,duration,match_round,player_1_scores,player_2_scores,winner,result,match_id,tournament_id,stats_link
Final,Giovanni Mpetshi Perricard,Ben Shelton,01:27,Finals,6 7,4 6(4),Giovanni Mpetshi Perricard,Completed,ms001,328,https://www.atptour.com//en/scores/stats-centre/archive/2024/328/ms001
Semifinal,Giovanni Mpetshi Perricard,Holger Rune,01:19,Semi-Finals,7 6,6(6) 4,Giovanni Mpetshi Perricard,Completed,ms003,328,https://www.atptour.com//en/scores/stats-centre/archive/2024/328/ms003
Semifinal,Ben Shelton,Arthur Fils,01:18,Semi-Finals,6 7,3 6(9),Ben Shelton,Completed,ms002,328,https://www.atptour.com//en/scores/stats-centre/archive/2024/328/ms002
Quarterfinal,Ben Shelton,Andrey Rublev,02:15,Quarter-Finals,7 6(3) 6,5 7 4,Ben Shelton,Completed,ms004,328,https://www.atptour.com//en/scores/stats-centre/archive/2024/328/ms004
Quarterfinal,Arthur Fils,Stefanos Tsitsipas,01:24,Quarter-Finals,7 6,6(5) 3,Arthur Fils,Completed,ms005,328,https://www.atptour.com//en/scores/stats-centre/archive/2024/328/ms005
Quarterfinal,Holger Rune,David Goffin,01:20,Quarter-Finals,6 6,2 4,Holger Rune,Completed,ms006,328,https://www.atptour.com//en/scores/stats-centre/archive/2024/328/ms006
Quarterfinal,Giovanni Mpetshi Perricard,Denis Shapovalov,02:06,Quarter-Finals,6(7) 6 7,7 3 6(3),Giovanni Mpetshi Perricard,Completed,ms007,328,https://www.atptour.com//en/scores/stats-centre/archive/2024/328/ms007
Round of 16,Andrey Rublev,Alejandro Tabilo,01:13,Round of 16,7 6,6(3) 1,Andrey Rublev,Completed,ms008,328,https://www.atptour.com//en/scores/stats-centre/archive/2024/328/ms008
Round of 16,Stefanos Tsitsipas,Botic van de Zandschulp,01:47,Round of 16,7 7,6(3) 5,Stefanos Tsitsipas,Completed,ms010,328,https://www.atptour.com//en/scores/stats-centre/archive/2024/328/ms010
Round of 16,Holger Rune,Dominic Stricker,01:27,Round of 16,6 7,3 6(2),Holger Rune,Completed,ms013,328,https://www.atptour.com//en/scores/stats-centre/archive/2024/328/ms013
Round of 16,David Goffin,Ugo Humbert,02:27,Round of 16,3 6 7,6 1 6(7),David Goffin,Completed,ms012,328,https://www.atptour.com//en/scores/stats-centre/archive/2024/328/ms012
Round of 16,Ben Shelton,Stan Wawrinka,01:35,Round of 16,7 7,6(2) 5,Ben Shelton,Completed,ms009,328,https://www.atptour.com//en/scores/stats-centre/archive/2024/328/ms009
Round of 16,Arthur Fils,Pedro Martinez,01:30,Round of 16,7 6,5 3,Arthur Fils,Completed,ms011,328,https://www.atptour.com//en/scores/stats-centre/archive/2024/328/ms011
Round of 16,Giovanni Mpetshi Perricard,Felix Auger-Aliassime,01:22,Round of 16,6 7,1 6(6),Giovanni Mpetshi Perricard,Completed,ms014,328,https://www.atptour.com//en/scores/stats-centre/archive/2024/328/ms014
Round of 16,Denis Shapovalov,Roberto Bautista Agut,01:40,Round of 16,6 7,3 6(4),Denis Shapovalov,Completed,ms015,328,https://www.atptour.com//en/scores/stats-centre/archive/2024/328/ms015
Round of 32,Andrey Rublev,Nuno Borges,01:05,Round of 32,6 6,3 2,Andrey Rublev,Completed,ms016,328,https://www.atptour.com//en/scores/stats-centre/archive/2024/328/ms016
Round of 32,Roberto Bautista Agut,Casper Ruud,02:03,Round of 32,6 3 6,3 6 3,Roberto Bautista Agut,Completed,ms031,328,https://www.atptour.com//en/scores/stats-centre/archive/2024/328/ms031
