match_date,player_1,player_2,duration,match_round,player_1_scores,player_2_scores,winner,result,match_id,tournament_id,stats_link
Final,Nuno Borges,Rafael Nadal,01:28,Finals,6 6,3 2,Nuno Borges,Completed,ms001,316,https://www.atptour.com//en/scores/stats-centre/archive/2024/316/ms001
Semifinal,Nuno Borges,Thiago Agustin Tirante,01:10,Semi-Finals,6 6,3 4,Nuno Borges,Completed,ms002,316,https://www.atptour.com//en/scores/stats-centre/archive/2024/316/ms002
Semifinal,Rafael Nadal,Duje Ajdukovic,02:13,Semi-Finals,4 6 6,6 3 4,Rafael Nadal,Completed,ms003,316,https://www.atptour.com//en/scores/stats-centre/archive/2024/316/ms003
Quarterfinal,Rafael Nadal,Mariano Navone,04:00,Quarter-Finals,6(2) 7 7,7 5 5,Rafael Nadal,Completed,ms006,316,https://www.atptour.com//en/scores/stats-centre/archive/2024/316/ms006
Quarterfinal,Nuno Borges,Timofey Skatov,01:31,Quarter-Finals,6 6,4 3,Nuno Borges,Completed,ms005,316,https://www.atptour.com//en/scores/stats-centre/archive/2024/316/ms005
Quarterfinal,Duje Ajdukovic,Thiago Monteiro,02:10,Quarter-Finals,6 4 6,2 6 4,Duje Ajdukovic,Completed,ms007,316,https://www.atptour.com//en/scores/stats-centre/archive/2024/316/ms007
Quarterfinal,Thiago Agustin Tirante,Roberto Carballes Baena,02:15,Quarter-Finals,6 2 7,3 6 5,Thiago Agustin Tirante,Completed,ms004,316,https://www.atptour.com//en/scores/stats-centre/archive/2024/316/ms004
Round of 16,Thiago Agustin Tirante,Andrey Rublev,02:25,Round of 16,7 3 6,6(5) 6 4,Thiago Agustin Tirante,Completed,ms008,316,https://www.atptour.com//en/scores/stats-centre/archive/2024/316/ms008
Round of 16,Thiago Monteiro,Casper Ruud,01:29,Round of 16,6 6,3 3,Thiago Monteiro,Completed,ms015,316,https://www.atptour.com//en/scores/stats-centre/archive/2024/316/ms015
Round of 16,Timofey Skatov,Tallon Griekspoor,02:09,Round of 16,1 6 6,6 3 4,Timofey Skatov,Completed,ms010,316,https://www.atptour.com//en/scores/stats-centre/archive/2024/316/ms010
Round of 16,Mariano Navone,Sumit Nagal,01:41,Round of 16,6 6,4 2,Mariano Navone,Completed,ms013,316,https://www.atptour.com//en/scores/stats-centre/archive/2024/316/ms013
Round of 16,Rafael Nadal,Cameron Norrie,01:43,Round of 16,6 6,4 4,Rafael Nadal,Completed,ms012,316,https://www.atptour.com//en/scores/stats-centre/archive/2024/316/ms012
Round of 16,Nuno Borges,Henrique Rocha,02:09,Round of 16,1 6 6,6 4 0,Nuno Borges,Completed,ms011,316,https://www.atptour.com//en/scores/stats-centre/archive/2024/316/ms011
