match_date,player_1,player_2,duration,match_round,player_1_scores,player_2_scores,winner,result,match_id,tournament_id,stats_link
Final,Carlos Alcaraz,Jannik Sinner,03:21,Finals,6(6) 6 7,7 4 6(3),Carlos Alcaraz,Completed,ms001,747,https://www.atptour.com//en/scores/stats-centre/archive/2024/747/ms001
Semifinal,Jannik Sinner,Yunchaokete Bu,02:05,Semi-Finals,6 7,3 6(3),Jannik Sinner,Completed,ms002,747,https://www.atptour.com//en/scores/stats-centre/archive/2024/747/ms002
Semifinal,Carlos Alcaraz,Daniil Medvedev,01:28,Semi-Finals,7 6,5 3,Carlos Alcaraz,Completed,ms003,747,https://www.atptour.com//en/scores/stats-centre/archive/2024/747/ms003
Quarterfinal,Jannik Sinner,Jiri Lehecka,01:45,Quarter-Finals,6 7,2 6(6),Jannik Sinner,Completed,ms004,747,https://www.atptour.com//en/scores/stats-centre/archive/2024/747/ms004
Quarterfinal,Carlos Alcaraz,Karen Khachanov,01:36,Quarter-Finals,7 6,5 2,Carlos Alcaraz,Completed,ms007,747,https://www.atptour.com//en/scores/stats-centre/archive/2024/747/ms007
Quarterfinal,Daniil Medvedev,Flavio Cobolli,01:28,Quarter-Finals,6 6,2 4,Daniil Medvedev,Completed,ms006,747,https://www.atptour.com//en/scores/stats-centre/archive/2024/747/ms006
Quarterfinal,Yunchaokete Bu,Andrey Rublev,01:33,Quarter-Finals,7 6,5 4,Yunchaokete Bu,Completed,ms005,747,https://www.atptour.com//en/scores/stats-centre/archive/2024/747/ms005
Round of 16,Jannik Sinner,Roman Safiullin,02:22,Round of 16,3 6 6,6 2 3,Jannik Sinner,Completed,ms008,747,https://www.atptour.com//en/scores/stats-centre/archive/2024/747/ms008
Round of 16,Carlos Alcaraz,Tallon Griekspoor,00:57,Round of 16,6 6,1 2,Carlos Alcaraz,Completed,ms015,747,https://www.atptour.com//en/scores/stats-centre/archive/2024/747/ms015
Round of 16,Daniil Medvedev,Adrian Mannarino,01:42,Round of 16,7 6,6(6) 2,Daniil Medvedev,Completed,ms013,747,https://www.atptour.com//en/scores/stats-centre/archive/2024/747/ms013
Round of 16,Andrey Rublev,Alejandro Davidovich Fokina,01:44,Round of 16,6 7,4 5,Andrey Rublev,Completed,ms010,747,https://www.atptour.com//en/scores/stats-centre/archive/2024/747/ms010
Round of 16,Yunchaokete Bu,Lorenzo Musetti,01:29,Round of 16,6 6,2 4,Yunchaokete Bu,Completed,ms011,747,https://www.atptour.com//en/scores/stats-centre/archive/2024/747/ms011
Round of 16,Karen Khachanov,Francisco Cerundolo,02:09,Round of 16,7 7,6(4) 6(9),Karen Khachanov,Completed,ms014,747,https://www.atptour.com//en/scores/stats-centre/archive/2024/747/ms014
Round of 16,Flavio Cobolli,Pavel Kotov,01:17,Round of 16,6 6,4 2,Flavio Cobolli,Completed,ms012,747,https://www.atptour.com//en/scores/stats-centre/archive/2024/747/ms012
Round of 16,Jiri Lehecka,Roberto Bautista Agut,01:41,Round of 16,3 6 6,6 2 1,Jiri Lehecka,Completed,ms009,747,https://www.atptour.com//en/scores/stats-centre/archive/2024/747/ms009
Round of 32,Jannik Sinner,Nicolas Jarry,01:55,Round of 32,4 6 6,6 3 1,Jannik Sinner,Completed,ms016,747,https://www.atptour.com//en/scores/stats-centre/archive/2024/747/ms016
