match_date,player_1,player_2,duration,match_round,player_1_scores,player_2_scores,winner,result,match_id,tournament_id,stats_link
Final,Denis Shapovalov,Hamad Medjedovic,01:15,Finals,6 6,4 4,Denis Shapovalov,Completed,ms001,4787,https://www.atptour.com//en/scores/stats-centre/archive/2024/4787/ms001
Semifinal,Denis Shapovalov,Jiri Lehecka,00:56,Semi-Finals,6 6,2 1,Denis Shapovalov,Completed,ms003,4787,https://www.atptour.com//en/scores/stats-centre/archive/2024/4787/ms003
Semifinal,Hamad Medjedovic,Laslo Djere,02:27,Semi-Finals,6 3 7,2 6 6(2),Hamad Medjedovic,Completed,ms002,4787,https://www.atptour.com//en/scores/stats-centre/archive/2024/4787/ms002
Quarterfinal,Hamad Medjedovic,Francisco Cerundolo,01:13,Quarter-Finals,6 6,4 2,Hamad Medjedovic,Completed,ms005,4787,https://www.atptour.com//en/scores/stats-centre/archive/2024/4787/ms005
Quarterfinal,Jiri Lehecka,Lukas Klein,02:00,Quarter-Finals,3 7 6,6 6(3) 3,Jiri Lehecka,Completed,ms006,4787,https://www.atptour.com//en/scores/stats-centre/archive/2024/4787/ms006
Quarterfinal,Laslo Djere,Fabian Marozsan,01:08,Quarter-Finals,6 6,4 2,Laslo Djere,Completed,ms004,4787,https://www.atptour.com//en/scores/stats-centre/archive/2024/4787/ms004
Quarterfinal,Denis Shapovalov,Christopher O'Connell,01:11,Quarter-Finals,6 6,2 2,Denis Shapovalov,Completed,ms007,4787,https://www.atptour.com//en/scores/stats-centre/archive/2024/4787/ms007
Round of 16,Francisco Cerundolo,Roman Safiullin,01:31,Round of 16,6 6,4 4,Francisco Cerundolo,Completed,ms010,4787,https://www.atptour.com//en/scores/stats-centre/archive/2024/4787/ms010
Round of 16,Jiri Lehecka,Marin Cilic,01:44,Round of 16,6 7,4 6(4),Jiri Lehecka,Completed,ms013,4787,https://www.atptour.com//en/scores/stats-centre/archive/2024/4787/ms013
Round of 16,Denis Shapovalov,Nuno Borges,01:05,Round of 16,6 6,2 4,Denis Shapovalov,Completed,ms015,4787,https://www.atptour.com//en/scores/stats-centre/archive/2024/4787/ms015
Round of 16,Lukas Klein,Tomas Martin Etcheverry,01:46,Round of 16,6 7,4 6(6),Lukas Klein,Completed,ms012,4787,https://www.atptour.com//en/scores/stats-centre/archive/2024/4787/ms012
Round of 16,Laslo Djere,Duje Ajdukovic,01:26,Round of 16,6 7,1 6(8),Laslo Djere,Completed,ms008,4787,https://www.atptour.com//en/scores/stats-centre/archive/2024/4787/ms008
Round of 16,Fabian Marozsan,Dusan Lajovic,01:14,Round of 16,6 7,3 5,Fabian Marozsan,Completed,ms009,4787,https://www.atptour.com//en/scores/stats-centre/archive/2024/4787/ms009
Round of 16,Hamad Medjedovic,Aleksandar Kovacevic,01:21,Round of 16,7 6,6(5) 4,Hamad Medjedovic,Completed,ms011,4787,https://www.atptour.com//en/scores/stats-centre/archive/2024/4787/ms011
Round of 16,Christopher O'Connell,Daniel Altmaier,01:19,Round of 16,6 6,3 1,Christopher O'Connell,Completed,ms014,4787,https://www.atptour.com//en/scores/stats-centre/archive/2024/4787/ms014
Round of 32,Francisco Cerundolo,Bye,00:00,Round of 32,,,Francisco Cerundolo,Completed,,4787,
Round of 32,Jiri Lehecka,Bye,00:00,Round of 32,,,Jiri Lehecka,Completed,,4787,
Round of 32,Nuno Borges,Bye,00:00,Round of 32,,,Nuno Borges,Completed,,4787,
Round of 32,Hamad Medjedovic,Brandon Nakashima,02:00,Round of 32,3 7 6,6 5 3,Hamad Medjedovic,Completed,ms023,4787,https://www.atptour.com//en/scores/stats-centre/archive/2024/4787/ms023
Round of 32,Tomas Martin Etcheverry,Pavel Kotov,01:25,Round of 32,6 6,3 4,Tomas Martin Etcheverry,Completed,ms024,4787,https://www.atptour.com//en/scores/stats-centre/archive/2024/4787/ms024
Round of 32,Daniel Altmaier,Luciano Darderi,01:17,Round of 32,7 6,6(1) 3,Daniel Altmaier,Completed,ms028,4787,https://www.atptour.com//en/scores/stats-centre/archive/2024/4787/ms028
Round of 32,Dusan Lajovic,Mariano Navone,01:25,Round of 32,6 7,0 6(3),Dusan Lajovic,Completed,ms019,4787,https://www.atptour.com//en/scores/stats-centre/archive/2024/4787/ms019
Round of 32,Duje Ajdukovic,Bye,00:00,Round of 32,,,Duje Ajdukovic,Completed,,4787,
Round of 32,Marin Cilic,Alexandre Muller,01:34,Round of 32,7 6,6(2) 3,Marin Cilic,Completed,ms026,4787,https://www.atptour.com//en/scores/stats-centre/archive/2024/4787/ms026
Round of 32,Laslo Djere,Stan Wawrinka,01:24,Round of 32,6 6,4 4,Laslo Djere,Completed,ms017,4787,https://www.atptour.com//en/scores/stats-centre/archive/2024/4787/ms017
Round of 32,Lukas Klein,James Duckworth,01:18,Round of 32,6 6,4 2,Lukas Klein,Completed,ms025,4787,https://www.atptour.com//en/scores/stats-centre/archive/2024/4787/ms025
Round of 32,Aleksandar Kovacevic,Branko Djuric,01:03,Round of 32,6 6,2 2,Aleksandar Kovacevic,Completed,ms022,4787,https://www.atptour.com//en/scores/stats-centre/archive/2024/4787/ms022
Round of 32,Fabian Marozsan,Juncheng Shang,02:08,Round of 32,2 7 7,6 6(5) 5,Fabian Marozsan,Completed,ms018,4787,https://www.atptour.com//en/scores/stats-centre/archive/2024/4787/ms018
Round of 32,Christopher O'Connell,Miomir Kecmanovic,01:03,Round of 32,6 6,1 1,Christopher O'Connell,Completed,ms029,4787,https://www.atptour.com//en/scores/stats-centre/archive/2024/4787/ms029
Round of 32,Roman Safiullin,Fabio Fognini,01:14,Round of 32,6 6,3 3,Roman Safiullin,Completed,ms021,4787,https://www.atptour.com//en/scores/stats-centre/archive/2024/4787/ms021
Round of 32,Denis Shapovalov,Marton Fucsovics,02:36,Round of 32,6(6) 7 6,7 5 1,Denis Shapovalov,Completed,ms030,4787,https://www.atptour.com//en/scores/stats-centre/archive/2024/4787/ms030
2nd Round Qualifying,Denis Shapovalov,Hugo Grenier,01:31,2nd Round Qualifying,6 6,3 4,Denis Shapovalov,Completed,qs004,4787,https://www.atptour.com//en/scores/stats-centre/archive/2024/4787/qs004
2nd Round Qualifying,Marton Fucsovics,Duje Ajdukovic,01:32,2nd Round Qualifying,7 6,5 3,Marton Fucsovics,Completed,qs006,4787,https://www.atptour.com//en/scores/stats-centre/archive/2024/4787/qs006
2nd Round Qualifying,Branko Djuric,Thiago Agustin Tirante,02:43,2nd Round Qualifying,6(2) 6 6,7 2 4,Branko Djuric,Completed,qs005,4787,https://www.atptour.com//en/scores/stats-centre/archive/2024/4787/qs005
2nd Round Qualifying,Lukas Klein,Jozef Kovalik,01:37,2nd Round Qualifying,3 6 6,6 3 1,Lukas Klein,Completed,qs007,4787,https://www.atptour.com//en/scores/stats-centre/archive/2024/4787/qs007
1st Round Qualifying,Denis Shapovalov,Constant Lestienne,01:37,1st Round Qualifying,7 6,6(4) 4,Denis Shapovalov,Completed,qs008,4787,https://www.atptour.com//en/scores/stats-centre/archive/2024/4787/qs008
1st Round Qualifying,Marton Fucsovics,Aslan Karatsev,01:00,1st Round Qualifying,6 6,4 1,Marton Fucsovics,Completed,qs012,4787,https://www.atptour.com//en/scores/stats-centre/archive/2024/4787/qs012
1st Round Qualifying,Lukas Klein,Yannick Hanfmann,01:16,1st Round Qualifying,6 6,4 4,Lukas Klein,Completed,qs014,4787,https://www.atptour.com//en/scores/stats-centre/archive/2024/4787/qs014
1st Round Qualifying,Hugo Grenier,Damir Dzumhur,02:07,1st Round Qualifying,6 3 6,3 6 3,Hugo Grenier,Completed,qs009,4787,https://www.atptour.com//en/scores/stats-centre/archive/2024/4787/qs009
1st Round Qualifying,Duje Ajdukovic,Marat Sharipov,01:10,1st Round Qualifying,6 6,3 4,Duje Ajdukovic,Completed,qs013,4787,https://www.atptour.com//en/scores/stats-centre/archive/2024/4787/qs013
1st Round Qualifying,Thiago Agustin Tirante,Marko Maksimovic,01:47,1st Round Qualifying,7 6,6(7) 3,Thiago Agustin Tirante,Completed,qs011,4787,https://www.atptour.com//en/scores/stats-centre/archive/2024/4787/qs011
