match_date,player_1,player_2,duration,match_round,player_1_scores,player_2_scores,winner,result,match_id,tournament_id,stats_link
Final,Roberto Bautista Agut,Jiri Lehecka,01:16,Finals,7 6,5 1,Roberto Bautista Agut,Completed,ms001,7485,https://www.atptour.com//en/scores/stats-centre/archive/2024/7485/ms001
Semifinal,Jiri Lehecka,Marcos Giron,01:57,Semi-Finals,6 4 6,3 6 2,Jiri Lehecka,Completed,ms003,7485,https://www.atptour.com//en/scores/stats-centre/archive/2024/7485/ms003
Semifinal,Roberto Bautista Agut,Hugo Gaston,01:28,Semi-Finals,6 6,3 4,Roberto Bautista Agut,Completed,ms002,7485,https://www.atptour.com//en/scores/stats-centre/archive/2024/7485/ms002
Quarterfinal,Hugo Gaston,Alex de Minaur,02:10,Quarter-Finals,6 3 7,3 6 5,Hugo Gaston,Completed,ms004,7485,https://www.atptour.com//en/scores/stats-centre/archive/2024/7485/ms004
Quarterfinal,Jiri Lehecka,Stefanos Tsitsipas,01:25,Quarter-Finals,6 6,4 4,Jiri Lehecka,Completed,ms007,7485,https://www.atptour.com//en/scores/stats-centre/archive/2024/7485/ms007
Quarterfinal,Roberto Bautista Agut,Felix Auger-Aliassime,02:43,Quarter-Finals,3 6 7,6 2 6(6),Roberto Bautista Agut,Completed,ms005,7485,https://www.atptour.com//en/scores/stats-centre/archive/2024/7485/ms005
Quarterfinal,Marcos Giron,Zizou Bergs,01:15,Quarter-Finals,6 6,2 2,Marcos Giron,Completed,ms006,7485,https://www.atptour.com//en/scores/stats-centre/archive/2024/7485/ms006
Round of 16,Alex de Minaur,Roberto Carballes Baena,02:19,Round of 16,2 6 6,6 4 2,Alex de Minaur,Completed,ms008,7485,https://www.atptour.com//en/scores/stats-centre/archive/2024/7485/ms008
Round of 16,Stefanos Tsitsipas,Thiago Seyboth Wild,02:20,Round of 16,7 4 7,6(5) 6 5,Stefanos Tsitsipas,Completed,ms015,7485,https://www.atptour.com//en/scores/stats-centre/archive/2024/7485/ms015
Round of 16,Felix Auger-Aliassime,Marton Fucsovics,02:35,Round of 16,6(4) 6 6,7 4 2,Felix Auger-Aliassime,Completed,ms010,7485,https://www.atptour.com//en/scores/stats-centre/archive/2024/7485/ms010
Round of 16,Zizou Bergs,Sebastian Baez,01:34,Round of 16,6 6,3 4,Zizou Bergs,Completed,ms013,7485,https://www.atptour.com//en/scores/stats-centre/archive/2024/7485/ms013
Round of 16,Jiri Lehecka,Daniel Altmaier,01:13,Round of 16,6 6,4 3,Jiri Lehecka,Completed,ms014,7485,https://www.atptour.com//en/scores/stats-centre/archive/2024/7485/ms014
Round of 16,Roberto Bautista Agut,Tomas Martin Etcheverry,01:51,Round of 16,7 6,6(2) 4,Roberto Bautista Agut,Completed,ms011,7485,https://www.atptour.com//en/scores/stats-centre/archive/2024/7485/ms011
Round of 16,Hugo Gaston,Mariano Navone,02:49,Round of 16,6 6(3) 7,4 7 6(4),Hugo Gaston,Completed,ms009,7485,https://www.atptour.com//en/scores/stats-centre/archive/2024/7485/ms009
Round of 16,Marcos Giron,Arthur Rinderknech,01:55,Round of 16,7 7,6(6) 6(4),Marcos Giron,Completed,ms012,7485,https://www.atptour.com//en/scores/stats-centre/archive/2024/7485/ms012
Round of 32,Alex de Minaur,Bye,00:00,Round of 32,,,Alex de Minaur,Completed,,7485,
Round of 32,Stefanos Tsitsipas,Bye,00:00,Round of 32,,,Stefanos Tsitsipas,Completed,,7485,
Round of 32,Felix Auger-Aliassime,Bye,00:00,Round of 32,,,Felix Auger-Aliassime,Completed,,7485,
Round of 32,Sebastian Baez,Bye,00:00,Round of 32,,,Sebastian Baez,Completed,,7485,
Round of 32,Jiri Lehecka,Jaume Munar,01:25,Round of 32,6 6,1 4,Jiri Lehecka,Completed,ms028,7485,https://www.atptour.com//en/scores/stats-centre/archive/2024/7485/ms028
Round of 32,Tomas Martin Etcheverry,Richard Gasquet,01:49,Round of 32,7 6,6(4) 4,Tomas Martin Etcheverry,Completed,ms023,7485,https://www.atptour.com//en/scores/stats-centre/archive/2024/7485/ms023
Round of 32,Mariano Navone,Thiago Monteiro,02:42,Round of 32,6 4 7,3 6 6(6),Mariano Navone,Completed,ms019,7485,https://www.atptour.com//en/scores/stats-centre/archive/2024/7485/ms019
Round of 32,Marcos Giron,Botic van de Zandschulp,01:19,Round of 32,6 6,4 1,Marcos Giron,Completed,ms024,7485,https://www.atptour.com//en/scores/stats-centre/archive/2024/7485/ms024
Round of 32,Daniel Altmaier,Gilles Arnaud Bailly,01:17,Round of 32,6 6,4 3,Daniel Altmaier,Completed,ms029,7485,https://www.atptour.com//en/scores/stats-centre/archive/2024/7485/ms029
Round of 32,Roberto Bautista Agut,Luca Van Assche,01:13,Round of 32,6 6,2 1,Roberto Bautista Agut,Completed,ms022,7485,https://www.atptour.com//en/scores/stats-centre/archive/2024/7485/ms022
Round of 32,Zizou Bergs,Facundo Diaz Acosta,01:46,Round of 32,7 6,5 4,Zizou Bergs,Completed,ms026,7485,https://www.atptour.com//en/scores/stats-centre/archive/2024/7485/ms026
Round of 32,Roberto Carballes Baena,Dominik Koepfer,01:13,Round of 32,6 6,4 0,Roberto Carballes Baena,Completed,ms017,7485,https://www.atptour.com//en/scores/stats-centre/archive/2024/7485/ms017
Round of 32,Marton Fucsovics,Raphael Collignon,01:03,Round of 32,6 6,2 0,Marton Fucsovics,Completed,ms021,7485,https://www.atptour.com//en/scores/stats-centre/archive/2024/7485/ms021
Round of 32,Hugo Gaston,Alexey Vatutin,01:48,Round of 32,3 6 6,6 3 3,Hugo Gaston,Completed,ms018,7485,https://www.atptour.com//en/scores/stats-centre/archive/2024/7485/ms018
Round of 32,Arthur Rinderknech,Alexander Blockx,01:21,Round of 32,6 6,3 1,Arthur Rinderknech,Completed,ms025,7485,https://www.atptour.com//en/scores/stats-centre/archive/2024/7485/ms025
Round of 32,Thiago Seyboth Wild,Giovanni Mpetshi Perricard,01:19,Round of 32,7 6,6(4) 3,Thiago Seyboth Wild,Completed,ms030,7485,https://www.atptour.com//en/scores/stats-centre/archive/2024/7485/ms030
2nd Round Qualifying,Thiago Seyboth Wild,Mark Lajal,01:09,2nd Round Qualifying,6 6,2 3,Thiago Seyboth Wild,Completed,qs005,7485,https://www.atptour.com//en/scores/stats-centre/archive/2024/7485/qs005
2nd Round Qualifying,Luca Van Assche,Alex Marti Pujolras,01:13,2nd Round Qualifying,6 6,0 4,Luca Van Assche,Completed,qs006,7485,https://www.atptour.com//en/scores/stats-centre/archive/2024/7485/qs006
2nd Round Qualifying,Alexey Vatutin,Manuel Guinard,01:51,2nd Round Qualifying,6 3 7,4 6 5,Alexey Vatutin,Completed,qs004,7485,https://www.atptour.com//en/scores/stats-centre/archive/2024/7485/qs004
2nd Round Qualifying,Gilles Arnaud Bailly,Nikoloz Basilashvili,01:41,2nd Round Qualifying,7 6,6(4) 1,Gilles Arnaud Bailly,Completed,qs007,7485,https://www.atptour.com//en/scores/stats-centre/archive/2024/7485/qs007
1st Round Qualifying,Alexey Vatutin,Yannick Hanfmann,01:12,1st Round Qualifying,6 6,4 2,Alexey Vatutin,Completed,qs008,7485,https://www.atptour.com//en/scores/stats-centre/archive/2024/7485/qs008
1st Round Qualifying,Thiago Seyboth Wild,Emilien Demanet,02:55,1st Round Qualifying,5 7 6,7 6(5) 4,Thiago Seyboth Wild,Completed,qs010,7485,https://www.atptour.com//en/scores/stats-centre/archive/2024/7485/qs010
1st Round Qualifying,Luca Van Assche,Jelle Sels,01:24,1st Round Qualifying,6 6,2 4,Luca Van Assche,Completed,qs012,7485,https://www.atptour.com//en/scores/stats-centre/archive/2024/7485/qs012
1st Round Qualifying,Gilles Arnaud Bailly,Pierre-Hugues Herbert,01:36,1st Round Qualifying,7 6,6(7) 3,Gilles Arnaud Bailly,Completed,qs014,7485,https://www.atptour.com//en/scores/stats-centre/archive/2024/7485/qs014
1st Round Qualifying,Mark Lajal,Miguel Damas,01:02,1st Round Qualifying,6 6,2 0,Mark Lajal,Completed,qs011,7485,https://www.atptour.com//en/scores/stats-centre/archive/2024/7485/qs011
1st Round Qualifying,Alex Marti Pujolras,Filip Cristian Jianu,01:50,1st Round Qualifying,6 7,4 5,Alex Marti Pujolras,Completed,qs013,7485,https://www.atptour.com//en/scores/stats-centre/archive/2024/7485/qs013
1st Round Qualifying,Manuel Guinard,Michael Geerts,01:50,1st Round Qualifying,7 6,6(4) 4,Manuel Guinard,Completed,qs009,7485,https://www.atptour.com//en/scores/stats-centre/archive/2024/7485/qs009
1st Round Qualifying,Nikoloz Basilashvili,Tim Puetz,00:59,1st Round Qualifying,6 6,2 2,Nikoloz Basilashvili,Completed,qs015,7485,https://www.atptour.com//en/scores/stats-centre/archive/2024/7485/qs015
