match_date,player_1,player_2,duration,match_round,player_1_scores,player_2_scores,winner,result,match_id,tournament_id,stats_link
Final,Juncheng Shang,Lorenzo Musetti,01:39,Finals,7 6,6(4) 1,Juncheng Shang,Completed,ms001,7581,https://www.atptour.com//en/scores/stats-centre/archive/2024/7581/ms001
Semifinal,Lorenzo Musetti,Alibek Kachmazov,01:42,Semi-Finals,6 6,4 2,Lorenzo Musetti,Completed,ms002,7581,https://www.atptour.com//en/scores/stats-centre/archive/2024/7581/ms002
Semifinal,Juncheng Shang,Yannick Hanfmann,01:29,Semi-Finals,6 6,4 4,Juncheng Shang,Completed,ms003,7581,https://www.atptour.com//en/scores/stats-centre/archive/2024/7581/ms003
Quarterfinal,Lorenzo Musetti,Adrian Mannarino,02:17,Quarter-Finals,6 5 6,2 7 2,Lorenzo Musetti,Completed,ms004,7581,https://www.atptour.com//en/scores/stats-centre/archive/2024/7581/ms004
Quarterfinal,Juncheng Shang,Alexander Bublik,01:51,Quarter-Finals,6 7,4 6(8),Juncheng Shang,Completed,ms007,7581,https://www.atptour.com//en/scores/stats-centre/archive/2024/7581/ms007
Quarterfinal,Alibek Kachmazov,Nicolas Jarry,01:34,Quarter-Finals,6 6,3 4,Alibek Kachmazov,Completed,ms005,7581,https://www.atptour.com//en/scores/stats-centre/archive/2024/7581/ms005
Quarterfinal,Yannick Hanfmann,Pedro Martinez,01:53,Quarter-Finals,7 6,6(1) 2,Yannick Hanfmann,Completed,ms006,7581,https://www.atptour.com//en/scores/stats-centre/archive/2024/7581/ms006
Round of 16,Lorenzo Musetti,Christopher O'Connell,02:38,Round of 16,6(5) 6 7,7 4 6(4),Lorenzo Musetti,Completed,ms008,7581,https://www.atptour.com//en/scores/stats-centre/archive/2024/7581/ms008
Round of 16,Alexander Bublik,Federico Agustin Gomez,01:28,Round of 16,6 6,4 4,Alexander Bublik,Completed,ms015,7581,https://www.atptour.com//en/scores/stats-centre/archive/2024/7581/ms015
Round of 16,Nicolas Jarry,Lukas Klein,02:19,Round of 16,7 3 6,6(2) 6 4,Nicolas Jarry,Completed,ms010,7581,https://www.atptour.com//en/scores/stats-centre/archive/2024/7581/ms010
