match_date,player_1,player_2,duration,match_round,player_1_scores,player_2_scores,winner,result,match_id,tournament_id,stats_link
Final,Jannik Sinner,Frances Tiafoe,01:37,Finals,7 6,6(4) 2,Jannik Sinner,Completed,ms001,422,https://www.atptour.com//en/scores/stats-centre/archive/2024/422/ms001
Semifinal,Jannik Sinner,Alexander Zverev,03:07,Semi-Finals,7 5 7,6(9) 7 6(4),Jannik Sinner,Completed,ms002,422,https://www.atptour.com//en/scores/stats-centre/archive/2024/422/ms002
Semifinal,Frances Tiafoe,Holger Rune,02:09,Semi-Finals,4 6 7,6 1 6(4),Frances Tiafoe,Completed,ms003,422,https://www.atptour.com//en/scores/stats-centre/archive/2024/422/ms003
Quarterfinal,Jannik Sinner,Andrey Rublev,02:27,Quarter-Finals,4 7 6,6 5 4,Jannik Sinner,Completed,ms004,422,https://www.atptour.com//en/scores/stats-centre/archive/2024/422/ms004
Quarterfinal,Alexander Zverev,Ben Shelton,02:29,Quarter-Finals,3 7 7,6 6(3) 5,Alexander Zverev,Completed,ms005,422,https://www.atptour.com//en/scores/stats-centre/archive/2024/422/ms005
Quarterfinal,Frances Tiafoe,Hubert Hurkacz,00:47,Quarter-Finals,6,3,Frances Tiafoe,Completed,ms006,422,https://www.atptour.com//en/scores/stats-centre/archive/2024/422/ms006
Quarterfinal,Holger Rune,Jack Draper,01:16,Quarter-Finals,6 6,4 2,Holger Rune,Completed,ms007,422,https://www.atptour.com//en/scores/stats-centre/archive/2024/422/ms007
Round of 16,Jannik Sinner,Jordan Thompson,00:00,Round of 16,,,Jannik Sinner,Completed,,422,
Round of 16,Alexander Zverev,Pablo Carreno Busta,02:04,Round of 16,7 7,5 6(6),Alexander Zverev,Completed,ms010,422,https://www.atptour.com//en/scores/stats-centre/archive/2024/422/ms010
Round of 16,Hubert Hurkacz,Flavio Cobolli,01:58,Round of 16,6 3 6,3 6 1,Hubert Hurkacz,Completed,ms012,422,https://www.atptour.com//en/scores/stats-centre/archive/2024/422/ms012
Round of 16,Andrey Rublev,Brandon Nakashima,01:21,Round of 16,7 6,6(5) 1,Andrey Rublev,Completed,ms009,422,https://www.atptour.com//en/scores/stats-centre/archive/2024/422/ms009
Round of 16,Ben Shelton,Fabian Marozsan,01:10,Round of 16,6 6,4 3,Ben Shelton,Completed,ms011,422,https://www.atptour.com//en/scores/stats-centre/archive/2024/422/ms011
Round of 16,Holger Rune,Gael Monfils,02:14,Round of 16,3 6 6,6 3 4,Holger Rune,Completed,ms015,422,https://www.atptour.com//en/scores/stats-centre/archive/2024/422/ms015
Round of 16,Jack Draper,Felix Auger-Aliassime,02:37,Round of 16,5 6 6,7 4 4,Jack Draper,Completed,ms014,422,https://www.atptour.com//en/scores/stats-centre/archive/2024/422/ms014
Round of 16,Frances Tiafoe,Jiri Lehecka,02:52,Round of 16,6 6(10) 7,4 7 6(5),Frances Tiafoe,Completed,ms013,422,https://www.atptour.com//en/scores/stats-centre/archive/2024/422/ms013
Round of 32,Jannik Sinner,Alex Michelsen,01:52,Round of 32,6 7,4 5,Jannik Sinner,Completed,ms016,422,https://www.atptour.com//en/scores/stats-centre/archive/2024/422/ms016
Round of 32,Gael Monfils,Carlos Alcaraz,02:31,Round of 32,4 7 6,6 6(5) 4,Gael Monfils,Completed,ms031,422,https://www.atptour.com//en/scores/stats-centre/archive/2024/422/ms031
Round of 32,Alexander Zverev,Karen Khachanov,01:22,Round of 32,6 6,3 2,Alexander Zverev,Completed,ms020,422,https://www.atptour.com//en/scores/stats-centre/archive/2024/422/ms020
Round of 32,Jiri Lehecka,Daniil Medvedev,01:40,Round of 32,7 6,6(2) 4,Jiri Lehecka,Completed,ms027,422,https://www.atptour.com//en/scores/stats-centre/archive/2024/422/ms027
Round of 32,Hubert Hurkacz,Yoshihito Nishioka,02:12,Round of 32,3 7 6,6 6(4) 1,Hubert Hurkacz,Completed,ms024,422,https://www.atptour.com//en/scores/stats-centre/archive/2024/422/ms024
Round of 32,Andrey Rublev,Zhizhen Zhang,01:01,Round of 32,6 6,4 3,Andrey Rublev,Completed,ms019,422,https://www.atptour.com//en/scores/stats-centre/archive/2024/422/ms019
Round of 32,Felix Auger-Aliassime,Casper Ruud,01:07,Round of 32,6 6,3 1,Felix Auger-Aliassime,Completed,ms028,422,https://www.atptour.com//en/scores/stats-centre/archive/2024/422/ms028
Round of 32,Fabian Marozsan,Grigor Dimitrov,01:56,Round of 32,4 6 6,6 4 3,Fabian Marozsan,Completed,ms023,422,https://www.atptour.com//en/scores/stats-centre/archive/2024/422/ms023
Round of 32,Jack Draper,Stefanos Tsitsipas,02:21,Round of 32,3 6 7,6 4 5,Jack Draper,Completed,ms029,422,https://www.atptour.com//en/scores/stats-centre/archive/2024/422/ms029
Round of 32,Ben Shelton,Tomas Martin Etcheverry,02:53,Round of 32,6(6) 7 6,7 6(7) 3,Ben Shelton,Completed,ms022,422,https://www.atptour.com//en/scores/stats-centre/archive/2024/422/ms022
Round of 32,Frances Tiafoe,Lorenzo Musetti,01:08,Round of 32,6 6,3 2,Frances Tiafoe,Completed,ms026,422,https://www.atptour.com//en/scores/stats-centre/archive/2024/422/ms026
Round of 32,Holger Rune,Nuno Borges,01:51,Round of 32,6 7,3 6(8),Holger Rune,Completed,ms030,422,https://www.atptour.com//en/scores/stats-centre/archive/2024/422/ms030
Round of 32,Pablo Carreno Busta,Max Purcell,01:07,Round of 32,6 6,3 3,Pablo Carreno Busta,Completed,ms021,422,https://www.atptour.com//en/scores/stats-centre/archive/2024/422/ms021
Round of 32,Flavio Cobolli,Luciano Darderi,01:06,Round of 32,7 3,6(4) 1,Flavio Cobolli,Completed,ms025,422,https://www.atptour.com//en/scores/stats-centre/archive/2024/422/ms025
Round of 32,Brandon Nakashima,Arthur Fils,01:50,Round of 32,7 7,5 6(3),Brandon Nakashima,Completed,ms018,422,https://www.atptour.com//en/scores/stats-centre/archive/2024/422/ms018
Round of 32,Jordan Thompson,Sebastian Baez,01:25,Round of 32,6 6,2 4,Jordan Thompson,Completed,ms017,422,https://www.atptour.com//en/scores/stats-centre/archive/2024/422/ms017
Round of 64,Jannik Sinner,Bye,00:00,Round of 64,,,Jannik Sinner,Completed,,422,
Round of 64,Carlos Alcaraz,Bye,00:00,Round of 64,,,Carlos Alcaraz,Completed,,422,
Round of 64,Alexander Zverev,Bye,00:00,Round of 64,,,Alexander Zverev,Completed,,422,
Round of 64,Daniil Medvedev,Bye,00:00,Round of 64,,,Daniil Medvedev,Completed,,422,
Round of 64,Hubert Hurkacz,Bye,00:00,Round of 64,,,Hubert Hurkacz,Completed,,422,
Round of 64,Andrey Rublev,Bye,00:00,Round of 64,,,Andrey Rublev,Completed,,422,
Round of 64,Casper Ruud,Bye,00:00,Round of 64,,,Casper Ruud,Completed,,422,
Round of 64,Grigor Dimitrov,Bye,00:00,Round of 64,,,Grigor Dimitrov,Completed,,422,
Round of 64,Stefanos Tsitsipas,Jan-Lennard Struff,01:57,Round of 64,4 6 6,6 4 3,Stefanos Tsitsipas,Completed,ms059,422,https://www.atptour.com//en/scores/stats-centre/archive/2024/422/ms059
Round of 64,Flavio Cobolli,Tommy Paul,02:06,Round of 64,6 4 7,2 6 5,Flavio Cobolli,Completed,ms051,422,https://www.atptour.com//en/scores/stats-centre/archive/2024/422/ms051
Round of 64,Brandon Nakashima,Taylor Fritz,02:17,Round of 64,6 4 7,4 6 6(4),Brandon Nakashima,Completed,ms036,422,https://www.atptour.com//en/scores/stats-centre/archive/2024/422/ms036
Round of 64,Ben Shelton,Reilly Opelka,01:38,Round of 64,7 7,6(3) 6(3),Ben Shelton,Completed,ms044,422,https://www.atptour.com//en/scores/stats-centre/archive/2024/422/ms044
Round of 64,Jordan Thompson,Ugo Humbert,02:33,Round of 64,3 6 7,6 3 6(4),Jordan Thompson,Completed,ms035,422,https://www.atptour.com//en/scores/stats-centre/archive/2024/422/ms035
Round of 64,Lorenzo Musetti,Nicolas Jarry,02:47,Round of 64,4 7 7,6 6(5) 6(4),Lorenzo Musetti,Completed,ms052,422,https://www.atptour.com//en/scores/stats-centre/archive/2024/422/ms052
Round of 64,Holger Rune,Matteo Berrettini,01:49,Round of 64,2 6 6,6 1 4,Holger Rune,Completed,ms060,422,https://www.atptour.com//en/scores/stats-centre/archive/2024/422/ms060
Round of 64,Pablo Carreno Busta,Sebastian Korda,01:17,Round of 64,7 6,5 1,Pablo Carreno Busta,Completed,ms043,422,https://www.atptour.com//en/scores/stats-centre/archive/2024/422/ms043
Round of 64,Felix Auger-Aliassime,Aleksandar Kovacevic,01:13,Round of 64,6 6,3 1,Felix Auger-Aliassime,Completed,ms057,422,https://www.atptour.com//en/scores/stats-centre/archive/2024/422/ms057
Round of 64,Sebastian Baez,Marcos Giron,02:36,Round of 64,6 5 7,4 7 6(6),Sebastian Baez,Completed,ms034,422,https://www.atptour.com//en/scores/stats-centre/archive/2024/422/ms034
Round of 64,Nuno Borges,Adrian Mannarino,02:03,Round of 64,6 3 6,4 6 1,Nuno Borges,Completed,ms061,422,https://www.atptour.com//en/scores/stats-centre/archive/2024/422/ms061
Round of 64,Luciano Darderi,Alejandro Tabilo,01:55,Round of 64,6 7,3 6(5),Luciano Darderi,Completed,ms050,422,https://www.atptour.com//en/scores/stats-centre/archive/2024/422/ms050
Round of 64,Jack Draper,Jaume Munar,02:33,Round of 64,7 3 7,5 6 6(5),Jack Draper,Completed,ms058,422,https://www.atptour.com//en/scores/stats-centre/archive/2024/422/ms058
Round of 64,Tomas Martin Etcheverry,Matteo Arnaldi,02:34,Round of 64,6 6(3) 6,3 7 2,Tomas Martin Etcheverry,Completed,ms045,422,https://www.atptour.com//en/scores/stats-centre/archive/2024/422/ms045
Round of 64,Arthur Fils,Brandon Holt,01:10,Round of 64,6 6,4 1,Arthur Fils,Completed,ms037,422,https://www.atptour.com//en/scores/stats-centre/archive/2024/422/ms037
Round of 64,Karen Khachanov,Francisco Cerundolo,01:04,Round of 64,6 6,0 3,Karen Khachanov,Completed,ms041,422,https://www.atptour.com//en/scores/stats-centre/archive/2024/422/ms041
Round of 64,Jiri Lehecka,Mariano Navone,01:28,Round of 64,7 6,6(3) 3,Jiri Lehecka,Completed,ms054,422,https://www.atptour.com//en/scores/stats-centre/archive/2024/422/ms054
Round of 64,Fabian Marozsan,Corentin Moutet,01:48,Round of 64,6 7,4 6(2),Fabian Marozsan,Completed,ms046,422,https://www.atptour.com//en/scores/stats-centre/archive/2024/422/ms046
Round of 64,Alex Michelsen,Tallon Griekspoor,01:47,Round of 64,6 5 6,1 7 2,Alex Michelsen,Completed,ms033,422,https://www.atptour.com//en/scores/stats-centre/archive/2024/422/ms033
Round of 64,Gael Monfils,Alexei Popyrin,01:21,Round of 64,7 6,5 3,Gael Monfils,Completed,ms062,422,https://www.atptour.com//en/scores/stats-centre/archive/2024/422/ms062
Round of 64,Yoshihito Nishioka,Miomir Kecmanovic,01:21,Round of 64,6 7,4 5,Yoshihito Nishioka,Completed,ms049,422,https://www.atptour.com//en/scores/stats-centre/archive/2024/422/ms049
Round of 64,Max Purcell,Tomas Machac,01:34,Round of 64,6 7,4 6(1),Max Purcell,Completed,ms042,422,https://www.atptour.com//en/scores/stats-centre/archive/2024/422/ms042
Round of 64,Frances Tiafoe,Alejandro Davidovich Fokina,01:44,Round of 64,6 7,3 6(6),Frances Tiafoe,Completed,ms053,422,https://www.atptour.com//en/scores/stats-centre/archive/2024/422/ms053
Round of 64,Zhizhen Zhang,Giovanni Mpetshi Perricard,01:19,Round of 64,6 7,3 6(4),Zhizhen Zhang,Completed,ms038,422,https://www.atptour.com//en/scores/stats-centre/archive/2024/422/ms038
2nd Round Qualifying,Nuno Borges,Aleksandar Vukic,01:20,2nd Round Qualifying,7 6,6(4) 1,Nuno Borges,Completed,qs008,422,https://www.atptour.com//en/scores/stats-centre/archive/2024/422/qs008
2nd Round Qualifying,Yoshihito Nishioka,Arthur Cazaux,01:19,2nd Round Qualifying,6 6,4 4,Yoshihito Nishioka,Completed,qs010,422,https://www.atptour.com//en/scores/stats-centre/archive/2024/422/qs010
2nd Round Qualifying,Alex Michelsen,Mackenzie McDonald,01:11,2nd Round Qualifying,6 6,3 2,Alex Michelsen,Completed,qs012,422,https://www.atptour.com//en/scores/stats-centre/archive/2024/422/qs012
2nd Round Qualifying,Jaume Munar,Lorenzo Sonego,02:04,2nd Round Qualifying,6 3 6,3 6 2,Jaume Munar,Completed,qs013,422,https://www.atptour.com//en/scores/stats-centre/archive/2024/422/qs013
2nd Round Qualifying,Corentin Moutet,Marton Fucsovics,02:15,2nd Round Qualifying,6 2 6,2 6 3,Corentin Moutet,Completed,qs014,422,https://www.atptour.com//en/scores/stats-centre/archive/2024/422/qs014
2nd Round Qualifying,Aleksandar Kovacevic,Rinky Hijikata,01:28,2nd Round Qualifying,6 7,1 6(5),Aleksandar Kovacevic,Completed,qs009,422,https://www.atptour.com//en/scores/stats-centre/archive/2024/422/qs009
2nd Round Qualifying,Brandon Holt,Zachary Svajda,02:03,2nd Round Qualifying,6 2 6,4 6 3,Brandon Holt,Completed,qs011,422,https://www.atptour.com//en/scores/stats-centre/archive/2024/422/qs011
1st Round Qualifying,Nuno Borges,J.J. Wolf,02:08,1st Round Qualifying,5 6 6,7 3 4,Nuno Borges,Completed,qs016,422,https://www.atptour.com//en/scores/stats-centre/archive/2024/422/qs016
1st Round Qualifying,Aleksandar Kovacevic,Pedro Martinez,02:15,1st Round Qualifying,4 6 6,6 2 4,Aleksandar Kovacevic,Completed,qs018,422,https://www.atptour.com//en/scores/stats-centre/archive/2024/422/qs018
