match_date,player_1,player_2,duration,match_round,player_1_scores,player_2_scores,winner,result,match_id,tournament_id,stats_link
Final,Matteo Berrettini,Quentin Halys,00:59,Finals,6 6,3 1,Matteo Berrettini,Completed,ms001,314,https://www.atptour.com//en/scores/stats-centre/archive/2024/314/ms001
Semifinal,Matteo Berrettini,Stefanos Tsitsipas,01:43,Semi-Finals,7 7,6(6) 5,Matteo Berrettini,Completed,ms002,314,https://www.atptour.com//en/scores/stats-centre/archive/2024/314/ms002
Semifinal,Quentin Halys,Jan-Lennard Struff,01:21,Semi-Finals,6 7,3 6(2),Quentin Halys,Completed,ms003,314,https://www.atptour.com//en/scores/stats-centre/archive/2024/314/ms003
Quarterfinal,Stefanos Tsitsipas,Fabio Fognini,01:07,Quarter-Finals,6 6,4 3,Stefanos Tsitsipas,Completed,ms004,314,https://www.atptour.com//en/scores/stats-centre/archive/2024/314/ms004
Quarterfinal,Matteo Berrettini,Felix Auger-Aliassime,02:10,Quarter-Finals,7 7,6(7) 6(2),Matteo Berrettini,Completed,ms005,314,https://www.atptour.com//en/scores/stats-centre/archive/2024/314/ms005
Quarterfinal,Jan-Lennard Struff,Tomas Martin Etcheverry,02:16,Quarter-Finals,7 3 6,5 6 3,Jan-Lennard Struff,Completed,ms006,314,https://www.atptour.com//en/scores/stats-centre/archive/2024/314/ms006
Quarterfinal,Quentin Halys,Gustavo Heide,01:22,Quarter-Finals,6 7,1 5,Quentin Halys,Completed,ms007,314,https://www.atptour.com//en/scores/stats-centre/archive/2024/314/ms007
Round of 16,Stefanos Tsitsipas,Hamad Medjedovic,01:43,Round of 16,7 6,6(6) 3,Stefanos Tsitsipas,Completed,ms008,314,https://www.atptour.com//en/scores/stats-centre/archive/2024/314/ms008
Round of 16,Gustavo Heide,Ugo Humbert,02:21,Round of 16,6(2) 6 6,7 2 3,Gustavo Heide,Completed,ms015,314,https://www.atptour.com//en/scores/stats-centre/archive/2024/314/ms015
Round of 16,Felix Auger-Aliassime,Yannick Hanfmann,01:53,Round of 16,7 6,6(6) 2,Felix Auger-Aliassime,Completed,ms010,314,https://www.atptour.com//en/scores/stats-centre/archive/2024/314/ms010
Round of 16,Tomas Martin Etcheverry,Botic van de Zandschulp,02:17,Round of 16,6 2 6,2 6 3,Tomas Martin Etcheverry,Completed,ms013,314,https://www.atptour.com//en/scores/stats-centre/archive/2024/314/ms013
Round of 16,Jan-Lennard Struff,Leandro Riedi,01:38,Round of 16,7 7,6(6) 6(1),Jan-Lennard Struff,Completed,ms012,314,https://www.atptour.com//en/scores/stats-centre/archive/2024/314/ms012
Round of 16,Matteo Berrettini,Daniel Elahi Galan,01:19,Round of 16,6 6,4 2,Matteo Berrettini,Completed,ms011,314,https://www.atptour.com//en/scores/stats-centre/archive/2024/314/ms011
Round of 16,Fabio Fognini,Juan Pablo Varillas,02:47,Round of 16,3 7 7,6 6(5) 5,Fabio Fognini,Completed,ms009,314,https://www.atptour.com//en/scores/stats-centre/archive/2024/314/ms009
Round of 16,Quentin Halys,Lukas Klein,02:10,Round of 16,6 6(7) 6,3 7 4,Quentin Halys,Completed,ms014,314,https://www.atptour.com//en/scores/stats-centre/archive/2024/314/ms014
Round of 32,Stefanos Tsitsipas,Bye,00:00,Round of 32,,,Stefanos Tsitsipas,Completed,,314,
Round of 32,Ugo Humbert,Bye,00:00,Round of 32,,,Ugo Humbert,Completed,,314,
Round of 32,Felix Auger-Aliassime,Bye,00:00,Round of 32,,,Felix Auger-Aliassime,Completed,,314,
Round of 32,Tomas Martin Etcheverry,Bye,00:00,Round of 32,,,Tomas Martin Etcheverry,Completed,,314,
Round of 32,Jan-Lennard Struff,Albert Ramos-Vinolas,01:48,Round of 32,7 7,6(6) 6(4),Jan-Lennard Struff,Completed,ms024,314,https://www.atptour.com//en/scores/stats-centre/archive/2024/314/ms024
Round of 32,Matteo Berrettini,Pedro Cachin,01:41,Round of 32,6 7,4 6(2),Matteo Berrettini,Completed,ms023,314,https://www.atptour.com//en/scores/stats-centre/archive/2024/314/ms023
