match_date,player_1,player_2,duration,match_round,player_1_scores,player_2_scores,winner,result,match_id,tournament_id,stats_link
Final,Arthur Fils,Alexander Zverev,03:33,Finals,6 3 7,3 6 6(1),Arthur Fils,Completed,ms001,414,https://www.atptour.com//en/scores/stats-centre/archive/2024/414/ms001
Semifinal,Alexander Zverev,Pedro Martinez,01:24,Semi-Finals,6 6,2 4,Alexander Zverev,Completed,ms002,414,https://www.atptour.com//en/scores/stats-centre/archive/2024/414/ms002
Semifinal,Arthur Fils,Sebastian Baez,01:07,Semi-Finals,6 6,2 2,Arthur Fils,Completed,ms003,414,https://www.atptour.com//en/scores/stats-centre/archive/2024/414/ms003
Quarterfinal,Alexander Zverev,Zhizhen Zhang,01:06,Quarter-Finals,6 6,4 3,Alexander Zverev,Completed,ms004,414,https://www.atptour.com//en/scores/stats-centre/archive/2024/414/ms004
Quarterfinal,Arthur Fils,Holger Rune,01:05,Quarter-Finals,6 4,4 1,Arthur Fils,Completed,ms007,414,https://www.atptour.com//en/scores/stats-centre/archive/2024/414/ms007
Quarterfinal,Sebastian Baez,Luciano Darderi,02:17,Quarter-Finals,2 6 6,6 4 4,Sebastian Baez,Completed,ms006,414,https://www.atptour.com//en/scores/stats-centre/archive/2024/414/ms006
Quarterfinal,Pedro Martinez,Francisco Cerundolo,01:57,Quarter-Finals,1 6 6,6 1 4,Pedro Martinez,Completed,ms005,414,https://www.atptour.com//en/scores/stats-centre/archive/2024/414/ms005
Round of 16,Alexander Zverev,Hugo Gaston,02:38,Round of 16,4 6 7,6 2 5,Alexander Zverev,Completed,ms008,414,https://www.atptour.com//en/scores/stats-centre/archive/2024/414/ms008
Round of 16,Holger Rune,Marco Trungelliti,01:20,Round of 16,6 6,4 3,Holger Rune,Completed,ms015,414,https://www.atptour.com//en/scores/stats-centre/archive/2024/414/ms015
Round of 16,Sebastian Baez,Dusan Lajovic,02:40,Round of 16,4 7 6,6 5 2,Sebastian Baez,Completed,ms013,414,https://www.atptour.com//en/scores/stats-centre/archive/2024/414/ms013
Round of 16,Francisco Cerundolo,Maximilian Marterer,01:08,Round of 16,6 6,0 2,Francisco Cerundolo,Completed,ms010,414,https://www.atptour.com//en/scores/stats-centre/archive/2024/414/ms010
Round of 16,Arthur Fils,Laslo Djere,01:46,Round of 16,7 6,6(3) 2,Arthur Fils,Completed,ms014,414,https://www.atptour.com//en/scores/stats-centre/archive/2024/414/ms014
