match_date,player_1,player_2,duration,match_round,player_1_scores,player_2_scores,winner,result,match_id,tournament_id,stats_link
Final,Marin Cilic,Zhizhen Zhang,01:50,Finals,7 7,6(5) 6(5),Marin Cilic,Completed,ms001,4713,https://www.atptour.com//en/scores/stats-centre/archive/2024/4713/ms001
Semifinal,Marin Cilic,Brandon Nakashima,01:45,Semi-Finals,6 7,4 6(6),Marin Cilic,Completed,ms002,4713,https://www.atptour.com//en/scores/stats-centre/archive/2024/4713/ms002
Semifinal,Zhizhen Zhang,Yunchaokete Bu,01:41,Semi-Finals,7 6,6(3) 4,Zhizhen Zhang,Completed,ms003,4713,https://www.atptour.com//en/scores/stats-centre/archive/2024/4713/ms003
Quarterfinal,Brandon Nakashima,Rinky Hijikata,01:29,Quarter-Finals,7 6,5 3,Brandon Nakashima,Completed,ms005,4713,https://www.atptour.com//en/scores/stats-centre/archive/2024/4713/ms005
Quarterfinal,Zhizhen Zhang,Roberto Carballes Baena,01:13,Quarter-Finals,6 6,3 3,Zhizhen Zhang,Completed,ms006,4713,https://www.atptour.com//en/scores/stats-centre/archive/2024/4713/ms006
Quarterfinal,Yunchaokete Bu,Mikhail Kukushkin,01:24,Quarter-Finals,6 6,4 2,Yunchaokete Bu,Completed,ms007,4713,https://www.atptour.com//en/scores/stats-centre/archive/2024/4713/ms007
Quarterfinal,Marin Cilic,Yasutaka Uchiyama,02:45,Quarter-Finals,6 6(4) 7,2 7 6(5),Marin Cilic,Completed,ms004,4713,https://www.atptour.com//en/scores/stats-centre/archive/2024/4713/ms004
Round of 16,Yasutaka Uchiyama,Holger Rune,01:41,Round of 16,7 6,5 4,Yasutaka Uchiyama,Completed,ms008,4713,https://www.atptour.com//en/scores/stats-centre/archive/2024/4713/ms008
Round of 16,Yunchaokete Bu,Karen Khachanov,02:28,Round of 16,7 4 6,6(7) 6 3,Yunchaokete Bu,Completed,ms015,4713,https://www.atptour.com//en/scores/stats-centre/archive/2024/4713/ms015
Round of 16,Brandon Nakashima,Coleman Wong,02:40,Round of 16,6(7) 7 6,7 6(4) 1,Brandon Nakashima,Completed,ms010,4713,https://www.atptour.com//en/scores/stats-centre/archive/2024/4713/ms010
Round of 16,Zhizhen Zhang,Mattia Bellucci,01:17,Round of 16,6 6,3 0,Zhizhen Zhang,Completed,ms012,4713,https://www.atptour.com//en/scores/stats-centre/archive/2024/4713/ms012
Round of 16,Rinky Hijikata,Fabian Marozsan,00:00,Round of 16,,,Rinky Hijikata,Completed,,4713,
Round of 16,Marin Cilic,Yoshihito Nishioka,01:09,Round of 16,6 6,4 1,Marin Cilic,Completed,ms009,4713,https://www.atptour.com//en/scores/stats-centre/archive/2024/4713/ms009
Round of 16,Roberto Carballes Baena,Mitchell Krueger,02:31,Round of 16,3 6 6,6 3 4,Roberto Carballes Baena,Completed,ms013,4713,https://www.atptour.com//en/scores/stats-centre/archive/2024/4713/ms013
Round of 16,Mikhail Kukushkin,Alexander Shevchenko,01:44,Round of 16,6 7,4 6(3),Mikhail Kukushkin,Completed,ms014,4713,https://www.atptour.com//en/scores/stats-centre/archive/2024/4713/ms014
Round of 32,Holger Rune,Bye,00:00,Round of 32,,,Holger Rune,Completed,,4713,
Round of 32,Karen Khachanov,Bye,00:00,Round of 32,,,Karen Khachanov,Completed,,4713,
Round of 32,Brandon Nakashima,Bye,00:00,Round of 32,,,Brandon Nakashima,Completed,,4713,
Round of 32,Mikhail Kukushkin,Luciano Darderi,01:39,Round of 32,6 6,3 4,Mikhail Kukushkin,Completed,ms028,4713,https://www.atptour.com//en/scores/stats-centre/archive/2024/4713/ms028
Round of 32,Zhizhen Zhang,Denis Yevseyev,02:02,Round of 32,6 1 6,2 6 4,Zhizhen Zhang,Completed,ms024,4713,https://www.atptour.com//en/scores/stats-centre/archive/2024/4713/ms024
Round of 32,Fabian Marozsan,Luca Nardi,01:11,Round of 32,6 6,0 2,Fabian Marozsan,Completed,ms023,4713,https://www.atptour.com//en/scores/stats-centre/archive/2024/4713/ms023
Round of 32,Yoshihito Nishioka,Maximilian Marterer,01:16,Round of 32,6 6,4 2,Yoshihito Nishioka,Completed,ms019,4713,https://www.atptour.com//en/scores/stats-centre/archive/2024/4713/ms019
Round of 32,Mattia Bellucci,Aslan Karatsev,01:09,Round of 32,6 6,4 0,Mattia Bellucci,Completed,ms025,4713,https://www.atptour.com//en/scores/stats-centre/archive/2024/4713/ms025
Round of 32,Yunchaokete Bu,Hugo Gaston,01:42,Round of 32,7 6,5 3,Yunchaokete Bu,Completed,ms030,4713,https://www.atptour.com//en/scores/stats-centre/archive/2024/4713/ms030
Round of 32,Roberto Carballes Baena,Corentin Moutet,02:10,Round of 32,7 6,6(6) 1,Roberto Carballes Baena,Completed,ms026,4713,https://www.atptour.com//en/scores/stats-centre/archive/2024/4713/ms026
Round of 32,Marin Cilic,Zachary Svajda,01:59,Round of 32,5 6 6,7 3 0,Marin Cilic,Completed,ms018,4713,https://www.atptour.com//en/scores/stats-centre/archive/2024/4713/ms018
Round of 32,Rinky Hijikata,Damir Dzumhur,02:30,Round of 32,2 7 6,6 6(6) 2,Rinky Hijikata,Completed,ms022,4713,https://www.atptour.com//en/scores/stats-centre/archive/2024/4713/ms022
Round of 32,Mitchell Krueger,Bye,00:00,Round of 32,,,Mitchell Krueger,Completed,,4713,
Round of 32,Alexander Shevchenko,Marco Trungelliti,00:46,Round of 32,6 6,1 1,Alexander Shevchenko,Completed,ms029,4713,https://www.atptour.com//en/scores/stats-centre/archive/2024/4713/ms029
Round of 32,Yasutaka Uchiyama,James McCabe,01:42,Round of 32,6 6,4 4,Yasutaka Uchiyama,Completed,ms017,4713,https://www.atptour.com//en/scores/stats-centre/archive/2024/4713/ms017
Round of 32,Coleman Wong,Yibing Wu,00:38,Round of 32,6,3,Coleman Wong,Completed,ms021,4713,https://www.atptour.com//en/scores/stats-centre/archive/2024/4713/ms021
2nd Round Qualifying,Marco Trungelliti,James McCabe,01:25,2nd Round Qualifying,6 6,2 3,Marco Trungelliti,Completed,qs005,4713,https://www.atptour.com//en/scores/stats-centre/archive/2024/4713/qs005
2nd Round Qualifying,Yasutaka Uchiyama,Mitchell Krueger,01:30,2nd Round Qualifying,6 6,4 3,Yasutaka Uchiyama,Completed,qs006,4713,https://www.atptour.com//en/scores/stats-centre/archive/2024/4713/qs006
2nd Round Qualifying,Coleman Wong,Rigele Te,02:39,2nd Round Qualifying,6(9) 6 6,7 4 4,Coleman Wong,Completed,qs007,4713,https://www.atptour.com//en/scores/stats-centre/archive/2024/4713/qs007
2nd Round Qualifying,Denis Yevseyev,Dalibor Svrcina,02:11,2nd Round Qualifying,0 6 6,6 4 4,Denis Yevseyev,Completed,qs004,4713,https://www.atptour.com//en/scores/stats-centre/archive/2024/4713/qs004
