match_date,player_1,player_2,duration,match_round,player_1_scores,player_2_scores,winner,result,match_id,tournament_id,stats_link
"Sun, 06 April, 2025",Jenson Brooksby,Frances Tiafoe,01:27:42,Final,6 6,4 2,Jenson Brooksby,Completed,ms001,717,https://www.atptour.com//en/scores/stats-centre/archive/2025/717/ms001
"Sat, 05 April, 2025",Jenson Brooksby,Tommy Paul,02:42:39,Semifinals,7 3 7,6(5) 6 6(6),Jenson Brooksby,Completed,ms002,717,https://www.atptour.com//en/scores/stats-centre/archive/2025/717/ms002
"Sat, 05 April, 2025",Frances Tiafoe,Brandon Nakashima,01:41:58,Semifinals,6 7,4 6(3),Frances Tiafoe,Completed,ms003,717,https://www.atptour.com//en/scores/stats-centre/archive/2025/717/ms003
"Fri, 04 April, 2025",Tommy Paul,Colton Smith,01:29:13,Quarterfinals,6 7,1 6(1),Tommy Paul,Completed,ms004,717,https://www.atptour.com//en/scores/stats-centre/archive/2025/717/ms004
"Fri, 04 April, 2025",Frances Tiafoe,Alex Michelsen,01:32:56,Quarterfinals,7 6,5 1,Frances Tiafoe,Completed,ms007,717,https://www.atptour.com//en/scores/stats-centre/archive/2025/717/ms007
"Fri, 04 April, 2025",Brandon Nakashima,Christopher Eubanks,01:22:44,Quarterfinals,6 6,4 4,Brandon Nakashima,Completed,ms006,717,https://www.atptour.com//en/scores/stats-centre/archive/2025/717/ms006
"Fri, 04 April, 2025",Jenson Brooksby,Aleksandar Kovacevic,02:20:49,Quarterfinals,2 6 6,6 3 4,Jenson Brooksby,Completed,ms005,717,https://www.atptour.com//en/scores/stats-centre/archive/2025/717/ms005
"Thu, 03 April, 2025",Frances Tiafoe,Adam Walton,01:30:40,Round of 16,7 6,5 3,Frances Tiafoe,Completed,ms015,717,https://www.atptour.com//en/scores/stats-centre/archive/2025/717/ms015
"Thu, 03 April, 2025",Brandon Nakashima,Mackenzie McDonald,01:18:08,Round of 16,6 7,1 5,Brandon Nakashima,Completed,ms013,717,https://www.atptour.com//en/scores/stats-centre/archive/2025/717/ms013
"Thu, 03 April, 2025",Alex Michelsen,Adrian Mannarino,02:28:32,Round of 16,6(0) 6 6,7 4 2,Alex Michelsen,Completed,ms014,717,https://www.atptour.com//en/scores/stats-centre/archive/2025/717/ms014
"Thu, 03 April, 2025",Christopher Eubanks,Kei Nishikori,00:24:24,Round of 16,6,1,Christopher Eubanks,RET,ms012,717,https://www.atptour.com//en/scores/stats-centre/archive/2025/717/ms012
"Wed, 02 April, 2025",Tommy Paul,Cristian Garin,02:42:42,Round of 16,2 6 7,6 2 6(5),Tommy Paul,Completed,ms008,717,https://www.atptour.com//en/scores/stats-centre/archive/2025/717/ms008
"Wed, 02 April, 2025",Jenson Brooksby,Alejandro Tabilo,02:49:06,Round of 16,3 6 7,6 4 6(6),Jenson Brooksby,Completed,ms010,717,https://www.atptour.com//en/scores/stats-centre/archive/2025/717/ms010
"Wed, 02 April, 2025",Aleksandar Kovacevic,Corentin Denolly,01:19:53,Round of 16,6 6,3 3,Aleksandar Kovacevic,Completed,ms011,717,https://www.atptour.com//en/scores/stats-centre/archive/2025/717/ms011
"Wed, 02 April, 2025",Colton Smith,Ethan Quinn,01:14:11,Round of 16,6 6,3 4,Colton Smith,Completed,ms009,717,https://www.atptour.com//en/scores/stats-centre/archive/2025/717/ms009
