match_date,player_1,player_2,duration,match_round,player_1_scores,player_2_scores,winner,result,match_id,tournament_id,stats_link
Final,Matteo Berrettini,Hugo Gaston,01:21,Finals,7 6,5 3,Matteo Berrettini,Completed,ms001,319,https://www.atptour.com//en/scores/stats-centre/archive/2024/319/ms001
Semifinal,Matteo Berrettini,Yannick Hanfmann,01:30,Semi-Finals,6 6,4 4,Matteo Berrettini,Completed,ms003,319,https://www.atptour.com//en/scores/stats-centre/archive/2024/319/ms003
Semifinal,Hugo Gaston,Facundo Diaz Acosta,00:35,Semi-Finals,6 2,1 0,Hugo Gaston,Completed,ms002,319,https://www.atptour.com//en/scores/stats-centre/archive/2024/319/ms002
Quarterfinal,Hugo Gaston,Sebastian Baez,03:09,Quarter-Finals,7 5 7,5 7 6(6),Hugo Gaston,Completed,ms004,319,https://www.atptour.com//en/scores/stats-centre/archive/2024/319/ms004
Quarterfinal,Facundo Diaz Acosta,Pedro Martinez,03:32,Quarter-Finals,6(2) 6 6,7 3 4,Facundo Diaz Acosta,Completed,ms005,319,https://www.atptour.com//en/scores/stats-centre/archive/2024/319/ms005
Quarterfinal,Matteo Berrettini,Nicolas Moreno De Alboran,01:51,Quarter-Finals,7 6,6(5) 3,Matteo Berrettini,Completed,ms007,319,https://www.atptour.com//en/scores/stats-centre/archive/2024/319/ms007
Quarterfinal,Yannick Hanfmann,Thiago Seyboth Wild,01:48,Quarter-Finals,7 6,6(2) 4,Yannick Hanfmann,Completed,ms006,319,https://www.atptour.com//en/scores/stats-centre/archive/2024/319/ms006
Round of 16,Sebastian Baez,Thiago Agustin Tirante,01:23,Round of 16,6 6,3 3,Sebastian Baez,Completed,ms008,319,https://www.atptour.com//en/scores/stats-centre/archive/2024/319/ms008
Round of 16,Matteo Berrettini,Alejandro Tabilo,01:49,Round of 16,7 7,6(4) 6(5),Matteo Berrettini,Completed,ms015,319,https://www.atptour.com//en/scores/stats-centre/archive/2024/319/ms015
Round of 16,Pedro Martinez,Sumit Nagal,02:37,Round of 16,7 7,5 5,Pedro Martinez,Completed,ms010,319,https://www.atptour.com//en/scores/stats-centre/archive/2024/319/ms010
Round of 16,Hugo Gaston,Roberto Carballes Baena,01:35,Round of 16,6 7,2 6(5),Hugo Gaston,Completed,ms009,319,https://www.atptour.com//en/scores/stats-centre/archive/2024/319/ms009
Round of 16,Thiago Seyboth Wild,Laslo Djere,02:08,Round of 16,4 6 6,6 3 2,Thiago Seyboth Wild,Completed,ms012,319,https://www.atptour.com//en/scores/stats-centre/archive/2024/319/ms012
Round of 16,Facundo Diaz Acosta,Daniel Elahi Galan,02:21,Round of 16,6 4 6,2 6 3,Facundo Diaz Acosta,Completed,ms011,319,https://www.atptour.com//en/scores/stats-centre/archive/2024/319/ms011
Round of 16,Yannick Hanfmann,Gustavo Heide,01:52,Round of 16,6 1 6,3 6 2,Yannick Hanfmann,Completed,ms013,319,https://www.atptour.com//en/scores/stats-centre/archive/2024/319/ms013
