match_date,player_1,player_2,duration,match_round,player_1_scores,player_2_scores,winner,result,match_id,tournament_id,stats_link
Final,Marcos Giron,Alex Michelsen,02:38,Finals,6(4) 6 7,7 3 5,Marcos Giron,Completed,ms001,315,https://www.atptour.com//en/scores/stats-centre/archive/2024/315/ms001
Semifinal,Marcos Giron,Christopher Eubanks,01:41,Semi-Finals,6 3 6,4 6 2,Marcos Giron,Completed,ms003,315,https://www.atptour.com//en/scores/stats-centre/archive/2024/315/ms003
Semifinal,Alex Michelsen,Reilly Opelka,01:00,Semi-Finals,6 6,2 0,Alex Michelsen,Completed,ms002,315,https://www.atptour.com//en/scores/stats-centre/archive/2024/315/ms002
Quarterfinal,Marcos Giron,Alex Bolt,01:14,Quarter-Finals,6 6,4 1,Marcos Giron,Completed,ms007,315,https://www.atptour.com//en/scores/stats-centre/archive/2024/315/ms007
Quarterfinal,Alex Michelsen,Aleksandar Kovacevic,01:25,Quarter-Finals,6 6,4 4,Alex Michelsen,Completed,ms005,315,https://www.atptour.com//en/scores/stats-centre/archive/2024/315/ms005
Quarterfinal,Christopher Eubanks,Aleksandar Vukic,02:06,Quarter-Finals,6 4 7,2 6 6(3),Christopher Eubanks,Completed,ms006,315,https://www.atptour.com//en/scores/stats-centre/archive/2024/315/ms006
Quarterfinal,Reilly Opelka,Mackenzie McDonald,01:49,Quarter-Finals,4 6 6,6 3 4,Reilly Opelka,Completed,ms004,315,https://www.atptour.com//en/scores/stats-centre/archive/2024/315/ms004
Round of 16,Reilly Opelka,Adrian Mannarino,01:55,Round of 16,6 3 6,4 6 4,Reilly Opelka,Completed,ms008,315,https://www.atptour.com//en/scores/stats-centre/archive/2024/315/ms008
Round of 16,Marcos Giron,Benoit Paire,02:13,Round of 16,4 7 6,6 5 4,Marcos Giron,Completed,ms015,315,https://www.atptour.com//en/scores/stats-centre/archive/2024/315/ms015
Round of 16,Alex Michelsen,Maxime Cressy,01:22,Round of 16,6 6,4 4,Alex Michelsen,Completed,ms010,315,https://www.atptour.com//en/scores/stats-centre/archive/2024/315/ms010
Round of 16,Christopher Eubanks,Ethan Quinn,02:25,Round of 16,7 3 6,6(4) 6 3,Christopher Eubanks,Completed,ms013,315,https://www.atptour.com//en/scores/stats-centre/archive/2024/315/ms013
Round of 16,Alex Bolt,Brandon Nakashima,01:35,Round of 16,7 6,6(2) 4,Alex Bolt,Completed,ms014,315,https://www.atptour.com//en/scores/stats-centre/archive/2024/315/ms014
Round of 16,Aleksandar Vukic,Eliot Spizzirri,01:28,Round of 16,6 7,2 6(3),Aleksandar Vukic,Completed,ms012,315,https://www.atptour.com//en/scores/stats-centre/archive/2024/315/ms012
Round of 16,Aleksandar Kovacevic,Arthur Rinderknech,02:17,Round of 16,6 3 7,3 6 5,Aleksandar Kovacevic,Completed,ms011,315,https://www.atptour.com//en/scores/stats-centre/archive/2024/315/ms011
Round of 16,Mackenzie McDonald,Billy Harris,01:23,Round of 16,6 6,3 4,Mackenzie McDonald,Completed,ms009,315,https://www.atptour.com//en/scores/stats-centre/archive/2024/315/ms009
Round of 32,Adrian Mannarino,Bye,00:00,Round of 32,,,Adrian Mannarino,Completed,,315,
Round of 32,Marcos Giron,Bye,00:00,Round of 32,,,Marcos Giron,Completed,,315,
Round of 32,Alex Michelsen,Bye,00:00,Round of 32,,,Alex Michelsen,Completed,,315,
Round of 32,Christopher Eubanks,Bye,00:00,Round of 32,,,Christopher Eubanks,Completed,,315,
