match_date,player_1,player_2,duration,match_round,player_1_scores,player_2_scores,winner,result,match_id,tournament_id,stats_link
Final,Joao Fonseca,Learner Tien,01:27,Finals,2 4 4 4,4 3(8) 0 2,Joao Fonseca,Completed,ms001,7696,https://www.atptour.com//en/scores/stats-centre/archive/2024/7696/ms001
Round Robin,Learner Tien,Arthur Fils,01:42,Round Robin -,4 4 3(4) 4,2 2 4 3(5),Learner Tien,Completed,ms009,7696,https://www.atptour.com//en/scores/stats-centre/archive/2024/7696/ms009
Round Robin,Joao Fonseca,Jakub Mensik,02:12,Round Robin -,3(4) 4 4 3(4) 4,4 3(8) 3(5) 4 3(5),Joao Fonseca,Completed,ms012,7696,https://www.atptour.com//en/scores/stats-centre/archive/2024/7696/ms012
Round Robin,Alex Michelsen,Juncheng Shang,00:20,Round Robin -,4 1,1 1,Alex Michelsen,Completed,ms016,7696,https://www.atptour.com//en/scores/stats-centre/archive/2024/7696/ms016
Round Robin,Luca Van Assche,Nishesh Basavareddy,02:00,Round Robin -,3(2) 4 4 4,4 3(7) 2 2,Luca Van Assche,Completed,ms021,7696,https://www.atptour.com//en/scores/stats-centre/archive/2024/7696/ms021
Round Robin,Arthur Fils,Jakub Mensik,01:17,Round Robin -,4 4 4,2 3(4) 2,Arthur Fils,Completed,ms008,7696,https://www.atptour.com//en/scores/stats-centre/archive/2024/7696/ms008
Round Robin,Joao Fonseca,Learner Tien,01:07,Round Robin -,4 4 1 4,0 0 4 2,Joao Fonseca,Completed,ms013,7696,https://www.atptour.com//en/scores/stats-centre/archive/2024/7696/ms013
Round Robin,Alex Michelsen,Luca Van Assche,01:43,Round Robin -,1 4 4 4,4 2 3(6) 3(5),Alex Michelsen,Completed,ms017,7696,https://www.atptour.com//en/scores/stats-centre/archive/2024/7696/ms017
Round Robin,Nishesh Basavareddy,Juncheng Shang,01:33,Round Robin -,3(4) 4 4 4,4 2 2 1,Nishesh Basavareddy,Completed,ms020,7696,https://www.atptour.com//en/scores/stats-centre/archive/2024/7696/ms020
Round Robin,Joao Fonseca,Arthur Fils,01:50,Round Robin -,3(9) 4 4 1 4,4 2 1 4 1,Joao Fonseca,Completed,ms010,7696,https://www.atptour.com//en/scores/stats-centre/archive/2024/7696/ms010
Round Robin,Learner Tien,Jakub Mensik,02:17,Round Robin -,4 4 2 2 4,3(6) 3(3) 4 4 3(8),Learner Tien,Completed,ms011,7696,https://www.atptour.com//en/scores/stats-centre/archive/2024/7696/ms011
Round Robin,Alex Michelsen,Nishesh Basavareddy,01:53,Round Robin -,2 4 4 4,4 3(5) 3(4) 2,Alex Michelsen,Completed,ms018,7696,https://www.atptour.com//en/scores/stats-centre/archive/2024/7696/ms018
Round Robin,Luca Van Assche,Juncheng Shang,01:56,Round Robin -,4 2 4 4,3(3) 4 1 3(5),Luca Van Assche,Completed,ms019,7696,https://www.atptour.com//en/scores/stats-centre/archive/2024/7696/ms019
