match_date,player_1,player_2,duration,match_round,player_1_scores,player_2_scores,winner,result,match_id,tournament_id,stats_link
Final,Jannik Sinner,Taylor Fritz,01:09,Finals,6 6,4 4,Jannik Sinner,Completed,ms001,605,https://www.atptour.com//en/scores/stats-centre/archive/2024/605/ms001
Semifinal,Jannik Sinner,Casper Ruud,01:09,Semi-Finals,6 6,1 2,Jannik Sinner,Completed,ms002,605,https://www.atptour.com//en/scores/stats-centre/archive/2024/605/ms002
Semifinal,Taylor Fritz,Alexander Zverev,02:22,Semi-Finals,6 3 7,3 6 6(3),Taylor Fritz,Completed,ms003,605,https://www.atptour.com//en/scores/stats-centre/archive/2024/605/ms003
Round Robin,Alexander Zverev,Carlos Alcaraz,01:57,Round Robin -,7 6,6(5) 4,Alexander Zverev,Completed,ms016,605,https://www.atptour.com//en/scores/stats-centre/archive/2024/605/ms016
Round Robin,Casper Ruud,Andrey Rublev,01:45,Round Robin -,6 5 6,4 7 2,Casper Ruud,Completed,ms021,605,https://www.atptour.com//en/scores/stats-centre/archive/2024/605/ms021
Round Robin,Jannik Sinner,Daniil Medvedev,01:14,Round Robin -,6 6,3 4,Jannik Sinner,Completed,ms008,605,https://www.atptour.com//en/scores/stats-centre/archive/2024/605/ms008
Round Robin,Taylor Fritz,Alex de Minaur,02:08,Round Robin -,5 6 6,7 4 3,Taylor Fritz,Completed,ms013,605,https://www.atptour.com//en/scores/stats-centre/archive/2024/605/ms013
Round Robin,Alexander Zverev,Casper Ruud,01:26,Round Robin -,7 6,6(3) 3,Alexander Zverev,Completed,ms017,605,https://www.atptour.com//en/scores/stats-centre/archive/2024/605/ms017
Round Robin,Carlos Alcaraz,Andrey Rublev,01:36,Round Robin -,6 7,3 6(8),Carlos Alcaraz,Completed,ms020,605,https://www.atptour.com//en/scores/stats-centre/archive/2024/605/ms020
Round Robin,Jannik Sinner,Taylor Fritz,01:40,Round Robin -,6 6,4 4,Jannik Sinner,Completed,ms009,605,https://www.atptour.com//en/scores/stats-centre/archive/2024/605/ms009
Round Robin,Daniil Medvedev,Alex de Minaur,01:19,Round Robin -,6 6,2 4,Daniil Medvedev,Completed,ms012,605,https://www.atptour.com//en/scores/stats-centre/archive/2024/605/ms012
Round Robin,Alexander Zverev,Andrey Rublev,01:12,Round Robin -,6 6,4 4,Alexander Zverev,Completed,ms018,605,https://www.atptour.com//en/scores/stats-centre/archive/2024/605/ms018
Round Robin,Casper Ruud,Carlos Alcaraz,01:26,Round Robin -,6 7,1 5,Casper Ruud,Completed,ms019,605,https://www.atptour.com//en/scores/stats-centre/archive/2024/605/ms019
Round Robin,Jannik Sinner,Alex de Minaur,01:25,Round Robin -,6 6,3 4,Jannik Sinner,Completed,ms010,605,https://www.atptour.com//en/scores/stats-centre/archive/2024/605/ms010
Round Robin,Taylor Fritz,Daniil Medvedev,01:20,Round Robin -,6 6,4 3,Taylor Fritz,Completed,ms011,605,https://www.atptour.com//en/scores/stats-centre/archive/2024/605/ms011
