match_date,player_1,player_2,duration,match_round,player_1_scores,player_2_scores,winner,result,match_id,tournament_id,stats_link
Final,Alexander Zverev,Ugo Humbert,01:15,Finals,6 6,2 2,Alexander Zverev,Completed,ms001,352,https://www.atptour.com//en/scores/stats-centre/archive/2024/352/ms001
Semifinal,Alexander Zverev,Holger Rune,01:46,Semi-Finals,6 7,3 6(4),Alexander Zverev,Completed,ms002,352,https://www.atptour.com//en/scores/stats-centre/archive/2024/352/ms002
Semifinal,Ugo Humbert,Karen Khachanov,02:46,Semi-Finals,6(6) 6 6,7 4 3,Ugo Humbert,Completed,ms003,352,https://www.atptour.com//en/scores/stats-centre/archive/2024/352/ms003
Quarterfinal,Alexander Zverev,Stefanos Tsitsipas,01:41,Quarter-Finals,7 6,5 4,Alexander Zverev,Completed,ms005,352,https://www.atptour.com//en/scores/stats-centre/archive/2024/352/ms005
Quarterfinal,Karen Khachanov,Grigor Dimitrov,01:08,Quarter-Finals,6 6,2 3,Karen Khachanov,Completed,ms006,352,https://www.atptour.com//en/scores/stats-centre/archive/2024/352/ms006
Quarterfinal,Holger Rune,Alex de Minaur,02:27,Quarter-Finals,6 4 7,4 6 5,Holger Rune,Completed,ms004,352,https://www.atptour.com//en/scores/stats-centre/archive/2024/352/ms004
Quarterfinal,Ugo Humbert,Jordan Thompson,01:37,Quarter-Finals,6 7,2 6(4),Ugo Humbert,Completed,ms007,352,https://www.atptour.com//en/scores/stats-centre/archive/2024/352/ms007
Round of 16,Ugo Humbert,Carlos Alcaraz,02:17,Round of 16,6 3 7,1 6 5,Ugo Humbert,Completed,ms015,352,https://www.atptour.com//en/scores/stats-centre/archive/2024/352/ms015
Round of 16,Alexander Zverev,Arthur Fils,02:09,Round of 16,6 3 6,4 6 3,Alexander Zverev,Completed,ms010,352,https://www.atptour.com//en/scores/stats-centre/archive/2024/352/ms010
Round of 16,Grigor Dimitrov,Arthur Rinderknech,02:04,Round of 16,6 4 7,2 6 6(5),Grigor Dimitrov,Completed,ms012,352,https://www.atptour.com//en/scores/stats-centre/archive/2024/352/ms012
Round of 16,Alex de Minaur,Jack Draper,02:06,Round of 16,5 6 6,7 2 3,Alex de Minaur,Completed,ms009,352,https://www.atptour.com//en/scores/stats-centre/archive/2024/352/ms009
Round of 16,Stefanos Tsitsipas,Francisco Cerundolo,02:21,Round of 16,6(1) 6 6,7 4 2,Stefanos Tsitsipas,Completed,ms011,352,https://www.atptour.com//en/scores/stats-centre/archive/2024/352/ms011
Round of 16,Holger Rune,Arthur Cazaux,02:05,Round of 16,3 6 6,6 3 4,Holger Rune,Completed,ms008,352,https://www.atptour.com//en/scores/stats-centre/archive/2024/352/ms008
