match_date,player_1,player_2,duration,match_round,player_1_scores,player_2_scores,winner,result,match_id,tournament_id,stats_link
Final,Jannik Sinner,Novak Djokovic,01:37,Finals,7 6,6(4) 3,Jannik Sinner,Completed,ms001,5014,https://www.atptour.com//en/scores/stats-centre/archive/2024/5014/ms001
Semifinal,Jannik Sinner,Tomas Machac,01:44,Semi-Finals,6 7,4 5,Jannik Sinner,Completed,ms002,5014,https://www.atptour.com//en/scores/stats-centre/archive/2024/5014/ms002
Semifinal,Novak Djokovic,Taylor Fritz,01:56,Semi-Finals,6 7,4 6(6),Novak Djokovic,Completed,ms003,5014,https://www.atptour.com//en/scores/stats-centre/archive/2024/5014/ms003
Quarterfinal,Jannik Sinner,Daniil Medvedev,01:25,Quarter-Finals,6 6,1 4,Jannik Sinner,Completed,ms004,5014,https://www.atptour.com//en/scores/stats-centre/archive/2024/5014/ms004
Quarterfinal,Tomas Machac,Carlos Alcaraz,01:55,Quarter-Finals,7 7,6(5) 5,Tomas Machac,Completed,ms005,5014,https://www.atptour.com//en/scores/stats-centre/archive/2024/5014/ms005
Quarterfinal,Novak Djokovic,Jakub Mensik,02:20,Quarter-Finals,6(4) 6 6,7 1 4,Novak Djokovic,Completed,ms006,5014,https://www.atptour.com//en/scores/stats-centre/archive/2024/5014/ms006
Quarterfinal,Taylor Fritz,David Goffin,01:22,Quarter-Finals,6 6,3 4,Taylor Fritz,Completed,ms007,5014,https://www.atptour.com//en/scores/stats-centre/archive/2024/5014/ms007
Round of 16,Jannik Sinner,Ben Shelton,01:28,Round of 16,6 7,4 6(1),Jannik Sinner,Completed,ms008,5014,https://www.atptour.com//en/scores/stats-centre/archive/2024/5014/ms008
Round of 16,David Goffin,Alexander Zverev,01:57,Round of 16,6 7,4 5,David Goffin,Completed,ms015,5014,https://www.atptour.com//en/scores/stats-centre/archive/2024/5014/ms015
Round of 16,Carlos Alcaraz,Gael Monfils,01:27,Round of 16,6 7,4 5,Carlos Alcaraz,Completed,ms010,5014,https://www.atptour.com//en/scores/stats-centre/archive/2024/5014/ms010
Round of 16,Novak Djokovic,Roman Safiullin,01:13,Round of 16,6 6,3 2,Novak Djokovic,Completed,ms013,5014,https://www.atptour.com//en/scores/stats-centre/archive/2024/5014/ms013
Round of 16,Daniil Medvedev,Stefanos Tsitsipas,01:51,Round of 16,7 6,6(3) 3,Daniil Medvedev,Completed,ms009,5014,https://www.atptour.com//en/scores/stats-centre/archive/2024/5014/ms009
Round of 16,Taylor Fritz,Holger Rune,00:56,Round of 16,6 6,1 2,Taylor Fritz,Completed,ms014,5014,https://www.atptour.com//en/scores/stats-centre/archive/2024/5014/ms014
Round of 16,Jakub Mensik,Grigor Dimitrov,02:03,Round of 16,6 3 6,3 6 4,Jakub Mensik,Completed,ms012,5014,https://www.atptour.com//en/scores/stats-centre/archive/2024/5014/ms012
Round of 16,Tomas Machac,Tommy Paul,02:03,Round of 16,3 6 6,6 4 3,Tomas Machac,Completed,ms011,5014,https://www.atptour.com//en/scores/stats-centre/archive/2024/5014/ms011
Round of 32,Jannik Sinner,Tomas Martin Etcheverry,02:39,Round of 32,6(3) 6 6,7 4 2,Jannik Sinner,Completed,ms016,5014,https://www.atptour.com//en/scores/stats-centre/archive/2024/5014/ms016
Round of 32,Alexander Zverev,Tallon Griekspoor,02:48,Round of 32,7 2 7,6(6) 6 6(5),Alexander Zverev,Completed,ms031,5014,https://www.atptour.com//en/scores/stats-centre/archive/2024/5014/ms031
Round of 32,Carlos Alcaraz,Yibing Wu,01:40,Round of 32,7 6,6(5) 3,Carlos Alcaraz,Completed,ms020,5014,https://www.atptour.com//en/scores/stats-centre/archive/2024/5014/ms020
Round of 32,Novak Djokovic,Flavio Cobolli,01:03,Round of 32,6 6,1 2,Novak Djokovic,Completed,ms027,5014,https://www.atptour.com//en/scores/stats-centre/archive/2024/5014/ms027
Round of 32,Daniil Medvedev,Matteo Arnaldi,02:44,Round of 32,5 6 6,7 4 4,Daniil Medvedev,Completed,ms019,5014,https://www.atptour.com//en/scores/stats-centre/archive/2024/5014/ms019
Round of 32,Taylor Fritz,Yosuke Watanuki,01:15,Round of 32,6 6,3 4,Taylor Fritz,Completed,ms028,5014,https://www.atptour.com//en/scores/stats-centre/archive/2024/5014/ms028
Round of 32,Grigor Dimitrov,Alexei Popyrin,01:28,Round of 32,7 6,6(5) 2,Grigor Dimitrov,Completed,ms025,5014,https://www.atptour.com//en/scores/stats-centre/archive/2024/5014/ms025
Round of 32,Stefanos Tsitsipas,Alexandre Muller,01:28,Round of 32,6 7,3 5,Stefanos Tsitsipas,Completed,ms018,5014,https://www.atptour.com//en/scores/stats-centre/archive/2024/5014/ms018
Round of 32,Tommy Paul,Alejandro Tabilo,02:43,Round of 32,6(2) 7 6,7 6(6) 2,Tommy Paul,Completed,ms022,5014,https://www.atptour.com//en/scores/stats-centre/archive/2024/5014/ms022
Round of 32,Holger Rune,Jiri Lehecka,01:50,Round of 32,6 7,4 5,Holger Rune,Completed,ms029,5014,https://www.atptour.com//en/scores/stats-centre/archive/2024/5014/ms029
Round of 32,Roman Safiullin,Frances Tiafoe,03:04,Round of 32,5 7 7,7 5 6(5),Roman Safiullin,Completed,ms026,5014,https://www.atptour.com//en/scores/stats-centre/archive/2024/5014/ms026
Round of 32,Ben Shelton,Roberto Carballes Baena,01:08,Round of 32,6 6,3 4,Ben Shelton,Completed,ms017,5014,https://www.atptour.com//en/scores/stats-centre/archive/2024/5014/ms017
Round of 32,Gael Monfils,Ugo Humbert,02:15,Round of 32,7 2 6,6(7) 6 1,Gael Monfils,Completed,ms021,5014,https://www.atptour.com//en/scores/stats-centre/archive/2024/5014/ms021
Round of 32,Tomas Machac,Aleksandar Vukic,01:27,Round of 32,6 6,4 2,Tomas Machac,Completed,ms023,5014,https://www.atptour.com//en/scores/stats-centre/archive/2024/5014/ms023
Round of 32,David Goffin,Marcos Giron,02:12,Round of 32,1 6 7,6 3 5,David Goffin,Completed,ms030,5014,https://www.atptour.com//en/scores/stats-centre/archive/2024/5014/ms030
Round of 32,Jakub Mensik,Alexander Shevchenko,01:56,Round of 32,6 6(5) 6,1 7 2,Jakub Mensik,Completed,ms024,5014,https://www.atptour.com//en/scores/stats-centre/archive/2024/5014/ms024
Round of 64,Jannik Sinner,Taro Daniel,01:18,Round of 64,6 6,1 4,Jannik Sinner,Completed,ms032,5014,https://www.atptour.com//en/scores/stats-centre/archive/2024/5014/ms032
Round of 64,Alexander Zverev,Mattia Bellucci,01:36,Round of 64,6 6,4 2,Alexander Zverev,Completed,ms063,5014,https://www.atptour.com//en/scores/stats-centre/archive/2024/5014/ms063
Round of 64,Carlos Alcaraz,Juncheng Shang,01:16,Round of 64,6 6,2 2,Carlos Alcaraz,Completed,ms040,5014,https://www.atptour.com//en/scores/stats-centre/archive/2024/5014/ms040
Round of 64,Novak Djokovic,Alex Michelsen,01:56,Round of 64,7 7,6(3) 6(9),Novak Djokovic,Completed,ms055,5014,https://www.atptour.com//en/scores/stats-centre/archive/2024/5014/ms055
Round of 64,Daniil Medvedev,Thiago Seyboth Wild,01:57,Round of 64,7 7,5 5,Daniil Medvedev,Completed,ms039,5014,https://www.atptour.com//en/scores/stats-centre/archive/2024/5014/ms039
Round of 64,Jakub Mensik,Andrey Rublev,02:30,Round of 64,6(7) 6 6,7 4 3,Jakub Mensik,Completed,ms048,5014,https://www.atptour.com//en/scores/stats-centre/archive/2024/5014/ms048
Round of 64,Taylor Fritz,Terence Atmane,02:03,Round of 64,7 7,6(4) 6(5),Taylor Fritz,Completed,ms056,5014,https://www.atptour.com//en/scores/stats-centre/archive/2024/5014/ms056
Round of 64,Aleksandar Vukic,Casper Ruud,01:18,Round of 64,6 6,4 4,Aleksandar Vukic,Completed,ms047,5014,https://www.atptour.com//en/scores/stats-centre/archive/2024/5014/ms047
Round of 64,Grigor Dimitrov,Zizou Bergs,02:29,Round of 64,6 3 6,3 6 2,Grigor Dimitrov,Completed,ms051,5014,https://www.atptour.com//en/scores/stats-centre/archive/2024/5014/ms051
Round of 64,Stefanos Tsitsipas,Kei Nishikori,01:46,Round of 64,7 6,6(6) 4,Stefanos Tsitsipas,Completed,ms036,5014,https://www.atptour.com//en/scores/stats-centre/archive/2024/5014/ms036
Round of 64,Tommy Paul,Fabio Fognini,01:00,Round of 64,6 6,1 3,Tommy Paul,Completed,ms044,5014,https://www.atptour.com//en/scores/stats-centre/archive/2024/5014/ms044
Round of 64,Holger Rune,Matteo Berrettini,02:00,Round of 64,4 6 6,6 4 3,Holger Rune,Completed,ms059,5014,https://www.atptour.com//en/scores/stats-centre/archive/2024/5014/ms059
Round of 64,Frances Tiafoe,Yi Zhou,01:04,Round of 64,6 6,2 4,Frances Tiafoe,Completed,ms052,5014,https://www.atptour.com//en/scores/stats-centre/archive/2024/5014/ms052
Round of 64,Ben Shelton,Denis Shapovalov,01:18,Round of 64,6 7,3 5,Ben Shelton,Completed,ms035,5014,https://www.atptour.com//en/scores/stats-centre/archive/2024/5014/ms035
Round of 64,David Goffin,Lorenzo Musetti,02:28,Round of 64,1 7 6,6 6(6) 2,David Goffin,Completed,ms060,5014,https://www.atptour.com//en/scores/stats-centre/archive/2024/5014/ms060
Round of 64,Ugo Humbert,Arthur Cazaux,01:23,Round of 64,6 6,3 2,Ugo Humbert,Completed,ms043,5014,https://www.atptour.com//en/scores/stats-centre/archive/2024/5014/ms043
Round of 64,Alexandre Muller,Felix Auger-Aliassime,01:19,Round of 64,6 6,3 2,Alexandre Muller,Completed,ms037,5014,https://www.atptour.com//en/scores/stats-centre/archive/2024/5014/ms037
Round of 64,Alejandro Tabilo,Arthur Rinderknech,01:17,Round of 64,6 6,3 2,Alejandro Tabilo,Completed,ms045,5014,https://www.atptour.com//en/scores/stats-centre/archive/2024/5014/ms045
Round of 64,Alexei Popyrin,Miomir Kecmanovic,01:02,Round of 64,6 6,3 2,Alexei Popyrin,Completed,ms050,5014,https://www.atptour.com//en/scores/stats-centre/archive/2024/5014/ms050
Round of 64,Roberto Carballes Baena,Arthur Fils,02:06,Round of 64,7 7,6(4) 6(5),Roberto Carballes Baena,Completed,ms034,5014,https://www.atptour.com//en/scores/stats-centre/archive/2024/5014/ms034
Round of 64,Gael Monfils,Sebastian Baez,02:13,Round of 64,6 4 6,3 6 4,Gael Monfils,Completed,ms042,5014,https://www.atptour.com//en/scores/stats-centre/archive/2024/5014/ms042
Round of 64,Roman Safiullin,Alexander Bublik,01:20,Round of 64,6 6,4 2,Roman Safiullin,Completed,ms053,5014,https://www.atptour.com//en/scores/stats-centre/archive/2024/5014/ms053
Round of 64,Marcos Giron,Karen Khachanov,01:22,Round of 64,6 6,4 3,Marcos Giron,Completed,ms061,5014,https://www.atptour.com//en/scores/stats-centre/archive/2024/5014/ms061
Round of 64,Yibing Wu,Nicolas Jarry,01:02,Round of 64,6 6,2 1,Yibing Wu,Completed,ms041,5014,https://www.atptour.com//en/scores/stats-centre/archive/2024/5014/ms041
Round of 64,Tallon Griekspoor,Jordan Thompson,01:15,Round of 64,6 6,3 2,Tallon Griekspoor,Completed,ms062,5014,https://www.atptour.com//en/scores/stats-centre/archive/2024/5014/ms062
Round of 64,Alexander Shevchenko,Francisco Cerundolo,01:52,Round of 64,7 7,6(7) 5,Alexander Shevchenko,Completed,ms049,5014,https://www.atptour.com//en/scores/stats-centre/archive/2024/5014/ms049
Round of 64,Flavio Cobolli,Stan Wawrinka,02:31,Round of 64,6(6) 7 6,7 6(4) 3,Flavio Cobolli,Completed,ms054,5014,https://www.atptour.com//en/scores/stats-centre/archive/2024/5014/ms054
Round of 64,Matteo Arnaldi,Zachary Svajda,02:35,Round of 64,6(2) 6 6,7 2 4,Matteo Arnaldi,Completed,ms038,5014,https://www.atptour.com//en/scores/stats-centre/archive/2024/5014/ms038
