match_date,player_1,player_2,duration,match_round,player_1_scores,player_2_scores,winner,result,match_id,tournament_id,stats_link
Final,Tommy Paul,Grigor Dimitrov,01:25,Finals,6 6,4 3,Tommy Paul,Completed,ms001,429,https://www.atptour.com//en/scores/stats-centre/archive/2024/429/ms001
Semifinal,Grigor Dimitrov,Tallon Griekspoor,02:25,Semi-Finals,2 7 6,6 5 4,Grigor Dimitrov,Completed,ms003,429,https://www.atptour.com//en/scores/stats-centre/archive/2024/429/ms003
Semifinal,Tommy Paul,Stan Wawrinka,01:21,Semi-Finals,6 6,3 2,Tommy Paul,Completed,ms002,429,https://www.atptour.com//en/scores/stats-centre/archive/2024/429/ms002
Quarterfinal,Stan Wawrinka,Andrey Rublev,01:52,Quarter-Finals,7 7,6(5) 6(5),Stan Wawrinka,Completed,ms004,429,https://www.atptour.com//en/scores/stats-centre/archive/2024/429/ms004
Quarterfinal,Tallon Griekspoor,Casper Ruud,01:58,Quarter-Finals,7 7,5 6(5),Tallon Griekspoor,Completed,ms007,429,https://www.atptour.com//en/scores/stats-centre/archive/2024/429/ms007
Quarterfinal,Grigor Dimitrov,Dominic Stricker,01:11,Quarter-Finals,6 6,3 2,Grigor Dimitrov,Completed,ms006,429,https://www.atptour.com//en/scores/stats-centre/archive/2024/429/ms006
Quarterfinal,Tommy Paul,Miomir Kecmanovic,01:42,Quarter-Finals,7 6,6(9) 2,Tommy Paul,Completed,ms005,429,https://www.atptour.com//en/scores/stats-centre/archive/2024/429/ms005
Round of 16,Andrey Rublev,Alexandre Muller,01:04,Round of 16,6 6,4 1,Andrey Rublev,Completed,ms008,429,https://www.atptour.com//en/scores/stats-centre/archive/2024/429/ms008
Round of 16,Casper Ruud,Lorenzo Sonego,01:44,Round of 16,6 7,3 6(3),Casper Ruud,Completed,ms015,429,https://www.atptour.com//en/scores/stats-centre/archive/2024/429/ms015
Round of 16,Grigor Dimitrov,Quentin Halys,01:39,Round of 16,7 6,6(1) 3,Grigor Dimitrov,Completed,ms013,429,https://www.atptour.com//en/scores/stats-centre/archive/2024/429/ms013
