match_date,player_1,player_2,duration,match_round,player_1_scores,player_2_scores,winner,result,match_id,tournament_id,stats_link
"Sun, 15 June, 2025",Taylor Fritz,Alexander Zverev,01:25:29,Final,6 7,3 6(0),Taylor Fritz,Completed,ms001,321,https://www.atptour.com//en/scores/stats-centre/archive/2025/321/ms001
"Sat, 14 June, 2025",Alexander Zverev,Ben Shelton,02:01:37,Semifinals,7 7,6(8) 6(1),Alexander Zverev,Completed,ms002,321,https://www.atptour.com//en/scores/stats-centre/archive/2025/321/ms002
"Sat, 14 June, 2025",Taylor Fritz,Felix Auger-Aliassime,01:28:17,Semifinals,6 7,4 6(5),Taylor Fritz,Completed,ms003,321,https://www.atptour.com//en/scores/stats-centre/archive/2025/321/ms003
"Fri, 13 June, 2025",Alexander Zverev,Brandon Nakashima,01:30:59,Quarterfinals,7 6,5 4,Alexander Zverev,Completed,ms004,321,https://www.atptour.com//en/scores/stats-centre/archive/2025/321/ms004
"Fri, 13 June, 2025",Taylor Fritz,Marton Fucsovics,01:15:44,Quarterfinals,6 6,3 4,Taylor Fritz,Completed,ms007,321,https://www.atptour.com//en/scores/stats-centre/archive/2025/321/ms007
"Fri, 13 June, 2025",Ben Shelton,Jiri Lehecka,01:00:35,Quarterfinals,6 6,4 4,Ben Shelton,Completed,ms005,321,https://www.atptour.com//en/scores/stats-centre/archive/2025/321/ms005
"Fri, 13 June, 2025",Felix Auger-Aliassime,Justin Engel,01:38:32,Quarterfinals,7 6,6(3) 3,Felix Auger-Aliassime,Completed,ms006,321,https://www.atptour.com//en/scores/stats-centre/archive/2025/321/ms006
"Thu, 12 June, 2025",Alexander Zverev,Corentin Moutet,01:51:01,Round of 16,6 7,2 6(7),Alexander Zverev,Completed,ms008,321,https://www.atptour.com//en/scores/stats-centre/archive/2025/321/ms008
"Thu, 12 June, 2025",Felix Auger-Aliassime,Giovanni Mpetshi Perricard,01:17:24,Round of 16,6 6,4 4,Felix Auger-Aliassime,Completed,ms013,321,https://www.atptour.com//en/scores/stats-centre/archive/2025/321/ms013
"Thu, 12 June, 2025",Brandon Nakashima,Learner Tien,01:30:35,Round of 16,7 6,6(5) 3,Brandon Nakashima,Completed,ms009,321,https://www.atptour.com//en/scores/stats-centre/archive/2025/321/ms009
"Thu, 12 June, 2025",Justin Engel,Alex Michelsen,01:17:10,Round of 16,6 6,4 4,Justin Engel,Completed,ms012,321,https://www.atptour.com//en/scores/stats-centre/archive/2025/321/ms012
"Wed, 11 June, 2025",Taylor Fritz,Quentin Halys,01:23:01,Round of 16,6 7,3 6(6),Taylor Fritz,Completed,ms015,321,https://www.atptour.com//en/scores/stats-centre/archive/2025/321/ms015
"Wed, 11 June, 2025",Ben Shelton,Pierre-Hugues Herbert,01:50:18,Round of 16,7 7,6(4) 5,Ben Shelton,Completed,ms010,321,https://www.atptour.com//en/scores/stats-centre/archive/2025/321/ms010
"Wed, 11 June, 2025",Jiri Lehecka,Jan-Lennard Struff,01:26:36,Round of 16,6 7,4 5,Jiri Lehecka,Completed,ms011,321,https://www.atptour.com//en/scores/stats-centre/archive/2025/321/ms011
"Wed, 11 June, 2025",Marton Fucsovics,Arthur Rinderknech,01:31:31,Round of 16,7 6,6(4) 3,Marton Fucsovics,Completed,ms014,321,https://www.atptour.com//en/scores/stats-centre/archive/2025/321/ms014
"Tue, 10 June, 2025",Arthur Rinderknech,Denis Shapovalov,01:42:11,Round of 32,6 2 6,4 6 0,Arthur Rinderknech,Completed,ms028,321,https://www.atptour.com//en/scores/stats-centre/archive/2025/321/ms028
"Tue, 10 June, 2025",Alex Michelsen,Gael Monfils,01:45:12,Round of 32,6 4 6,4 6 3,Alex Michelsen,Completed,ms024,321,https://www.atptour.com//en/scores/stats-centre/archive/2025/321/ms024
"Tue, 10 June, 2025",Justin Engel,James Duckworth,02:29:46,Round of 32,4 6 7,6 4 6(5),Justin Engel,Completed,ms025,321,https://www.atptour.com//en/scores/stats-centre/archive/2025/321/ms025
"Tue, 10 June, 2025",Marton Fucsovics,Yannick Hanfmann,01:35:35,Round of 32,7 6,5 4,Marton Fucsovics,Completed,ms029,321,https://www.atptour.com//en/scores/stats-centre/archive/2025/321/ms029
"Tue, 10 June, 2025",Quentin Halys,Lorenzo Sonego,02:40:18,Round of 32,6(6) 7 6,7 5 4,Quentin Halys,Completed,ms030,321,https://www.atptour.com//en/scores/stats-centre/archive/2025/321/ms030
"Tue, 10 June, 2025",Pierre-Hugues Herbert,Damir Dzumhur,00:54:55,Round of 32,6 3,4 0,Pierre-Hugues Herbert,RET,ms021,321,https://www.atptour.com//en/scores/stats-centre/archive/2025/321/ms021
"Tue, 10 June, 2025",Corentin Moutet,Fabio Fognini,02:11:19,Round of 32,6 6(3) 6,4 7 3,Corentin Moutet,Completed,ms017,321,https://www.atptour.com//en/scores/stats-centre/archive/2025/321/ms017
"Tue, 10 June, 2025",Learner Tien,Yoshihito Nishioka,01:45:26,Round of 32,6(3) 7,7 6(3),Learner Tien,RET,ms018,321,https://www.atptour.com//en/scores/stats-centre/archive/2025/321/ms018
"Mon, 09 June, 2025",Brandon Nakashima,Jacob Fearnley,01:53:41,Round of 32,4 7 6,6 6(4) 1,Brandon Nakashima,Completed,ms019,321,https://www.atptour.com//en/scores/stats-centre/archive/2025/321/ms019
"Mon, 09 June, 2025",Jiri Lehecka,Benjamin Bonzi,01:15:50,Round of 32,6 6,4 4,Jiri Lehecka,Completed,ms023,321,https://www.atptour.com//en/scores/stats-centre/archive/2025/321/ms023
"Mon, 09 June, 2025",Giovanni Mpetshi Perricard,Roman Safiullin,02:15:36,Round of 32,7 3 7,6(10) 6 5,Giovanni Mpetshi Perricard,Completed,ms026,321,https://www.atptour.com//en/scores/stats-centre/archive/2025/321/ms026
"Mon, 09 June, 2025",Jan-Lennard Struff,Matteo Arnaldi,01:13:35,Round of 32,6 6,4 4,Jan-Lennard Struff,Completed,ms022,321,https://www.atptour.com//en/scores/stats-centre/archive/2025/321/ms022
"Sun, 08 June, 2025",James Duckworth,Nikoloz Basilashvili,02:09:28,2nd Round Qualifying,6(4) 7 6,7 6(5) 3,James Duckworth,Completed,qs004,321,https://www.atptour.com//en/scores/stats-centre/archive/2025/321/qs004
"Sun, 08 June, 2025",Yannick Hanfmann,Tristan Boyer,02:12:58,2nd Round Qualifying,7 6,6(12) 4,Yannick Hanfmann,Completed,qs006,321,https://www.atptour.com//en/scores/stats-centre/archive/2025/321/qs006
"Sun, 08 June, 2025",Marton Fucsovics,Beibit Zhukayev,01:41:39,2nd Round Qualifying,6(5) 6 6,7 3 2,Marton Fucsovics,Completed,qs007,321,https://www.atptour.com//en/scores/stats-centre/archive/2025/321/qs007
"Sun, 08 June, 2025",Pierre-Hugues Herbert,Li Tu,02:00:48,2nd Round Qualifying,6 6(2) 6,3 7 1,Pierre-Hugues Herbert,Completed,qs005,321,https://www.atptour.com//en/scores/stats-centre/archive/2025/321/qs005
"Sun, 08 June, 2025",Beibit Zhukayev,Marc-Andrea Huesler,01:40:17,1st Round Qualifying,6 5 6,3 7 4,Beibit Zhukayev,Completed,qs015,321,https://www.atptour.com//en/scores/stats-centre/archive/2025/321/qs015
"Sat, 07 June, 2025",James Duckworth,Benjamin Hassan,01:40:46,1st Round Qualifying,6 7,3 6(4),James Duckworth,Completed,qs008,321,https://www.atptour.com//en/scores/stats-centre/archive/2025/321/qs008
