match_date,player_1,player_2,duration,match_round,player_1_scores,player_2_scores,winner,result,match_id,tournament_id,stats_link
Final,Arthur Fils,Ugo Humbert,03:05,Finals,5 7 6,7 6(6) 3,Arthur Fils,Completed,ms001,329,https://www.atptour.com//en/scores/stats-centre/archive/2024/329/ms001
Semifinal,Arthur Fils,Holger Rune,02:23,Semi-Finals,7 7,6(8) 6(10),Arthur Fils,Completed,ms002,329,https://www.atptour.com//en/scores/stats-centre/archive/2024/329/ms002
Semifinal,Ugo Humbert,Tomas Machac,01:46,Semi-Finals,6 3 6,3 6 2,Ugo Humbert,Completed,ms003,329,https://www.atptour.com//en/scores/stats-centre/archive/2024/329/ms003
Quarterfinal,Holger Rune,Kei Nishikori,02:16,Quarter-Finals,3 6 7,6 2 5,Holger Rune,Completed,ms005,329,https://www.atptour.com//en/scores/stats-centre/archive/2024/329/ms005
Quarterfinal,Arthur Fils,Ben Shelton,03:00,Quarter-Finals,7 6(5) 7,5 7 6(2),Arthur Fils,Completed,ms004,329,https://www.atptour.com//en/scores/stats-centre/archive/2024/329/ms004
Quarterfinal,Ugo Humbert,Jack Draper,01:14,Quarter-Finals,7 2,5 1,Ugo Humbert,Completed,ms007,329,https://www.atptour.com//en/scores/stats-centre/archive/2024/329/ms007
Quarterfinal,Tomas Machac,Alex Michelsen,01:35,Quarter-Finals,7 6,6(2) 3,Tomas Machac,Completed,ms006,329,https://www.atptour.com//en/scores/stats-centre/archive/2024/329/ms006
Round of 16,Jack Draper,Hubert Hurkacz,01:25,Round of 16,6 6,4 4,Jack Draper,Completed,ms015,329,https://www.atptour.com//en/scores/stats-centre/archive/2024/329/ms015
Round of 16,Tomas Machac,Tommy Paul,02:35,Round of 16,2 6 7,6 3 6(4),Tomas Machac,Completed,ms012,329,https://www.atptour.com//en/scores/stats-centre/archive/2024/329/ms012
Round of 16,Holger Rune,Yoshihito Nishioka,01:08,Round of 16,6 6,2 4,Holger Rune,Completed,ms011,329,https://www.atptour.com//en/scores/stats-centre/archive/2024/329/ms011
Round of 16,Ben Shelton,Mariano Navone,01:26,Round of 16,6 6,4 3,Ben Shelton,Completed,ms009,329,https://www.atptour.com//en/scores/stats-centre/archive/2024/329/ms009
Round of 16,Arthur Fils,Matteo Berrettini,01:18,Round of 16,6(5),7,Arthur Fils,Completed,ms008,329,https://www.atptour.com//en/scores/stats-centre/archive/2024/329/ms008
Round of 16,Ugo Humbert,Brandon Nakashima,01:08,Round of 16,6 6,3 2,Ugo Humbert,Completed,ms014,329,https://www.atptour.com//en/scores/stats-centre/archive/2024/329/ms014
Round of 16,Alex Michelsen,Christopher O'Connell,01:20,Round of 16,6 6,1 4,Alex Michelsen,Completed,ms013,329,https://www.atptour.com//en/scores/stats-centre/archive/2024/329/ms013
Round of 16,Kei Nishikori,Jordan Thompson,01:23,Round of 16,6 6,2 3,Kei Nishikori,Completed,ms010,329,https://www.atptour.com//en/scores/stats-centre/archive/2024/329/ms010
Round of 32,Arthur Fils,Taylor Fritz,02:03,Round of 32,6 3 6,4 6 3,Arthur Fils,Completed,ms016,329,https://www.atptour.com//en/scores/stats-centre/archive/2024/329/ms016
Round of 32,Hubert Hurkacz,Marcos Giron,02:06,Round of 32,6 6(5) 6,4 7 4,Hubert Hurkacz,Completed,ms031,329,https://www.atptour.com//en/scores/stats-centre/archive/2024/329/ms031
Round of 32,Jordan Thompson,Casper Ruud,01:50,Round of 32,7 6,6(5) 1,Jordan Thompson,Completed,ms020,329,https://www.atptour.com//en/scores/stats-centre/archive/2024/329/ms020
Round of 32,Alex Michelsen,Stefanos Tsitsipas,01:48,Round of 32,4 6 6,6 1 2,Alex Michelsen,Completed,ms027,329,https://www.atptour.com//en/scores/stats-centre/archive/2024/329/ms027
Round of 32,Tommy Paul,Matteo Arnaldi,01:08,Round of 32,6 6,3 2,Tommy Paul,Completed,ms024,329,https://www.atptour.com//en/scores/stats-centre/archive/2024/329/ms024
Round of 32,Holger Rune,Alejandro Tabilo,02:15,Round of 32,6 5 6,2 7 4,Holger Rune,Completed,ms023,329,https://www.atptour.com//en/scores/stats-centre/archive/2024/329/ms023
Round of 32,Brandon Nakashima,Frances Tiafoe,01:22,Round of 32,7 6,5 3,Brandon Nakashima,Completed,ms028,329,https://www.atptour.com//en/scores/stats-centre/archive/2024/329/ms028
Round of 32,Ben Shelton,Reilly Opelka,01:46,Round of 32,3 6 6,6 1 4,Ben Shelton,Completed,ms019,329,https://www.atptour.com//en/scores/stats-centre/archive/2024/329/ms019
Round of 32,Matteo Berrettini,Botic van de Zandschulp,01:30,Round of 32,6 6,3 4,Matteo Berrettini,Completed,ms017,329,https://www.atptour.com//en/scores/stats-centre/archive/2024/329/ms017
Round of 32,Jack Draper,Mattia Bellucci,01:11,Round of 32,6 6,4 2,Jack Draper,Completed,ms030,329,https://www.atptour.com//en/scores/stats-centre/archive/2024/329/ms030
Round of 32,Ugo Humbert,Shintaro Mochizuki,01:16,Round of 32,6 6,1 2,Ugo Humbert,Completed,ms029,329,https://www.atptour.com//en/scores/stats-centre/archive/2024/329/ms029
Round of 32,Tomas Machac,Alexei Popyrin,02:30,Round of 32,6 6(5) 7,3 7 5,Tomas Machac,Completed,ms025,329,https://www.atptour.com//en/scores/stats-centre/archive/2024/329/ms025
