match_date,player_1,player_2,duration,match_round,player_1_scores,player_2_scores,winner,result,match_id,tournament_id,stats_link
Final,Francisco Cerundolo,Lorenzo Musetti,03:00,Finals,2 6 7,6 4 6(5),Francisco Cerundolo,Completed,ms001,439,https://www.atptour.com//en/scores/stats-centre/archive/2024/439/ms001
Semifinal,Francisco Cerundolo,Andrey Rublev,01:53,Semi-Finals,7 6,6(6) 4,Francisco Cerundolo,Completed,ms002,439,https://www.atptour.com//en/scores/stats-centre/archive/2024/439/ms002
Semifinal,Lorenzo Musetti,Jakub Mensik,01:17,Semi-Finals,6 6,4 1,Lorenzo Musetti,Completed,ms003,439,https://www.atptour.com//en/scores/stats-centre/archive/2024/439/ms003
Quarterfinal,Andrey Rublev,Fabian Marozsan,01:55,Quarter-Finals,5 6 6,7 3 2,Andrey Rublev,Completed,ms004,439,https://www.atptour.com//en/scores/stats-centre/archive/2024/439/ms004
Quarterfinal,Lorenzo Musetti,Dusan Lajovic,02:16,Quarter-Finals,5 6 6,7 3 0,Lorenzo Musetti,Completed,ms007,439,https://www.atptour.com//en/scores/stats-centre/archive/2024/439/ms007
Quarterfinal,Francisco Cerundolo,Lorenzo Sonego,02:34,Quarter-Finals,6 2 7,4 6 6(2),Francisco Cerundolo,Completed,ms005,439,https://www.atptour.com//en/scores/stats-centre/archive/2024/439/ms005
Quarterfinal,Jakub Mensik,Chun-Hsin Tseng,01:20,Quarter-Finals,6 6,0 4,Jakub Mensik,Completed,ms006,439,https://www.atptour.com//en/scores/stats-centre/archive/2024/439/ms006
Round of 16,Andrey Rublev,Camilo Ugo Carabelli,01:47,Round of 16,6 7,4 5,Andrey Rublev,Completed,ms008,439,https://www.atptour.com//en/scores/stats-centre/archive/2024/439/ms008
Round of 16,Lorenzo Musetti,Marco Trungelliti,01:52,Round of 16,6 6,4 3,Lorenzo Musetti,Completed,ms015,439,https://www.atptour.com//en/scores/stats-centre/archive/2024/439/ms015
Round of 16,Francisco Cerundolo,Matej Dodig,01:30,Round of 16,6 6,3 4,Francisco Cerundolo,Completed,ms010,439,https://www.atptour.com//en/scores/stats-centre/archive/2024/439/ms010
Round of 16,Jakub Mensik,Luciano Darderi,01:27,Round of 16,6 6,4 3,Jakub Mensik,Completed,ms012,439,https://www.atptour.com//en/scores/stats-centre/archive/2024/439/ms012
Round of 16,Dusan Lajovic,Flavio Cobolli,02:12,Round of 16,7 7,6(5) 6(3),Dusan Lajovic,Completed,ms014,439,https://www.atptour.com//en/scores/stats-centre/archive/2024/439/ms014
Round of 16,Fabian Marozsan,Thiago Monteiro,01:34,Round of 16,6 7,2 6(7),Fabian Marozsan,Completed,ms009,439,https://www.atptour.com//en/scores/stats-centre/archive/2024/439/ms009
Round of 16,Lorenzo Sonego,Alexandre Muller,01:35,Round of 16,7 6,5 1,Lorenzo Sonego,Completed,ms011,439,https://www.atptour.com//en/scores/stats-centre/archive/2024/439/ms011
Round of 16,Chun-Hsin Tseng,Fabio Fognini,00:56,Round of 16,6 6,1 0,Chun-Hsin Tseng,Completed,ms013,439,https://www.atptour.com//en/scores/stats-centre/archive/2024/439/ms013
Round of 32,Andrey Rublev,Bye,00:00,Round of 32,,,Andrey Rublev,Completed,,439,
Round of 32,Lorenzo Musetti,Bye,00:00,Round of 32,,,Lorenzo Musetti,Completed,,439,
Round of 32,Francisco Cerundolo,Bye,00:00,Round of 32,,,Francisco Cerundolo,Completed,,439,
Round of 32,Luciano Darderi,Duje Ajdukovic,01:09,Round of 32,6 6,1 4,Luciano Darderi,Completed,ms024,439,https://www.atptour.com//en/scores/stats-centre/archive/2024/439/ms024
Round of 32,Flavio Cobolli,Mariano Navone,01:25,Round of 32,6 6,2 3,Flavio Cobolli,Completed,ms028,439,https://www.atptour.com//en/scores/stats-centre/archive/2024/439/ms028
Round of 32,Thiago Monteiro,Tomas Machac,02:16,Round of 32,3 6 6,6 3 4,Thiago Monteiro,Completed,ms019,439,https://www.atptour.com//en/scores/stats-centre/archive/2024/439/ms019
Round of 32,Alexandre Muller,Matteo Arnaldi,02:19,Round of 32,7 6,6(8) 4,Alexandre Muller,Completed,ms023,439,https://www.atptour.com//en/scores/stats-centre/archive/2024/439/ms023
Round of 32,Matej Dodig,Enzo Couacaud,02:10,Round of 32,3 6 6,6 3 2,Matej Dodig,Completed,ms021,439,https://www.atptour.com//en/scores/stats-centre/archive/2024/439/ms021
Round of 32,Fabio Fognini,Luca Van Assche,01:51,Round of 32,6 6,4 3,Fabio Fognini,Completed,ms026,439,https://www.atptour.com//en/scores/stats-centre/archive/2024/439/ms026
Round of 32,Dusan Lajovic,Filip Misolic,02:18,Round of 32,6 3 6,4 6 2,Dusan Lajovic,Completed,ms029,439,https://www.atptour.com//en/scores/stats-centre/archive/2024/439/ms029
Round of 32,Fabian Marozsan,Alexander Shevchenko,02:17,Round of 32,6 4 7,4 6 6(8),Fabian Marozsan,Completed,ms018,439,https://www.atptour.com//en/scores/stats-centre/archive/2024/439/ms018
Round of 32,Jakub Mensik,Alexei Popyrin,01:23,Round of 32,6 6,3 2,Jakub Mensik,Completed,ms025,439,https://www.atptour.com//en/scores/stats-centre/archive/2024/439/ms025
