match_date,player_1,player_2,duration,match_round,player_1_scores,player_2_scores,winner,result,match_id,tournament_id,stats_link
Final,Jannik Sinner,Taylor Fritz,02:15,Finals,6 6 7,3 4 5,Jannik Sinner,Completed,ms001,560,https://www.atptour.com//en/scores/match-stats/archive/2024/560/ms001
Semifinal,Jannik Sinner,Jack Draper,03:03,Semi-Finals,7 7 6,5 6(3) 2,Jannik Sinner,Completed,ms002,560,https://www.atptour.com//en/scores/match-stats/archive/2024/560/ms002
Semifinal,Taylor Fritz,Frances Tiafoe,03:18,Semi-Finals,4 7 4 6 6,6 5 6 4 1,Taylor Fritz,Completed,ms003,560,https://www.atptour.com//en/scores/match-stats/archive/2024/560/ms003
Quarterfinal,Jannik Sinner,Daniil Medvedev,02:39,Quarter-Finals,6 1 6 6,2 6 1 4,Jannik Sinner,Completed,ms004,560,https://www.atptour.com//en/scores/match-stats/archive/2024/560/ms004
Quarterfinal,Taylor Fritz,Alexander Zverev,03:26,Quarter-Finals,7 3 6 7,6(2) 6 4 6(3),Taylor Fritz,Completed,ms006,560,https://www.atptour.com//en/scores/match-stats/archive/2024/560/ms006
Quarterfinal,Frances Tiafoe,Grigor Dimitrov,03:04,Quarter-Finals,6 6(5) 6 4,3 7 3 1,Frances Tiafoe,Completed,ms007,560,https://www.atptour.com//en/scores/match-stats/archive/2024/560/ms007
Quarterfinal,Jack Draper,Alex de Minaur,02:07,Quarter-Finals,6 7 6,3 5 2,Jack Draper,Completed,ms005,560,https://www.atptour.com//en/scores/match-stats/archive/2024/560/ms005
Round of 16,Jannik Sinner,Tommy Paul,02:42,Round of 16,7 7 6,6(3) 6(5) 1,Jannik Sinner,Completed,ms008,560,https://www.atptour.com//en/scores/match-stats/archive/2024/560/ms008
Round of 16,Alexander Zverev,Brandon Nakashima,02:36,Round of 16,3 6 6 6,6 1 2 2,Alexander Zverev,Completed,ms013,560,https://www.atptour.com//en/scores/match-stats/archive/2024/560/ms013
Round of 16,Daniil Medvedev,Nuno Borges,01:51,Round of 16,6 6 6,0 1 3,Daniil Medvedev,Completed,ms009,560,https://www.atptour.com//en/scores/match-stats/archive/2024/560/ms009
Round of 16,Grigor Dimitrov,Andrey Rublev,03:39,Round of 16,6 7 1 3 6,3 6(3) 6 6 3,Grigor Dimitrov,Completed,ms014,560,https://www.atptour.com//en/scores/match-stats/archive/2024/560/ms014
Round of 16,Taylor Fritz,Casper Ruud,02:43,Round of 16,3 6 6 6,6 4 3 2,Taylor Fritz,Completed,ms012,560,https://www.atptour.com//en/scores/match-stats/archive/2024/560/ms012
Round of 16,Alex de Minaur,Jordan Thompson,02:57,Round of 16,6 3 6 7,0 6 3 5,Alex de Minaur,Completed,ms011,560,https://www.atptour.com//en/scores/match-stats/archive/2024/560/ms011
Round of 16,Frances Tiafoe,Alexei Popyrin,03:02,Round of 16,6 7 2 6,4 6(3) 6 3,Frances Tiafoe,Completed,ms015,560,https://www.atptour.com//en/scores/match-stats/archive/2024/560/ms015
Round of 16,Jack Draper,Tomas Machac,01:42,Round of 16,6 6 6,3 1 2,Jack Draper,Completed,ms010,560,https://www.atptour.com//en/scores/match-stats/archive/2024/560/ms010
Round of 32,Jannik Sinner,Christopher O'Connell,01:53,Round of 32,6 6 6,1 4 2,Jannik Sinner,Completed,ms016,560,https://www.atptour.com//en/scores/match-stats/archive/2024/560/ms016
Round of 32,Alexei Popyrin,Novak Djokovic,03:19,Round of 32,6 6 2 6,4 4 6 4,Alexei Popyrin,Completed,ms031,560,https://www.atptour.com//en/scores/match-stats/archive/2024/560/ms031
Round of 32,Alexander Zverev,Tomas Martin Etcheverry,03:36,Round of 32,5 7 6 6,7 5 1 3,Alexander Zverev,Completed,ms027,560,https://www.atptour.com//en/scores/match-stats/archive/2024/560/ms027
Round of 32,Daniil Medvedev,Flavio Cobolli,02:18,Round of 32,6 6 6,3 4 3,Daniil Medvedev,Completed,ms019,560,https://www.atptour.com//en/scores/match-stats/archive/2024/560/ms019
Round of 32,Andrey Rublev,Jiri Lehecka,02:03,Round of 32,6 7 6,3 5 4,Andrey Rublev,Completed,ms028,560,https://www.atptour.com//en/scores/match-stats/archive/2024/560/ms028
Round of 32,Casper Ruud,Juncheng Shang,03:44,Round of 32,6(1) 3 6 6 6,7 6 0 3 1,Casper Ruud,Completed,ms024,560,https://www.atptour.com//en/scores/match-stats/archive/2024/560/ms024
Round of 32,Grigor Dimitrov,Tallon Griekspoor,01:40,Round of 32,6 6 6,3 3 1,Grigor Dimitrov,Completed,ms029,560,https://www.atptour.com//en/scores/match-stats/archive/2024/560/ms029
Round of 32,Alex de Minaur,Daniel Evans,02:48,Round of 32,6 6(4) 6 6,3 7 0 0,Alex de Minaur,Completed,ms022,560,https://www.atptour.com//en/scores/match-stats/archive/2024/560/ms022
Round of 32,Taylor Fritz,Francisco Comesana,02:00,Round of 32,6 6 6,3 4 2,Taylor Fritz,Completed,ms025,560,https://www.atptour.com//en/scores/match-stats/archive/2024/560/ms025
Round of 32,Frances Tiafoe,Ben Shelton,04:03,Round of 32,4 7 6(5) 6 6,6 5 7 4 3,Frances Tiafoe,Completed,ms030,560,https://www.atptour.com//en/scores/match-stats/archive/2024/560/ms030
Round of 32,Tommy Paul,Gabriel Diallo,03:26,Round of 32,6(5) 6 6 7,7 3 1 6(3),Tommy Paul,Completed,ms017,560,https://www.atptour.com//en/scores/match-stats/archive/2024/560/ms017
Round of 32,Brandon Nakashima,Lorenzo Musetti,03:12,Round of 32,6 3 6 7,2 6 3 6(4),Brandon Nakashima,Completed,ms026,560,https://www.atptour.com//en/scores/match-stats/archive/2024/560/ms026
Round of 32,Jack Draper,Botic van de Zandschulp,02:14,Round of 32,6 6 6,3 4 2,Jack Draper,Completed,ms020,560,https://www.atptour.com//en/scores/match-stats/archive/2024/560/ms020
Round of 32,Jordan Thompson,Matteo Arnaldi,02:33,Round of 32,7 6 7,5 2 6(5),Jordan Thompson,Completed,ms023,560,https://www.atptour.com//en/scores/match-stats/archive/2024/560/ms023
Round of 32,Nuno Borges,Jakub Mensik,03:48,Round of 32,6(5) 6 3 7 6,7 1 6 6(6) 0,Nuno Borges,Completed,ms018,560,https://www.atptour.com//en/scores/match-stats/archive/2024/560/ms018
Round of 32,Tomas Machac,David Goffin,01:34,Round of 32,6 6 6,3 1 2,Tomas Machac,Completed,ms021,560,https://www.atptour.com//en/scores/match-stats/archive/2024/560/ms021
Round of 64,Jannik Sinner,Alex Michelsen,01:39,Round of 64,6 6 6,4 0 2,Jannik Sinner,Completed,ms032,560,https://www.atptour.com//en/scores/match-stats/archive/2024/560/ms032
Round of 64,Novak Djokovic,Laslo Djere,02:16,Round of 64,6 6 2,4 4 0,Novak Djokovic,Completed,ms063,560,https://www.atptour.com//en/scores/match-stats/archive/2024/560/ms063
Round of 64,Botic van de Zandschulp,Carlos Alcaraz,02:19,Round of 64,6 7 6,1 5 4,Botic van de Zandschulp,Completed,ms040,560,https://www.atptour.com//en/scores/match-stats/archive/2024/560/ms040
