match_date,player_1,player_2,duration,match_round,player_1_scores,player_2_scores,winner,result,match_id,tournament_id,stats_link
Final,Jack Draper,Karen Khachanov,01:35,Finals,6 7,4 5,Jack Draper,Completed,ms001,337,https://www.atptour.com//en/scores/stats-centre/archive/2024/337/ms001
Semifinal,Karen Khachanov,Alex de Minaur,01:30,Semi-Finals,6 6,2 4,Karen Khachanov,Completed,ms003,337,https://www.atptour.com//en/scores/stats-centre/archive/2024/337/ms003
Semifinal,Jack Draper,Lorenzo Musetti,01:49,Semi-Finals,6 6,2 4,Jack Draper,Completed,ms002,337,https://www.atptour.com//en/scores/stats-centre/archive/2024/337/ms002
Quarterfinal,Lorenzo Musetti,Alexander Zverev,02:37,Quarter-Finals,2 7 6,6 6(5) 4,Lorenzo Musetti,Completed,ms004,337,https://www.atptour.com//en/scores/stats-centre/archive/2024/337/ms004
Quarterfinal,Alex de Minaur,Jakub Mensik,02:35,Quarter-Finals,6(2) 6 6,7 3 4,Alex de Minaur,Completed,ms007,337,https://www.atptour.com//en/scores/stats-centre/archive/2024/337/ms007
Quarterfinal,Jack Draper,Tomas Machac,02:07,Quarter-Finals,6 3 6,3 6 1,Jack Draper,Completed,ms005,337,https://www.atptour.com//en/scores/stats-centre/archive/2024/337/ms005
Quarterfinal,Karen Khachanov,Matteo Berrettini,01:19,Quarter-Finals,6 6,1 4,Karen Khachanov,Completed,ms006,337,https://www.atptour.com//en/scores/stats-centre/archive/2024/337/ms006
Round of 16,Alexander Zverev,Marcos Giron,01:13,Round of 16,6 7,2 5,Alexander Zverev,Completed,ms008,337,https://www.atptour.com//en/scores/stats-centre/archive/2024/337/ms008
Round of 16,Alex de Minaur,Flavio Cobolli,01:15,Round of 16,7 3,6(2) 1,Alex de Minaur,Completed,ms015,337,https://www.atptour.com//en/scores/stats-centre/archive/2024/337/ms015
Round of 16,Tomas Machac,Grigor Dimitrov,02:31,Round of 16,6(5) 6 6,7 4 3,Tomas Machac,Completed,ms010,337,https://www.atptour.com//en/scores/stats-centre/archive/2024/337/ms010
Round of 16,Matteo Berrettini,Frances Tiafoe,03:03,Round of 16,6 6(6) 6,3 7 3,Matteo Berrettini,Completed,ms012,337,https://www.atptour.com//en/scores/stats-centre/archive/2024/337/ms012
Round of 16,Lorenzo Musetti,Gael Monfils,00:00,Round of 16,,,Lorenzo Musetti,Completed,,337,
Round of 16,Jack Draper,Luciano Darderi,01:17,Round of 16,7 6,5 1,Jack Draper,Completed,ms011,337,https://www.atptour.com//en/scores/stats-centre/archive/2024/337/ms011
Round of 16,Karen Khachanov,Brandon Nakashima,01:51,Round of 16,1 6 6,6 3 4,Karen Khachanov,Completed,ms013,337,https://www.atptour.com//en/scores/stats-centre/archive/2024/337/ms013
Round of 16,Jakub Mensik,Miomir Kecmanovic,01:54,Round of 16,6 7,3 6(7),Jakub Mensik,Completed,ms014,337,https://www.atptour.com//en/scores/stats-centre/archive/2024/337/ms014
Round of 32,Alexander Zverev,Joel Schwaerzler,01:08,Round of 32,6 6,2 2,Alexander Zverev,Completed,ms016,337,https://www.atptour.com//en/scores/stats-centre/archive/2024/337/ms016
Round of 32,Alex de Minaur,Jan-Lennard Struff,01:42,Round of 32,2 6 6,6 2 2,Alex de Minaur,Completed,ms031,337,https://www.atptour.com//en/scores/stats-centre/archive/2024/337/ms031
Round of 32,Grigor Dimitrov,Zhizhen Zhang,01:38,Round of 32,6 7,4 5,Grigor Dimitrov,Completed,ms020,337,https://www.atptour.com//en/scores/stats-centre/archive/2024/337/ms020
Round of 32,Brandon Nakashima,Tommy Paul,01:46,Round of 32,6 6,4 4,Brandon Nakashima,Completed,ms027,337,https://www.atptour.com//en/scores/stats-centre/archive/2024/337/ms027
Round of 32,Frances Tiafoe,Cameron Norrie,01:27,Round of 32,6 7,4 6(4),Frances Tiafoe,Completed,ms024,337,https://www.atptour.com//en/scores/stats-centre/archive/2024/337/ms024
Round of 32,Lorenzo Musetti,Lorenzo Sonego,01:12,Round of 32,6 6,3 2,Lorenzo Musetti,Completed,ms019,337,https://www.atptour.com//en/scores/stats-centre/archive/2024/337/ms019
