match_date,player_1,player_2,duration,match_round,player_1_scores,player_2_scores,winner,result,match_id,tournament_id,stats_link
Final,Carlos Alcaraz,Novak Djokovic,02:27,Finals,6 6 7,2 2 6(4),Carlos Alcaraz,Completed,ms001,540,https://www.atptour.com//en/scores/match-stats/archive/2024/540/ms001
Semifinal,Novak Djokovic,Lorenzo Musetti,02:48,Semi-Finals,6 7 6,4 6(2) 4,Novak Djokovic,Completed,ms003,540,https://www.atptour.com//en/scores/match-stats/archive/2024/540/ms003
Semifinal,Carlos Alcaraz,Daniil Medvedev,02:55,Semi-Finals,6(1) 6 6 6,7 3 4 4,Carlos Alcaraz,Completed,ms002,540,https://www.atptour.com//en/scores/match-stats/archive/2024/540/ms002
Quarterfinal,Daniil Medvedev,Jannik Sinner,04:00,Quarter-Finals,6(7) 6 7 2 6,7 4 6(4) 6 3,Daniil Medvedev,Completed,ms004,540,https://www.atptour.com//en/scores/match-stats/archive/2024/540/ms004
Quarterfinal,Novak Djokovic,Alex de Minaur,00:00,Quarter-Finals,,,Novak Djokovic,Completed,,540,
Quarterfinal,Carlos Alcaraz,Tommy Paul,03:11,Quarter-Finals,5 6 6 6,7 4 2 2,Carlos Alcaraz,Completed,ms005,540,https://www.atptour.com//en/scores/match-stats/archive/2024/540/ms005
Quarterfinal,Lorenzo Musetti,Taylor Fritz,03:27,Quarter-Finals,3 7 6 3 6,6 6(5) 2 6 1,Lorenzo Musetti,Completed,ms006,540,https://www.atptour.com//en/scores/match-stats/archive/2024/540/ms006
Round of 16,Jannik Sinner,Ben Shelton,02:08,Round of 16,6 6 7,2 4 6(9),Jannik Sinner,Completed,ms008,540,https://www.atptour.com//en/scores/match-stats/archive/2024/540/ms008
Round of 16,Novak Djokovic,Holger Rune,02:03,Round of 16,6 6 6,3 4 2,Novak Djokovic,Completed,ms015,540,https://www.atptour.com//en/scores/match-stats/archive/2024/540/ms015
Round of 16,Carlos Alcaraz,Ugo Humbert,02:58,Round of 16,6 6 1 7,3 4 6 5,Carlos Alcaraz,Completed,ms010,540,https://www.atptour.com//en/scores/match-stats/archive/2024/540/ms010
Round of 16,Taylor Fritz,Alexander Zverev,03:29,Round of 16,4 6(4) 6 7 6,6 7 4 6(3) 3,Taylor Fritz,Completed,ms013,540,https://www.atptour.com//en/scores/match-stats/archive/2024/540/ms013
Round of 16,Daniil Medvedev,Grigor Dimitrov,00:40,Round of 16,5,3,Daniil Medvedev,Completed,ms009,540,https://www.atptour.com//en/scores/match-stats/archive/2024/540/ms009
Round of 16,Alex de Minaur,Arthur Fils,02:54,Round of 16,6 6 4 6,2 4 6 3,Alex de Minaur,Completed,ms014,540,https://www.atptour.com//en/scores/match-stats/archive/2024/540/ms014
Round of 16,Tommy Paul,Roberto Bautista Agut,02:02,Round of 16,6 7 6,2 6(3) 2,Tommy Paul,Completed,ms011,540,https://www.atptour.com//en/scores/match-stats/archive/2024/540/ms011
