match_date,player_1,player_2,duration,match_round,player_1_scores,player_2_scores,winner,result,match_id,tournament_id,stats_link
Final,Lorenzo Sonego,Alex Michelsen,01:04,Finals,6 6,0 3,Lorenzo Sonego,Completed,ms001,6242,https://www.atptour.com//en/scores/stats-centre/archive/2024/6242/ms001
Semifinal,Lorenzo Sonego,David Goffin,01:19,Semi-Finals,6 6,3 2,Lorenzo Sonego,Completed,ms002,6242,https://www.atptour.com//en/scores/stats-centre/archive/2024/6242/ms002
Semifinal,Alex Michelsen,Pablo Carreno Busta,01:15,Semi-Finals,7 2,6(5) 1,Alex Michelsen,Completed,ms003,6242,https://www.atptour.com//en/scores/stats-centre/archive/2024/6242/ms003
Quarterfinal,Lorenzo Sonego,Pavel Kotov,01:42,Quarter-Finals,6 7,3 5,Lorenzo Sonego,Completed,ms005,6242,https://www.atptour.com//en/scores/stats-centre/archive/2024/6242/ms005
Quarterfinal,Alex Michelsen,Christopher Eubanks,02:30,Quarter-Finals,7 6(6) 7,5 7 6(5),Alex Michelsen,Completed,ms007,6242,https://www.atptour.com//en/scores/stats-centre/archive/2024/6242/ms007
Quarterfinal,David Goffin,Rinky Hijikata,01:03,Quarter-Finals,6 6,1 3,David Goffin,Completed,ms004,6242,https://www.atptour.com//en/scores/stats-centre/archive/2024/6242/ms004
Quarterfinal,Pablo Carreno Busta,Learner Tien,01:25,Quarter-Finals,6 6,4 2,Pablo Carreno Busta,Completed,ms006,6242,https://www.atptour.com//en/scores/stats-centre/archive/2024/6242/ms006
Round of 16,Lorenzo Sonego,Juncheng Shang,00:00,Round of 16,,,Lorenzo Sonego,Completed,,6242,
Round of 16,Alex Michelsen,Zizou Bergs,01:17,Round of 16,6 6,1 2,Alex Michelsen,Completed,ms014,6242,https://www.atptour.com//en/scores/stats-centre/archive/2024/6242/ms014
Round of 16,David Goffin,Arthur Rinderknech,01:21,Round of 16,6 6,3 3,David Goffin,Completed,ms009,6242,https://www.atptour.com//en/scores/stats-centre/archive/2024/6242/ms009
Round of 16,Pavel Kotov,Zachary Svajda,02:08,Round of 16,3 6 6,6 3 4,Pavel Kotov,Completed,ms010,6242,https://www.atptour.com//en/scores/stats-centre/archive/2024/6242/ms010
Round of 16,Rinky Hijikata,Borna Coric,02:37,Round of 16,3 6 7,6 3 5,Rinky Hijikata,Completed,ms008,6242,https://www.atptour.com//en/scores/stats-centre/archive/2024/6242/ms008
Round of 16,Christopher Eubanks,Roman Safiullin,02:07,Round of 16,6 1 7,3 6 6(8),Christopher Eubanks,Completed,ms015,6242,https://www.atptour.com//en/scores/stats-centre/archive/2024/6242/ms015
Round of 16,Pablo Carreno Busta,Aleksandar Vukic,01:56,Round of 16,6 4 6,3 6 3,Pablo Carreno Busta,Completed,ms013,6242,https://www.atptour.com//en/scores/stats-centre/archive/2024/6242/ms013
Round of 16,Learner Tien,Thiago Seyboth Wild,01:29,Round of 16,6 6,4 3,Learner Tien,Completed,ms012,6242,https://www.atptour.com//en/scores/stats-centre/archive/2024/6242/ms012
Round of 32,Borna Coric,Sebastian Baez,01:22,Round of 32,6 6,3 4,Borna Coric,Completed,ms016,6242,https://www.atptour.com//en/scores/stats-centre/archive/2024/6242/ms016
Round of 32,Zachary Svajda,Francisco Cerundolo,01:35,Round of 32,6 6,4 4,Zachary Svajda,Completed,ms020,6242,https://www.atptour.com//en/scores/stats-centre/archive/2024/6242/ms020
Round of 32,Aleksandar Vukic,Adrian Mannarino,02:00,Round of 32,7 2 6,6(5) 6 1,Aleksandar Vukic,Completed,ms027,6242,https://www.atptour.com//en/scores/stats-centre/archive/2024/6242/ms027
Round of 32,David Goffin,Luciano Darderi,01:17,Round of 32,6 6,2 4,David Goffin,Completed,ms019,6242,https://www.atptour.com//en/scores/stats-centre/archive/2024/6242/ms019
Round of 32,Zizou Bergs,Tomas Martin Etcheverry,02:39,Round of 32,4 7 6,6 5 3,Zizou Bergs,Completed,ms028,6242,https://www.atptour.com//en/scores/stats-centre/archive/2024/6242/ms028
Round of 32,Juncheng Shang,Mariano Navone,01:33,Round of 32,7 6,5 3,Juncheng Shang,Completed,ms023,6242,https://www.atptour.com//en/scores/stats-centre/archive/2024/6242/ms023
Round of 32,Thiago Seyboth Wild,Nuno Borges,01:29,Round of 32,7 6,6(2) 2,Thiago Seyboth Wild,Completed,ms024,6242,https://www.atptour.com//en/scores/stats-centre/archive/2024/6242/ms024
Round of 32,Learner Tien,Fabian Marozsan,02:09,Round of 32,6 6(1) 7,2 7 6(2),Learner Tien,Completed,ms025,6242,https://www.atptour.com//en/scores/stats-centre/archive/2024/6242/ms025
Round of 32,Lorenzo Sonego,Dominic Stricker,01:20,Round of 32,6 6,4 1,Lorenzo Sonego,Completed,ms022,6242,https://www.atptour.com//en/scores/stats-centre/archive/2024/6242/ms022
Round of 32,Alex Michelsen,Marton Fucsovics,01:54,Round of 32,7 6,6(3) 4,Alex Michelsen,Completed,ms029,6242,https://www.atptour.com//en/scores/stats-centre/archive/2024/6242/ms029
Round of 32,Arthur Rinderknech,Christopher O'Connell,01:29,Round of 32,6 6,3 4,Arthur Rinderknech,Completed,ms018,6242,https://www.atptour.com//en/scores/stats-centre/archive/2024/6242/ms018
Round of 32,Pablo Carreno Busta,Alexander Shevchenko,01:09,Round of 32,6 6,2 2,Pablo Carreno Busta,Completed,ms026,6242,https://www.atptour.com//en/scores/stats-centre/archive/2024/6242/ms026
Round of 32,Christopher Eubanks,Hugo Gaston,00:56,Round of 32,6 6,1 4,Christopher Eubanks,Completed,ms030,6242,https://www.atptour.com//en/scores/stats-centre/archive/2024/6242/ms030
Round of 32,Pavel Kotov,Alexandre Muller,02:31,Round of 32,6 5 6,4 7 2,Pavel Kotov,Completed,ms021,6242,https://www.atptour.com//en/scores/stats-centre/archive/2024/6242/ms021
Round of 32,Rinky Hijikata,Arthur Cazaux,02:43,Round of 32,4 6 7,6 3 6(4),Rinky Hijikata,Completed,ms017,6242,https://www.atptour.com//en/scores/stats-centre/archive/2024/6242/ms017
Round of 32,Roman Safiullin,Corentin Moutet,01:20,Round of 32,6 7,1 5,Roman Safiullin,Completed,ms031,6242,https://www.atptour.com//en/scores/stats-centre/archive/2024/6242/ms031
Round of 64,Sebastian Baez,Bye,00:00,Round of 64,,,Sebastian Baez,Completed,,6242,
Round of 64,Francisco Cerundolo,Bye,00:00,Round of 64,,,Francisco Cerundolo,Completed,,6242,
Round of 64,Adrian Mannarino,Bye,00:00,Round of 64,,,Adrian Mannarino,Completed,,6242,
Round of 64,Luciano Darderi,Bye,00:00,Round of 64,,,Luciano Darderi,Completed,,6242,
Round of 64,Tomas Martin Etcheverry,Bye,00:00,Round of 64,,,Tomas Martin Etcheverry,Completed,,6242,
Round of 64,Mariano Navone,Bye,00:00,Round of 64,,,Mariano Navone,Completed,,6242,
